Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Nordpark, Bielefeld (33613),420.000 5.676,4 Zimmer,74 m²,441 m² Grundstuck,https://www.immowelt.de/expose/8418d605-1854-41a5-a380-4dc25b69d715,2616,"Nordpark,  Bielefeld (33613)",172
Ummeln, Bielefeld (33649),126.000 2.038,2 Zimmer,"61,8 m²",Unknown,https://www.immowelt.de/expose/5d61882c-f591-4707-8342-b3ac3cf03e4b,2616,"Ummeln,  Bielefeld (33649)",57
Hoberge - Uerentrup, Bielefeld (33619),1.799.000 3.598,15 Zimmer,500 m²,7.000 m² Grundstuck,https://www.immowelt.de/expose/f3ef776a-7e12-40a4-b2d1-edff42a22220,2616,"Hoberge - Uerentrup,  Bielefeld (33619)",14
Schillingshof, BI-Senne (33659),738.000 3.548,5 Zimmer,208 m²,1.073 m² Grundstuck,https://www.immowelt.de/expose/f354c13c-1cf8-448f-b48f-1ad19ab9363f,2616,"Schillingshof,  BI-Senne (33659)",13
Vilsendorf, Bielefeld / Vilsendorf (33739),145.000 2.982,2 Zimmer,"48,6 m²",EG,https://www.immowelt.de/expose/2aedc660-c37f-4439-be7f-55e49343a712,2616,"Vilsendorf,  Bielefeld / Vilsendorf (33739)",8
Bahnhof - Brackwede, Bielefeld (33647),225.000 3.462,3 Zimmer,65 m²,frei ab sofort,https://www.immowelt.de/expose/e8b6ff0d-0dfa-445b-8357-601701825d37,2616,"Bahnhof - Brackwede,  Bielefeld (33647)",77
Hammer-Muhle, Bielefeld (33607),80.000 2.307,1 Zimmer,"34,7 m²",Unknown,https://www.immowelt.de/expose/ad631280-45e8-4197-8ddd-a3c764c62d5e,2616,"Hammer-Muhle,  Bielefeld (33607)",217
OelkerstraÃŸe 12, Bielefeld / Hillegossen (33699),98.000 1.690,2 Zimmer,58 m²,2. Geschoss,https://www.immowelt.de/expose/079ef52e-0ae2-48a5-b6fb-3afcb9008503,2616,"OelkerstraÃŸe 12,  Bielefeld / Hillegossen (33699)",0
OelkerstraÃŸe 12, Bielefeld / Hillegossen (33699),149.000 1.536,4 Zimmer,97 m²,Unknown,https://www.immowelt.de/expose/57289656-c25e-46cb-aa61-a85693fd6908,2616,"OelkerstraÃŸe 12,  Bielefeld / Hillegossen (33699)",0
Amshausen, Bielefeld (33619),550.000 2.973,5 Zimmer,185 m²,741 m² Grundstuck,https://www.immowelt.de/expose/4d60e833-4ab4-45fd-91f2-c7193fe4c508,2616,"Amshausen,  Bielefeld (33619)",0
Sudbrack, Bielefeld (33613),630.000 2.000,"14,5 Zimmer",315 m²,778 m² Grundstuck,https://www.immowelt.de/expose/4b643bd0-3ec5-4322-bd1a-8827125f3080,2616,"Sudbrack,  Bielefeld (33613)",99
