Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
Metjengerdesweg 5, Oldenburg (26127),299.500 3.088,4 Zimmer,97 m²,138 m² Grundstuck,https://www.immowelt.de/expose/94d9a4d0-eb4a-4a84-9155-4cbcd5b19821,4004,"Metjengerdesweg 5,  Oldenburg (26127)",0
Deelweg, Oldenburg (26121),525.000 5.501,"95,4 m²",Unknown,Unknown,https://www.immowelt.de/expose/06b76459-d14f-44e3-aba4-d5a7b36caaad,4004,"Deelweg,  Oldenburg (26121)",179
Bloherfelde, Oldenburg (26129),219.000 2.147,4 Zimmer,102 m²,252 m² Grundstuck,https://www.immowelt.de/expose/bf4110d6-6186-4ffd-8a27-72bccde9af6f,4004,"Bloherfelde,  Oldenburg (26129)",205
Kaspersweg, Oldenburg (26131),569.000 1.459,15 Zimmer,390 m²,702 m² Grundstuck,https://www.immowelt.de/expose/626dfe39-6209-4738-a123-80e654ec98c2,4004,"Kaspersweg,  Oldenburg (26131)",166
Nadorster Strasse 184 a und b, Oldenburg (26123),266.000 5.217,2 Zimmer,51 m²,1. Geschoss,https://www.immowelt.de/expose/729f5f26-4592-4970-9e31-77c445209f3b,4004,"Nadorster Strasse 184 a und b,  Oldenburg (26123)",0
KampstraÃŸe 10, Oldenburg (26135),291.900 5.578,2 Zimmer,"52,3 m²",EG,https://www.immowelt.de/expose/5f3abcf2-faf9-4aef-b826-1e0af85de7fd,4004,"KampstraÃŸe 10,  Oldenburg (26135)",0
KampstraÃŸe 10, Oldenburg (26135),491.500 5.578,3 Zimmer,"88,1 m²",2. Geschoss,https://www.immowelt.de/expose/ac657a8f-85c5-466e-8797-e63bc48226de,4004,"KampstraÃŸe 10,  Oldenburg (26135)",0
Meerkamp, Oldenburg (Oldenburg) / Bummerstede (26133),279.000 2.709,103 m²,Unknown,Unknown,https://www.immowelt.de/expose/b808a509-be39-45e6-8669-d38b644fe46d,4004,"Meerkamp,  Oldenburg (Oldenburg) / Bummerstede (26133)",0
Dragoner StraÃŸe 15, Oldenburg (26135),339.000 5.626,2 Zimmer,"60,3 m²",EG,https://www.immowelt.de/expose/1084e872-c3a9-464e-ae57-dc1baf291603,4004,"Dragoner StraÃŸe 15,  Oldenburg (26135)",0
Dragoner StraÃŸe 15, Oldenburg (26135),534.000 4.819,4 Zimmer,"110,8 m²",Unknown,https://www.immowelt.de/expose/5edd1a1d-4259-40b4-bd6a-e5315cf599c8,4004,"Dragoner StraÃŸe 15,  Oldenburg (26135)",0
Hundsmuhler StraÃŸe 159 D, Oldenburg (26131),220.000 2.939,3 Zimmer,"74,9 m²",Unknown,https://www.immowelt.de/expose/0acceb03-ddb7-47c9-890b-b956d87bb56c,4004,"Hundsmuhler StraÃŸe 159 D,  Oldenburg (26131)",0
RheinstraÃŸe, Oldenburg (26135),530.000 2.917,6 Zimmer,"181,7 m²",448 m² Grundstuck,https://www.immowelt.de/expose/bfc86dfd-75e6-4ac8-95c3-cfab2d9ea41f,4004,"RheinstraÃŸe,  Oldenburg (26135)",0
Hohenmoorstr. 10 c, Oldenburg (26135),525.000 3.346,5 Zimmer,"156,9 m²",298 m² Grundstuck,https://www.immowelt.de/expose/7525e0bd-489b-46b4-b62c-210cd52a4741,4004,"Hohenmoorstr. 10 c,  Oldenburg (26135)",75
Nadorster Strasse 184 a und b, Oldenburg (26123),353.000 5.220,2 Zimmer,"67,6 m²",1. Geschoss,https://www.immowelt.de/expose/cff710ca-1b2d-4baa-8dd6-3fde3f8a7097,4004,"Nadorster Strasse 184 a und b,  Oldenburg (26123)",0
KampstraÃŸe 10, Oldenburg (26135),457.900 5.573,3 Zimmer,"82,2 m²",1. Geschoss,https://www.immowelt.de/expose/048a41ec-fde3-4e68-be57-13ede6e1ed44,4004,"KampstraÃŸe 10,  Oldenburg (26135)",0
KampstraÃŸe 10, Oldenburg (26135),447.900 5.576,3 Zimmer,"80,3 m²",2. Geschoss,https://www.immowelt.de/expose/82fedca9-b9ae-45fb-b2bd-eca715a6e896,4004,"KampstraÃŸe 10,  Oldenburg (26135)",0
KampstraÃŸe 10, Oldenburg (26135),459.900 5.576,3 Zimmer,"82,5 m²",EG,https://www.immowelt.de/expose/f984b432-daab-4a2e-aebf-593511055271,4004,"KampstraÃŸe 10,  Oldenburg (26135)",0
KampstraÃŸe 10, Oldenburg (26135),289.900 5.585,2 Zimmer,"51,9 m²",1. Geschoss,https://www.immowelt.de/expose/678ed021-9c9b-4b6c-b47d-992a981e5672,4004,"KampstraÃŸe 10,  Oldenburg (26135)",0
Nadorster Strasse 184 a und b, Oldenburg (26123),266.000 5.217,2 Zimmer,51 m²,1. Geschoss,https://www.immowelt.de/expose/c5eeaec2-2b46-4f64-9d49-3c43daf041fa,4004,"Nadorster Strasse 184 a und b,  Oldenburg (26123)",0
Ehnern, Oldenburg (26121),Preis auf Anfrage,"11,5 Zimmer",210 m²,606 m² Grundstuck,https://www.immowelt.de/expose/d0a6bfce-a1c4-4549-9378-1e8decfbb658,4004,"Ehnern,  Oldenburg (26121)",258
Krusenbusch, Oldenburg (26135),339.900 3.504,4 Zimmer,97 m²,1.133 m² Grundstuck,https://www.immowelt.de/expose/c21b68d8-a82e-4946-9485-1491912aa675,4004,"Krusenbusch,  Oldenburg (26135)",78
Bloherfelde, Oldenburg (26129),589.000 2.214,266 m²,389 m² Grundstuck,Unknown,https://www.immowelt.de/expose/9fecce16-a393-4b0a-a495-01a427782a42,4004,"Bloherfelde,  Oldenburg (26129)",205
CÃ¤cilienplatz, Oldenburg (26122),198.000 3.094,2 Zimmer,64 m²,Unknown,https://www.immowelt.de/expose/c0a216ea-e0b2-464b-b9f5-a2360f7c4b4a,4004,"CÃ¤cilienplatz,  Oldenburg (26122)",0
Bloherfelde, Oldenburg (26129),649.000 3.005,8 Zimmer,216 m²,583 m² Grundstuck,https://www.immowelt.de/expose/1809092a-b95e-4fc2-8662-a4a06009cbab,4004,"Bloherfelde,  Oldenburg (26129)",205
Ofenerdiek, Oldenburg (26125),160.000 2.623,3 Zimmer,61 m²,Unknown,https://www.immowelt.de/expose/5489ff45-35cb-4abe-a969-a41a48686c59,4004,"Ofenerdiek,  Oldenburg (26125)",160
Alexanderfeld, Oldenburg (26127),339.000 3.082,4 Zimmer,110 m²,567 m² Grundstuck,https://www.immowelt.de/expose/4797636d-05cb-412a-8b52-9b3efc147ea5,4004,"Alexanderfeld,  Oldenburg (26127)",0
Burgeresch, Oldenburg (26127),369.000 2.838,5 Zimmer,130 m²,3. Geschoss,https://www.immowelt.de/expose/f63d6aba-26e5-4271-8c42-7a714371ff49,4004,"Burgeresch,  Oldenburg (26127)",311
Haarentor, Oldenburg / Wechloy (26129),434.000 2.411,6 Zimmer,180 m²,512 m² Grundstuck,https://www.immowelt.de/expose/1a82d498-7442-4192-9743-210327b7a6ed,4004,"Haarentor,  Oldenburg / Wechloy (26129)",230
Ofenerdiek, Oldenburg (26125),389.500 3.091,5 Zimmer,"126,1 m²","902,1 m² Grundstuck",https://www.immowelt.de/expose/6ead59e6-52b5-4d9e-8076-10280740fc75,4004,"Ofenerdiek,  Oldenburg (26125)",160
Breslauer StraÃŸe, Oldenburg (26135),329.000 1.769,8 Zimmer,186 m²,596 m² Grundstuck,https://www.immowelt.de/expose/259f5bd7-621f-4d8b-9df3-e6cd088c3712,4004,"Breslauer StraÃŸe,  Oldenburg (26135)",0
Meerkamp, Oldenburg (26133),259.000 2.303,4 Zimmer,"112,4 m²",359 m² Grundstuck,https://www.immowelt.de/expose/1f0ac147-2917-4b50-a99e-95ceee850b28,4004,"Meerkamp,  Oldenburg (26133)",140
An der Tonkuhle 4, Oldenburg (26131),599.000 4.753,4 Zimmer,126 m²,324 m² Grundstuck,https://www.immowelt.de/expose/81b3b0b5-cb2c-49b1-9c76-117d4d84c38c,4004,"An der Tonkuhle 4,  Oldenburg (26131)",247
