Price,city_id,Price_cleaned
1.440.000 9.047,1050,9.047
1.049.000 8.069,1050,8.069
999.000 8.687,1050,8.687
179.800 5.073,1050,5.073
199.800 4.861,1050,4.861
2.249.000 10.040,1050,10.04
2.249.000 10.040,1050,10.04
849.000 5.442,1050,5.442
1.184.900 6.336,1050,6.336
565.000 6.420,1050,6.42
698.000 8.147,1050,8.147
945.000 8.452,1050,8.452
299.000 4.983,1050,4.983
750.000 6.818,1050,6.818
535.000 4.028,1050,4.028
1.094.000 9.117,1050,9.117
275.000 5.978,1050,5.978
1.094.000 9.117,1050,9.117
1.094.000 9.086,1050,9.086
799.000 6.146,1050,6.146
1.425.000 5.856,1050,5.856
749.000 7.133,1050,7.133
1.098.000 7.732,1050,7.732
574.000 7.743,1050,7.743
815.000 6.037,1050,6.037
945.250 6.408,1050,6.408
449.000 5.712,1050,5.712
779.000 5.902,1050,5.902
1.199.800 8.107,1050,8.107
1.300.000 2.529,1050,2.529
299.000 4.823,1050,4.823
349.000 5.030,1050,5.03
318.000 5.213,1050,5.213
685.000 7.149,1050,7.149
650.000 8.407,1050,8.407
1.460.000 6.667,1050,6.667
699.000 6.355,1050,6.355
1.086.900 7.198,1050,7.198
549.000 6.100,1050,6.1
1.371.900 6.411,1050,6.411
1.103.900 7.623,1050,7.623
1.415.900 5.542,1050,5.542
1.199.000 10.900,1050,10.9
2.548.000 23.164,1050,23.164
749.000 7.133,1050,7.133
749.000 4.864,1050,4.864
1.425.000 5.856,1050,5.856
1.470.000 6.564,1050,6.564
610.000 8.468,1050,8.468
749.000 5.507,1050,5.507
535.000 6.446,1050,6.446
1.195.000 7.862,1050,7.862
1.460.000 6.667,1050,6.667
997.000 3.403,1050,3.403
997.000 3.403,1050,3.403
545.000 10.132,1050,10.132
890.000 5.794,1050,5.794
575.000 7.404,1050,7.404
399.000 4.290,1050,4.29
299.000 4.894,1050,4.894
545.000 10.132,1050,10.132
429.000 4.849,1050,4.849
319.000 2.241,1050,2.241
234.900 1.650,1050,1.65
1.450.000 8.056,1050,8.056
1.600.000 7.111,1050,7.111
2.500.000 11.111,1050,11.111
398.000 5.940,1050,5.94
2.335.000 7.389,1050,7.389
695.000 5.430,1050,5.43
200.000 2.778,1050,2.778
788.900 10.807,1050,10.807
380.000 3.167,1050,3.167
385.000 5.833,1050,5.833
918.900 5.933,1050,5.933
564.000 5.237,1104,5.237
295.000 1.686,1104,1.686
315.000 1.800,1104,1.8
346.800 4.900,1104,4.9
591.884 3.746,1104,3.746
468.000 3.900,1104,3.9
349.000 1.866,1104,1.866
446.000 3.912,1104,3.912
499.838 3.596,1104,3.596
179.000 2.475,1104,2.475
116.000 1.576,1104,1.576
465.300 3.077,1104,3.077
324.000 3.057,1104,3.057
199.000 2.724,1104,2.724
369.000 1.995,1104,1.995
139.000 2.317,1104,2.317
227.500 4.900,1104,4.9
362.000 5.007,1104,5.007
325.000 2.031,1104,2.031
799.000 4.994,1104,4.994
493.900 4.306,1104,4.306
392.900 4.375,1104,4.375
415.000 3.458,1104,3.458
624.993 4.112,1104,4.112
582.994 3.993,1104,3.993
329.000 3.323,1104,3.323
328.000 2.978,1104,2.978
499.000 2.523,1104,2.523
