Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score,Price_clean
1.440.000 9.047,5 Zimmer,"""159","2 m≤""",247 m≤ Grundstuck,https://www.immowelt.de/expose/77783c08-634a-4d4c-9ef0-f1118144b51e,1050,"""Ascherbachweg 9","  Dachau (85221)""",191.0,159.0
179.800 5.073,1 Zimmer,"""35","4 m≤""",Unknown,https://www.immowelt.de/expose/360b831f-00f2-4b50-88dd-ed6852f2adcc,1050,"""Dachau","  Dachau (85221)""",155.0,35.0
199.800 4.861,1 Zimmer,"""41","1 m≤""",Unknown,https://www.immowelt.de/expose/7a018fb8-0721-449e-81a0-810ca3840ae8,1050,"""Dachau","  Dachau (85221)""",155.0,41.0
698.000 8.147,3 Zimmer,"""85","7 m≤""",EG,https://www.immowelt.de/expose/3e8fc9a2-64c6-4223-af04-da67ee4d092b,1050,"""Dachau","  Dachau (85221)""",155.0,85.0
945.000 8.452,4 Zimmer,"""111","8 m≤""",Unknown,https://www.immowelt.de/projekte/expose/k2qt532,1050,"""Dachau","  Dachau (85221)""",155.0,111.0
535.000 4.028,5 Zimmer,"""132","8 m≤""",475 m≤ Grundstuck,https://www.immowelt.de/expose/f4feb1ca-221b-42da-842c-733a355cef88,1050,"""Dachau","  Dachau (85221)""",155.0,132.0
Preis auf Anfrage,3 Zimmer,"""78","4 m≤""",Unknown,https://www.immowelt.de/expose/ae048ca6-faa1-435d-a95a-5a40d53954d3,1050,"""Dachau","  Dachau (85221)""",155.0,78.0
Preis auf Anfrage,1 Zimmer,"""35","4 m≤""",Unknown,https://www.immowelt.de/expose/e8fab30e-2274-4186-a162-249476c150b9,1050,"""Dachau","  Dachau (85221)""",155.0,35.0
1.094.000 9.086,4 Zimmer,"""120","4 m≤""",Unknown,https://www.immowelt.de/expose/03ccb157-9936-4e81-887d-6e7a9de1ef7b,1050,"""Pfarrstra√üe xxx","  Dachau (85221)""",0.0,120.0
1.425.000 5.856,11 Zimmer,"""243","4 m≤""",583 m≤ Grundstuck,https://www.immowelt.de/expose/ba58fea7-8114-4535-89fe-3fc3c1f89043,1050,"""Dachau","  Dachau (85221)""",155.0,243.0
574.000 7.743,3 Zimmer,"""74","1 m≤""",2. Geschoss,https://www.immowelt.de/expose/21ebd6a7-3c29-4010-a8f0-01eb2d87eb5c,1050,"""Dachau","  Dachau (85221)""",155.0,74.0
945.250 6.408,6 Zimmer,"""147","5 m≤""",265 m≤ Grundstuck,https://www.immowelt.de/expose/7c01437c-0e1f-4720-9ae7-41e1a047c9ec,1050,"""Dachau","  Dachau (85221)""",155.0,147.0
449.000 5.712,3 Zimmer,"""78","6 m≤""",1. Geschoss,https://www.immowelt.de/expose/9e713037-8589-437d-9838-9863e9490c28,1050,"""Dachau","  Dachau (85221)""",155.0,78.0
349.000 5.030,2 Zimmer,"""69","4 m≤""",EG,https://www.immowelt.de/expose/2cbda9a1-5f5e-46b1-a48b-52a529d8b4aa,1050,"""Dachau","  Dachau (85221)""",155.0,69.0
685.000 7.149,2 Zimmer,"""95","8 m≤""",frei ab 01.05.2025,https://www.immowelt.de/expose/dfb6bcf2-23ee-41f7-82aa-b898a035edc0,1050,"""Dachau","  Dachau (85221)""",155.0,95.0
650.000 8.407,2 Zimmer,"""77","3 m≤""",EG,https://www.immowelt.de/expose/c2ce4f9c-0bdf-4bc3-9ea3-f3a47aa42a97,1050,"""Dachau","  Dachau (85221)""",155.0,77.0
1.103.900 7.623,6 Zimmer,"""144","8 m≤""",581 m≤ Grundstuck,https://www.immowelt.de/expose/1e8b5c1b-ec10-4e85-8814-7c80069b881b,1050,"""Sch√∂nbrunn","  Dachau (85221)""",0.0,144.0
1.415.900 5.542,8 Zimmer,"""255","5 m≤""",581 m≤ Grundstuck,https://www.immowelt.de/expose/7ce21395-bfff-405d-99e2-38e01befebe9,1050,"""Sch√∂nbrunn","  Dachau (85221)""",0.0,255.0
1.425.000 5.856,11 Zimmer,"""243","4 m≤""",583 m≤ Grundstuck,https://www.immowelt.de/expose/286be739-334a-42b2-ad84-8e37c23e6f72,1050,"""Dachau","  Dachau (85221)""",155.0,243.0
545.000 10.132,2 Zimmer,"""53","8 m≤""",2. Geschoss,https://www.immowelt.de/expose/5d0eadf6-2a1a-4396-9820-6a08fc41a55c,1050,"""Dachau","  Dachau (85221)""",155.0,53.0
