Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Ailingen 1, Friedrichshafen (88048)",3.250.000 € 7.471 €/m²,15 Zimmer,435 m²,1.193 m² Grundstück,https://www.immowelt.de/expose/aad0961d-1a51-45ba-b272-5c6a4b7352ed
"Friedrichshafen - Mitte 2, Friedrichshafen (88045)",198.000 € 3.143 €/m²,3 Zimmer,63 m²,1. Geschoss,https://www.immowelt.de/expose/9961f2c1-6587-44a3-b323-6713b8726c8d
"Friedrichshafen - West 2, Friedrichshafen (88045)",290.000 € 3.836 €/m²,4 Zimmer,"75,6 m²",3. Geschoss,https://www.immowelt.de/expose/893c8baa-05a0-448e-80f3-4f94c88006b3
"Friedrichstraße 59, Friedrichshafen - Mitte 1, Friedrichshafen (88045)",945.000 € 9.356 €/m²,"3,5 Zimmer",101 m²,3. Geschoss,https://www.immowelt.de/expose/b9953338-fd1b-41f6-bf5b-108623b189db
"Friedrichshafen - Ost 1, Friedrichshafen (88045)",299.000 € 4.365 €/m²,3 Zimmer,"68,5 m²",frei ab 01.12.2024,https://www.immowelt.de/expose/afabc61f-58f0-44e4-a87e-1375a161a6b1
"Klufterner Straße 151, Kluftern 3, Friedrichshafen (88048)",539.000 € 6.236 €/m²,3 Zimmer,"86,4 m²",EG,https://www.immowelt.de/expose/5ed0306a-af0f-400b-b1f5-e5a1c7a25e80
"Friedrichshafen - West 3, Friedrichshafen (88045)",579.700 € 6.019 €/m²,"3,5 Zimmer","96,3 m²",Unknown,https://www.immowelt.de/expose/79f27265-2502-46d7-9c49-0dff9b154c28
"Friedrichshafen - Mitte 3, Friedrichshafen (88045)",495.000 € 5.000 €/m²,3 Zimmer,99 m²,Unknown,https://www.immowelt.de/expose/45655928-6a5b-4846-8d48-9c14fe3d3290
"Friedrichshafen - Mitte 1, Friedrichshafen (88046)",335.000 € 3.573 €/m²,"3,5 Zimmer","93,8 m²",1. Geschoss,https://www.immowelt.de/expose/bc34ed58-a53f-470e-8f25-de5ea0e2d9a2
"Friedrichshafen - West 3, Friedrichshafen (88045)",268.000 € 5.218 €/m²,2 Zimmer,"51,4 m²",2. Geschoss,https://www.immowelt.de/expose/7e4a62f8-25de-41a6-b366-8d435a1aa9dc
"Friedrichshafen - West 3, Friedrichshafen (88045)",1.100.000 € 8.871 €/m²,4 Zimmer,124 m²,5. Geschoss,https://www.immowelt.de/expose/78608490-39a4-489b-bd30-e003fa86c8e2
"Friedrichshafen - Mitte 4, Friedrichshafen (88046)",1.950.000 € 5.766 €/m²,10 Zimmer,"338,2 m²",358 m² Grundstück,https://www.immowelt.de/expose/cfcb07e4-35a5-4623-87f0-6c2c781be7c9
"Fischbach 1, Friedrichshafen (88048)",350.000 € 4.118 €/m²,"3,5 Zimmer",85 m²,Unknown,https://www.immowelt.de/expose/a12de763-e069-4419-b494-fdcad5e2b7d2
"Friedrichshafen - Mitte 2, Friedrichshafen (88045)",525.000 € 4.976 €/m²,4 Zimmer,"105,5 m²",frei ab 01.04.2025,https://www.immowelt.de/expose/47932e6d-fe14-4605-905b-9868a313004f
