Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Albert-Schweitzer-Straße 23, Toitenwinkel, Rostock (18147)",221.000 € 2.688 €/m²,3 Zimmer,"82,2 m²",Unknown,https://www.immowelt.de/expose/c772fa1d-08ae-47c5-86d4-64d6c6dbb266
"Kröpeliner-Tor-Vorstadt, Rostock (18057)",349.000 € 3.455 €/m²,4 Zimmer,101 m²,Unknown,https://www.immowelt.de/expose/d560162c-52a4-46a3-b696-35c3dd831fcd
"Kleiner Warnowdamm 1d, Groß Klein, Rostock (18109)",309.900 € 3.874 €/m²,3 Zimmer,80 m²,4. Geschoss,https://www.immowelt.de/projekte/expose/k2mc532
"Diedrichshagen, Rostock (18119)",3.850.000 € 9.530 €/m²,7 Zimmer,404 m²,974 m² Grundstück,https://www.immowelt.de/expose/a8c7c835-cbaa-47b4-8fb8-38c3888af52f
"Kröpeliner-Tor-Vorstadt, Rostock (18057)",429.000 € 1.076 €/m²,"398,6 m²",484 m² Grundstück,Unknown,https://www.immowelt.de/expose/43185de5-f9ed-4c34-a437-366477ffd66d
"Am Findling 48, Diedrichshagen, Rostock (18119)",449.000 € 3.556 €/m²,4 Zimmer,126 m²,182 m² Grundstück,https://www.immowelt.de/expose/470a98b6-fa93-4dad-a727-84dbe9501bf0
"Biestow Ausbau 48, Biestow, Rostock (18059)",495.000 € 4.304 €/m²,4 Zimmer,115 m²,185 m² Grundstück,https://www.immowelt.de/expose/561bf9c0-47ca-497d-9e57-235f5948c98e
"Am Heiderand 22, Stuthof, Rostock (18146)",40.000 €,3 Zimmer,53 m²,667 m² Grundstück,https://www.immowelt.de/expose/793c30f4-ec15-471a-9531-edc03181af6f
"Gehlsdorf, Rostock (18147)",449.000 € 3.973 €/m²,4 Zimmer,113 m²,321 m² Grundstück,https://www.immowelt.de/expose/61b78cdd-044b-4cb4-bc63-0aee050f6e76
"Kleiner Warnowdamm 1e, Groß Klein, Rostock (18109)",249.900 € 3.675 €/m²,2 Zimmer,68 m²,1. Geschoss,https://www.immowelt.de/projekte/expose/k2mc532
"Warnemünde, Rostock (18119)",1.300.000 € 4.545 €/m²,286 m²,364 m² Grundstück,Unknown,https://www.immowelt.de/expose/2ac13870-bd4f-4725-b36e-48b937ef277a
"Reutershagen, Rostock / Reutershagen (18069)",212.000 € 2.872 €/m²,3 Zimmer,"73,8 m²",3. Geschoss,https://www.immowelt.de/expose/c41df567-9c49-4bfa-88c6-113910c0c6cc
"Lessingstraße 13, Stadtmitte, Rostock (18055)",698.000 € 7.282 €/m²,3 Zimmer,"95,9 m²",1. Geschoss,https://www.immowelt.de/expose/889c9b39-60db-4e69-a2bd-c6a8499bcc26
"Torfbrücke, Graal-Müritz (18181)",849.000 € 3.935 €/m²,7 Zimmer,"215,8 m²",755 m² Grundstück,https://www.immowelt.de/expose/74ba4e39-0b05-4581-bc57-29594c2e610d
"Hansaviertel, Rostock (18057)",249.000 € 3.320 €/m²,2 Zimmer,75 m²,3. Geschoss,https://www.immowelt.de/expose/23714b67-0206-4c45-bd73-ec7daf75ec67
"Biestow Ausbau 54, Biestow, Rostock (18059)",412.000 € 3.583 €/m²,4 Zimmer,115 m²,185 m² Grundstück,https://www.immowelt.de/expose/9a3a3fff-1240-4b5e-828f-3c96c51fd73a
"Brinckmansdorf, Rostock (18055)",370.000 € 3.136 €/m²,5 Zimmer,118 m²,573 m² Grundstück,https://www.immowelt.de/expose/ef1be011-7436-4ceb-837d-a54dd104559b
"Kröpeliner-Tor-Vorstadt, Rostock (18057)",199.990 € 3.509 €/m²,2 Zimmer,57 m²,Unknown,https://www.immowelt.de/expose/a08c2f6c-3f77-4f5c-a436-70bf166381ba
"Diedrichshagen, Rostock / Diedrichshagen (18119)",419.000 € 3.684 €/m²,4 Zimmer,"113,8 m²",183 m² Grundstück,https://www.immowelt.de/expose/7977a0c6-8588-4ac9-84f3-c7f0ff200c35
"Kleiner Warnowdamm 1d, Groß Klein, Rostock (18109)",299.900 € 4.410 €/m²,2 Zimmer,68 m²,4. Geschoss,https://www.immowelt.de/projekte/expose/k2mc532
"Hanne-Nüte-Weg 11, Reutershagen, Rostock (18069)",379.000 € 3.445 €/m²,5 Zimmer,110 m²,660 m² Grundstück,https://www.immowelt.de/expose/f8f7faee-d850-40a6-bc14-6e2c7a1eb6b4
"Kurze Str. 1A, Stadtmitte, Rostock (18055)",879.000 € 5.232 €/m²,"5,5 Zimmer",168 m²,88 m² Grundstück,https://www.immowelt.de/expose/afbabc00-2bc1-4c01-a15d-944980d29d99
"Brinckmansdorf, Rostock (18055)",460.000 € 3.777 €/m²,5 Zimmer,"121,8 m²",299 m² Grundstück,https://www.immowelt.de/expose/362b17a1-1c02-4983-bfa1-5c25307b587a
"an der hauerschneise 17, Hinrichshagen, Rostock (18146)",32.000 €,2 Zimmer,36 m²,255 m² Grundstück,https://www.immowelt.de/expose/475b074f-d63b-45d1-93b2-38d699a31e2f
"Südstadt, Rostock (18059)",385.218 € 2.568 €/m²,5 Zimmer,150 m²,600 m² Grundstück,https://www.immowelt.de/expose/44a59030-3d5a-4fdb-817f-34ff4ae124a8
"Südstadt, Rostock (18059)",410.117 € 2.563 €/m²,5 Zimmer,160 m²,748 m² Grundstück,https://www.immowelt.de/expose/f359aa34-bce8-4017-9dab-61dab4ae64f1
"Toitenwinkel, Rostock (18147)",172.000 € 3.038 €/m²,2 Zimmer,"56,6 m²",Unknown,https://www.immowelt.de/expose/a3261a6d-d916-4930-866c-57bbaffa119d
"Lichtenhagen, Rostock (18109)",325.000 €,5 Zimmer,125 m²,700 m² Grundstück,https://www.immowelt.de/expose/cd2489e5-792f-4c34-8040-5730bd3f12c4
"Tessiner Straße, Brinckmansdorf, Rostock (18055)",649.000 € 1.708 €/m²,8 Zimmer,380 m²,900 m² Grundstück,https://www.immowelt.de/expose/f45d2576-f9a0-4787-a743-15de2b07f692
"Pappelallee, Toitenwinkel, Rostock (18147)",180.000 € 3.056 €/m²,2 Zimmer,"58,9 m²",1. Geschoss,https://www.immowelt.de/expose/eec25364-5ed8-494b-9a7d-43715148ece0
"Südstadt, Rostock / Südstadt (18059)",425.000 € 4.208 €/m²,4 Zimmer,101 m²,156 m² Grundstück,https://www.immowelt.de/expose/8f9c7882-0027-4a12-b2ce-872a29a072ef
"Hansaviertel, Rostock (18059)",520.900 € 3.820 €/m²,4 Zimmer,"136,4 m²",500 m² Grundstück,https://www.immowelt.de/expose/0ea6b8a4-6e8c-44e4-9e77-1e29555deb98
"Kröpeliner-Tor-Vorstadt, Rostock (18057)",895.000 € 2.485 €/m²,14 Zimmer,"360,3 m²","312,1 m² Grundstück",https://www.immowelt.de/expose/7c3529dd-67ec-4f3c-b257-6fec10b95eca
"Stadtmitte, Rostock (18055)",949.000 € 6.636 €/m²,5 Zimmer,143 m²,Unknown,https://www.immowelt.de/expose/76e10f88-66b9-4a6f-a2b9-7c5805830a62
"Gehlsdorf, Rostock (18147)",659.000 € 4.055 €/m²,"5,5 Zimmer","162,5 m²",260 m² Grundstück,https://www.immowelt.de/expose/768e160e-ae0b-4bec-9da6-9f4a98f20253
"Lütten Klein, Rostock (18107)",190.000 € 2.714 €/m²,4 Zimmer,"70,1 m²",4. Geschoss,https://www.immowelt.de/expose/c9bd0b5f-18a8-4ae8-9c40-e81d15d47501
"Biestow, Rostock (18059)",385.000 € 3.500 €/m²,4 Zimmer,110 m²,120 m² Grundstück,https://www.immowelt.de/expose/d7ead5f2-4593-429c-b010-378af4f5b727
