Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Alt-Endenich, Bonn (53121)",433.500 € 5.693 €/m²,3 Zimmer,"76,1 m²",frei ab sofort,https://www.immowelt.de/projekte/expose/k2k4832
"Lannesdorf, Bonn (53179)",695.000 € 2.482 €/m²,11 Zimmer,280 m²,583 m² Grundstück,https://www.immowelt.de/expose/2a207eb7-4aba-457f-9622-8b369f5a8a13
"Beuel-Zentrum, Bonn (53225)",1.595.000 € 2.938 €/m²,17 Zimmer,"542,9 m²",Unknown,https://www.immowelt.de/expose/633c889e-0489-453e-bafd-de461d27ba06
"Truchseßstraße 36, Godesberg-Nord, Bonn (53175)",460.000 € 5.750 €/m²,3 Zimmer,80 m²,EG,https://www.immowelt.de/expose/10142a1a-14dd-4865-94b6-dba04b3bf76b
"Am Stadtwald 62, Schweinheim, Bonn (53177)",885.070 € 6.700 €/m²,4 Zimmer,"132,1 m²",frei ab 01.12.2025,https://www.immowelt.de/projekte/expose/k2vz732
"Am Stadtwald 62, Schweinheim, Bonn (53177)",739.412 € 6.700 €/m²,3 Zimmer,"110,4 m²",frei ab 01.12.2025,https://www.immowelt.de/projekte/expose/k2vz732
"Am Stadtwald 62, Schweinheim, Bonn (53177)",908.782 € 6.950 €/m²,4 Zimmer,"130,8 m²",frei ab 01.12.2025,https://www.immowelt.de/projekte/expose/k2vz732
"Pützchen/Bechlinghoven, Bonn (53229)",138.000 € 3.067 €/m²,2 Zimmer,45 m²,Unknown,https://www.immowelt.de/expose/cd098854-f325-4b6b-812b-8e2c8d246413
"Pützchen/Bechlinghoven, Bonn (53229)",138.000 € 3.067 €/m²,2 Zimmer,45 m²,Unknown,https://www.immowelt.de/expose/0b58e1c4-74e2-430e-9dd0-907d1eda8253
"Kessenich, Bonn (53113)",2.500.000 € 3.906 €/m²,25 Zimmer,640 m²,520 m² Grundstück,https://www.immowelt.de/expose/1af53de3-6986-45d0-af94-3f29bcd2aa44
"Holzlar, Bonn (53229)",769.900 € 5.065 €/m²,5 Zimmer,152 m²,798 m² Grundstück,https://www.immowelt.de/expose/b9b0ee59-279b-4b83-9169-8a3609b9844d
"Röttgen, Bonn / Röttgen (53125)",398.000 € 3.558 €/m²,4 Zimmer,"111,9 m²",305 m² Grundstück,https://www.immowelt.de/expose/b3c78222-5757-4a5c-a6f8-9639e555d79e
"Bonner Talviertel, Bonn (53115)",474.000 € 7.330 €/m²,2 Zimmer,"64,7 m²",EG,https://www.immowelt.de/expose/4007717f-2c8b-4f02-9433-6ec4193539a6
"Holzlar, Bonn (53229)",590.000 € 5.000 €/m²,5 Zimmer,118 m²,376 m² Grundstück,https://www.immowelt.de/expose/3de62266-eef5-4cc2-8c81-7ea4a2e40a0d
"Neu-Duisdorf, Bonn / Duisdorf (53123)",230.000 € 3.538 €/m²,3 Zimmer,65 m²,2. Geschoss,https://www.immowelt.de/expose/b945a169-c88b-42a1-b254-3726b43376f4
