Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Altstadt, Weimar (99423)",225.879 € 1.808 €/m²,4 Zimmer,"124,9 m²",547 m² Grundstück,https://www.immowelt.de/expose/48af7c0d-45b6-4740-8150-abcbaf9f8946
"Eduard-Rosenthal-Straße, Nordvorstadt, Weimar (99423)",299.900 € 4.799 €/m²,2 Zimmer,"62,5 m²",Unknown,https://www.immowelt.de/projekte/expose/k2s5432
"Eduard-Rosenthal-Straße, Nordvorstadt, Weimar (99423)",374.900 € 4.623 €/m²,3 Zimmer,"81,1 m²",EG,https://www.immowelt.de/projekte/expose/k2s5432
"Eduard-Rosenthal-Straße, Nordvorstadt, Weimar (99423)",469.900 € 4.577 €/m²,4 Zimmer,"102,7 m²",EG,https://www.immowelt.de/projekte/expose/k2s5432
"Eduard-Rosenthal-Straße, Nordvorstadt, Weimar (99423)",269.900 € 4.671 €/m²,2 Zimmer,"57,8 m²",Unknown,https://www.immowelt.de/projekte/expose/k2s5432
"Abraham-Lincoln-Straße 2, Westvorstadt, Weimar (99423)",Preis auf Anfrage,16 Zimmer,500 m²,916 m² Grundstück,https://www.immowelt.de/expose/1e05d20a-5d47-4fbb-b533-e021c7d92790
"Friedrich Ebert Straße 9, Nordvorstadt, Weimar (99423)",265.481 € 4.350 €/m²,2 Zimmer,61 m²,Unknown,https://www.immowelt.de/expose/939c14a7-871d-4df2-a018-c305659a87b9
"Friedrich Ebert Straße 9, Nordvorstadt, Weimar (99423)",634.700 € 5.000 €/m²,3 Zimmer,"126,9 m²",Unknown,https://www.immowelt.de/expose/68ef31c5-40bf-44e0-9d64-d1182e081d71
"Lisztstraße 26, Westvorstadt, Weimar (99423)",365.000 € 2.999 €/m²,4 Zimmer,"121,7 m²",2. Geschoss,https://www.immowelt.de/expose/4a984c3c-2dc3-4b94-95ce-7e9d80e238a4
"Westvorstadt, Weimar (99423)",1.035.000 € 4.863 €/m²,"212,8 m²",593 m² Grundstück,Unknown,https://www.immowelt.de/expose/f72657bd-a6fe-4a14-8b86-4dee4a6ac958
