Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
Amberg (86854),285.000 € 2.415 €/m²,5 Zimmer,118 m²,490 m² Grundstück,https://www.immowelt.de/expose/b522b965-7faf-42c0-926c-fe7d812d45c3
Amberg (86854),677.000 € 3.720 €/m²,5 Zimmer,182 m²,438 m² Grundstück,https://www.immowelt.de/expose/1c78f793-f97a-4af3-b71b-5b78946de825
Amberg (86854),708.000 € 4.344 €/m²,5 Zimmer,163 m²,438 m² Grundstück,https://www.immowelt.de/expose/8d2270c2-2674-429f-a801-fd307e2d5e88
Amberg (86854),583.200 € 3.513 €/m²,5 Zimmer,166 m²,438 m² Grundstück,https://www.immowelt.de/expose/011b8373-3310-4fac-a46b-b163aa38cd8a
Amberg (86854),569.200 € 3.492 €/m²,5 Zimmer,163 m²,439 m² Grundstück,https://www.immowelt.de/expose/b6f81a44-6032-4269-8a62-4f67bc815a36
Amberg (86854),Preis auf Anfrage,5 Zimmer,118 m²,1.492 m² Grundstück,https://www.immowelt.de/expose/7d51350b-dfe4-43ec-b62c-768d6de3a75b
Amberg (86854),553.000 € 3.711 €/m²,5 Zimmer,149 m²,438 m² Grundstück,https://www.immowelt.de/expose/386bf1de-da93-4833-92d2-fcf614877b2e
Amberg (86854),618.000 € 3.657 €/m²,5 Zimmer,169 m²,438 m² Grundstück,https://www.immowelt.de/expose/c884f596-6e31-4144-a16b-d62928671a67
"Türkheim, Türkheim (86842)",1.000.000 € 2.123 €/m²,471 m²,1.037 m² Grundstück,Unknown,https://www.immowelt.de/expose/e7de79df-cfcb-48d6-93e1-e1346d1e3073
"Buchloe, Buchloe (86807)",385.000 € 5.066 €/m²,3 Zimmer,76 m²,Unknown,https://www.immowelt.de/expose/34ed3be5-34f5-4dbb-8446-14df74ff04f3
"Buchloe, Buchloe (86807)",1.290.000 € 4.069 €/m²,11 Zimmer,317 m²,842 m² Grundstück,https://www.immowelt.de/expose/1f3b6bdd-ae27-429e-af5a-cf148fb3b08e
"Türkheim, Türkheim (86842)",875.000 € 2.352 €/m²,9 Zimmer,372 m²,1.332 m² Grundstück,https://www.immowelt.de/expose/2be7b0fc-58c8-4a83-a636-8cd6b378223b
"Lamerdingen, Lamerdingen (86862)",420.000 € 4.074 €/m²,"103,1 m²",330 m² Grundstück,Unknown,https://www.immowelt.de/expose/2dc298ec-62a5-45a3-8388-2033fffd8963
"Buchloe, Buchloe (86807)",564.329 € 3.965 €/m²,5 Zimmer,"142,3 m²",730 m² Grundstück,https://www.immowelt.de/expose/67b944c2-cb4f-4222-b394-2ddd0706a568
