Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Aschendorf, Papenburg (26871)",352.000 € 2.587 €/m²,4 Zimmer,"136,1 m²",550 m² Grundstück,https://www.immowelt.de/expose/a559bc62-325c-40ec-ab54-70b006ae3776
"Papenburg - Obenende, Papenburg (26871)",449.000 € 2.303 €/m²,5 Zimmer,195 m²,1.565 m² Grundstück,https://www.immowelt.de/expose/3ad1df05-47a4-4cc3-9cb4-14cbea1e818c
"Papenburg - Untenende, Papenburg (26871)",127.000 € 2.547 €/m²,1 Zimmer,"49,9 m²",EG,https://www.immowelt.de/expose/2cdf53e2-eb47-43a5-9d36-5ba3ed17952b
"Bokel, Papenburg (26871)",136.500 € 2.625 €/m²,2 Zimmer,52 m²,EG,https://www.immowelt.de/expose/a7a6f58a-255e-4b2e-bc25-127ea8139af8
"Papenburg - Untenende, Papenburg (26871)",178.000 € 2.618 €/m²,2 Zimmer,68 m²,Unknown,https://www.immowelt.de/expose/f0ae46a8-aa10-42c5-9635-506ab4d9eeb4
"Papenburg - Untenende, Papenburg (26871)",220.000 € 3.306 €/m²,2 Zimmer,"66,5 m²",Unknown,https://www.immowelt.de/expose/ba1916c9-6b6e-4e14-bad5-72f1f84c0689
"Mittelstraße 7, Aschendorf, Aschendorf , Stadt Papenburg (26871)",242.000 € 1.729 €/m²,5 Zimmer,140 m²,387 m² Grundstück,https://www.immowelt.de/expose/d0b2de32-e79f-43c7-8ac1-4108e2bcaf68
"Aschendorf, Papenburg (26871)",465.000 € 2.167 €/m²,7 Zimmer,"214,6 m²",3.630 m² Grundstück,https://www.immowelt.de/expose/2ec70642-3c84-4ef3-9425-9b79438939bf
"Papenburg - Obenende, Papenburg (26871)",434.000 € 1.512 €/m²,15 Zimmer,287 m²,991 m² Grundstück,https://www.immowelt.de/expose/113f1d58-ac3d-426b-ad72-9c92767b60e5
"Aschendorf, Papenburg-Aschendorf (26871)",355.000 € 2.610 €/m²,6 Zimmer,136 m²,2. Geschoss,https://www.immowelt.de/expose/3aff085f-ef18-473d-8e7d-502d0b94afe9
"Poststraße 3, Aschendorf, Papenburg / Aschendorf (Ems) (26871)",529.000 € 1.620 €/m²,"326,6 m²",Unknown,Unknown,https://www.immowelt.de/expose/92476816-f534-4df8-8d3f-c98486d2a820
"Papenburg - Untenende, Papenburg (26871)",265.000 € 2.652 €/m²,3 Zimmer,"99,9 m²",270 m² Grundstück,https://www.immowelt.de/expose/33945860-fa73-414c-99d6-ea20e83a987d
"Oldenburger Straße 20, Aschendorf, Papenburg / Aschendorf (Ems) (26871)",186.000 € 1.329 €/m²,140 m²,900 m² Grundstück,Unknown,https://www.immowelt.de/expose/c590c765-ef4e-4938-a1a7-d1456a7781b7
"Aschendorf, Papenburg (26871)",299.000 € 2.600 €/m²,4 Zimmer,115 m²,362 m² Grundstück,https://www.immowelt.de/expose/7e729c7e-521f-4781-aa23-4103402bdaee
"Bokel, Papenburg (26871)",225.000 € 2.885 €/m²,3 Zimmer,78 m²,Unknown,https://www.immowelt.de/expose/a2969eb1-43c5-4c29-8904-0c8a360d1e52
"Bokel, Papenburg (26871)",217.500 € 2.979 €/m²,3 Zimmer,73 m²,Unknown,https://www.immowelt.de/expose/3fb0b71d-a4f2-4dc5-844c-be783e9bbaa4
"Aschendorf, Papenburg (26871)",249.000 € 4.046 €/m²,3 Zimmer,"61,6 m²","315,1 m² Grundstück",https://www.immowelt.de/expose/f0778bd1-2790-49d0-adc7-ec3e6926c27f
"Papenburg - Obenende, Papenburg-Obenende (26871)",250.000 € 1.471 €/m²,7 Zimmer,170 m²,1.000 m² Grundstück,https://www.immowelt.de/expose/ac6821f5-9a8b-4b5a-84be-dc0b1b206e1e
"Papenburg - Obenende, Papenburg (26871)",350.000 € 1.667 €/m²,7 Zimmer,210 m²,864 m² Grundstück,https://www.immowelt.de/expose/60ddb41e-32cb-4db1-9d0f-2c484141d86a
"Aschendorf, Papenburg (26871)",569.000 € 2.411 €/m²,5 Zimmer,236 m²,Unknown,https://www.immowelt.de/expose/102ca202-3de0-48f3-9fc8-c35ed8e2b53f
"Papenburg - Untenende, Papenburg (26871)",329.000 € 2.419 €/m²,5 Zimmer,136 m²,445 m² Grundstück,https://www.immowelt.de/expose/012ce453-c19c-49be-9150-1242c0201d26
"Aschendorf, Papenburg (26871)",335.000 € 2.538 €/m²,4 Zimmer,132 m²,696 m² Grundstück,https://www.immowelt.de/expose/f722ae3f-6a9c-4626-9f97-87689da33685
"Aschendorf, Papenburg (26871)",550.000 € 2.750 €/m²,6 Zimmer,200 m²,1.200 m² Grundstück,https://www.immowelt.de/expose/6ade04a4-e5d4-4bec-b54a-4601d910bb4e
"Papenburg - Obenende, Papenburg (26871)",330.000 € 3.173 €/m²,"4,5 Zimmer",104 m²,320 m² Grundstück,https://www.immowelt.de/expose/6b3fbe22-9d0e-4a44-95e9-cb4e8312c6e9
"Herbrum, Papenburg- Herbrum (26871)",398.000 € 3.015 €/m²,5 Zimmer,132 m²,661 m² Grundstück,https://www.immowelt.de/expose/0ba292cc-19af-43af-b191-bba6733e031e
"Aschendorf, Papenburg / Aschendorf (Ems) (26871)",289.000 € 3.061 €/m²,3 Zimmer,"94,4 m²",Unknown,https://www.immowelt.de/expose/67474d39-8c42-44b0-a219-f592891fc655
