Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Boilstädt, Gotha (99867)",496.174 € 3.007 €/m²,6 Zimmer,165 m²,515 m² Grundstück,https://www.immowelt.de/expose/97f79aff-79ec-4dc7-bafa-c960491b3760
"Hermann-Haack-Straße 7/9, West, Gotha (99867)",89.300 € 1.529 €/m²,3 Zimmer,"58,4 m²",1. Geschoss,https://www.immowelt.de/expose/25a62d8e-1b96-46de-b374-4ca5bef656cf
"Uelleben, Gotha (99867)",300.000 € 714 €/m²,14 Zimmer,420 m²,2.265 m² Grundstück,https://www.immowelt.de/expose/78fea635-91c9-4bfa-bbac-a470f08f214e
"West, Gotha (99868)",346.795 € 3.468 €/m²,4 Zimmer,100 m²,531 m² Grundstück,https://www.immowelt.de/expose/0879e973-3f9c-4d7e-acb6-d79c81385583
"Siebleben, Gotha (99867)",446.914 € 4.026 €/m²,4 Zimmer,111 m²,1.163 m² Grundstück,https://www.immowelt.de/expose/162318a3-f180-4b2d-b3ee-b5351d2e9c26
"Ost, Gotha (99867)",29.999 € 208 €/m²,4 Zimmer,144 m²,1.515 m² Grundstück,https://www.immowelt.de/expose/c0954bdd-1d70-4710-bdc9-fc798fa01551
"Oststadt, Gotha (99867)",284.129 € 1.563 €/m²,5 Zimmer,"181,8 m²",566 m² Grundstück,https://www.immowelt.de/expose/e2f943fa-6d3b-4b0e-b597-d4b11b621d5b
"Uelleben, Gotha (99867)",469.551 € 3.261 €/m²,5 Zimmer,144 m²,515 m² Grundstück,https://www.immowelt.de/expose/0d2c1a5e-c6d7-450a-a47f-26930dcf1a22
"Weststadt, Gotha (99867)",87.000 € 1.369 €/m²,2 Zimmer,"63,6 m²",4. Geschoss,https://www.immowelt.de/expose/2f26cda3-a86b-46ab-abe6-63033089dd96
"Süd, Gotha (99867)",224.900 € 1.644 €/m²,5 Zimmer,"136,8 m²",343 m² Grundstück,https://www.immowelt.de/expose/51480836-dc9e-4744-bbf4-e4f76e26e43c
"Friedrichstraße, Oststadt, Gotha (99867)",169.000 € 1.913 €/m²,3 Zimmer,"88,4 m²",Unknown,https://www.immowelt.de/expose/cf5542c5-176d-42e7-9c7f-e16832931c70
"West, Gotha (99867)",230.000 € 1.353 €/m²,4 Zimmer,170 m²,170 m² Grundstück,https://www.immowelt.de/expose/6bd9d5f6-b2e6-4854-8f65-589ce5ae9065
"Bertha-Schneyer-Straße, Siebleben, Gotha (99867)",63.450 € 1.398 €/m²,2 Zimmer,"45,4 m²",4. Geschoss,https://www.immowelt.de/expose/29555fd6-5c33-46b8-8fac-f74ea667b63b
"Humboldtstr. 41, West, Gotha (99867)",52.400 € 1.132 €/m²,2 Zimmer,"46,3 m²",1. Geschoss,https://www.immowelt.de/expose/de26f692-36fb-4129-9a8a-2e64fd6b758b
"Uelleben, Gotha (99867)",189.000 € 700 €/m²,7 Zimmer,270 m²,1.330 m² Grundstück,https://www.immowelt.de/expose/0428a9f9-6553-4628-910b-304dc77dc939
"Mitte, Gotha (99867)",455.000 € 1.358 €/m²,9 Zimmer,335 m²,218 m² Grundstück,https://www.immowelt.de/expose/04e5764d-2ab3-43d7-8b35-32013155d164
"Siebleben, Gotha (99867)",120.000 € 1.692 €/m²,3 Zimmer,"70,9 m²",2. Geschoss,https://www.immowelt.de/expose/fc51bfab-5aee-4ea4-9aa0-a710e95dce27
"Oststadt, Gotha (99867)",110.000 € 1.571 €/m²,3 Zimmer,70 m²,1. Geschoss,https://www.immowelt.de/expose/d1e3016f-be8d-4142-9b48-1bc825c80e5c
"Süd, Gotha (99867)",363.900 € 2.459 €/m²,6 Zimmer,148 m²,666 m² Grundstück,https://www.immowelt.de/expose/3a5e1aeb-a16a-48c7-8b85-e4dd83e141d3
"Süd, Gotha (99867)",169.000 € 1.690 €/m²,5 Zimmer,100 m²,581 m² Grundstück,https://www.immowelt.de/expose/ee2325e1-7903-4e53-9b42-43637cb52df5
"West, Gotha (99868)",443.660 € 3.169 €/m²,5 Zimmer,140 m²,752 m² Grundstück,https://www.immowelt.de/expose/7f4b453d-2034-4b94-8ba5-a753fcdd7721
"West, Gotha (99868)",338.920 € 3.081 €/m²,4 Zimmer,110 m²,538 m² Grundstück,https://www.immowelt.de/expose/e244ba1d-d8b1-4437-9e32-eeb5f8371086
"West, Gotha (99867)",49.000 € 1.167 €/m²,2 Zimmer,"42,3 m²",EG,https://www.immowelt.de/expose/f2b0891a-ea2a-45df-87e3-e69aa28f4fdd
"Süd, Gotha (99867)",225.000 € 2.592 €/m²,"4,5 Zimmer","86,8 m²",269 m² Grundstück,https://www.immowelt.de/expose/b0115687-748c-434d-b650-7c1ada4c9e96
"West, Gotha (99867)",458.911 € 4.155 €/m²,4 Zimmer,"110,5 m²",531 m² Grundstück,https://www.immowelt.de/expose/db776af4-8bd1-4e3e-96aa-d3d28fbe7005
Gotha (99867),471.571 € 3.230 €/m²,6 Zimmer,146 m²,643 m² Grundstück,https://www.immowelt.de/expose/77f015ed-8341-4815-ae3c-55c6b694f605
"Süd, Gotha (99867)",203.999 € 1.637 €/m²,4 Zimmer,"124,6 m²",385 m² Grundstück,https://www.immowelt.de/expose/e40b8023-3cd2-4f4a-93f3-6683fb0cebc1
"Mitte, Gotha (99867)",399.999 € 1.794 €/m²,5 Zimmer,"222,9 m²",840 m² Grundstück,https://www.immowelt.de/expose/988f1bf7-9a5e-405f-b0c7-759fbaf29fe5
"West, Gotha (99867)",339.429 € 2.362 €/m²,4 Zimmer,"143,7 m²",530 m² Grundstück,https://www.immowelt.de/expose/d94e7ad6-c539-48e9-93a7-696cb982b334
"Puschkinallee, Mitte, Gotha (99867)",81.500 € 876 €/m²,3 Zimmer,93 m²,Unknown,https://www.immowelt.de/expose/07f2f0fe-fd2c-4a05-8799-e399da27c3d7
"Weststadt, Gotha (99867)",228.779 € 2.317 €/m²,3 Zimmer,"98,7 m²",618 m² Grundstück,https://www.immowelt.de/expose/eced8fb8-2624-45a3-b1f5-a49ba05e2fb0
"Uelleben, Gotha (99867)",333.596 € 2.734 €/m²,4 Zimmer,122 m²,570 m² Grundstück,https://www.immowelt.de/expose/0077923f-cd11-4d33-8c74-04c1477e2a65
"Siebleben, Gotha (99867)",536.658 € 3.531 €/m²,4 Zimmer,152 m²,1.163 m² Grundstück,https://www.immowelt.de/expose/e6f2ca2a-9cbb-4017-9ed0-6701cfe0f8c7
"Boilstädt, Gotha (99867)",270.000 € 2.769 €/m²,3 Zimmer,"97,5 m²",444 m² Grundstück,https://www.immowelt.de/expose/13eb0303-668d-4ad4-91b4-2074d9024557
"Süd, Gotha (99867)",202.999 € 1.707 €/m²,3 Zimmer,"118,9 m²",579 m² Grundstück,https://www.immowelt.de/expose/57090507-3d68-4961-955a-35fd032bcd38
"Siebleben, Gotha (99867)",165.000 € 1.422 €/m²,5 Zimmer,116 m²,851 m² Grundstück,https://www.immowelt.de/expose/09c92b13-fe1b-4e68-8761-5a6ce819511e
"Uelleben, Gotha (99867)",308.859 € 3.120 €/m²,3 Zimmer,99 m²,570 m² Grundstück,https://www.immowelt.de/expose/1ba67c14-32b3-4673-8408-d49ef24765a7
