Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Buchholz, Buchholz (21244)",309.000 € 2.605 €/m²,5 Zimmer,"118,6 m²",221 m² Grundstück,https://www.immowelt.de/expose/7e5bcbde-04c7-4854-8cd4-cf9581fe6811
"Seppensen, Buchholz in der Nordheide (21244)",205.000 € 2.412 €/m²,3 Zimmer,85 m²,1. Geschoss,https://www.immowelt.de/expose/d529c49b-0143-41e2-80ba-57d867ca2e5e
"Trelde, Buchholz in der Nordheide (21244)",519.000 € 2.836 €/m²,8 Zimmer,183 m²,1.983 m² Grundstück,https://www.immowelt.de/expose/e3a634f8-e1ab-4860-b1a1-f59139916abd
"Steinbeck, Buchholz in der Nordheide (21244)",319.000 € 4.018 €/m²,"2,5 Zimmer","79,4 m²",Unknown,https://www.immowelt.de/expose/a4f5b1a8-a604-4351-b023-f9f7775e8d8f
"Buchholz, Buchholz in der Nordheide (21244)",798.000 € 4.896 €/m²,4 Zimmer,163 m²,3. Geschoss,https://www.immowelt.de/expose/fe40c147-87a0-4b36-b325-a76f4bb954f3
"Steinbeck, Buchholz in der Nordheide (21244)",499.000 € 4.697 €/m²,3 Zimmer,"106,2 m²",795 m² Grundstück,https://www.immowelt.de/expose/cc4d53c9-bb37-4355-9bf5-cb63cddd4ac9
"Buchholz, Buchholz i.d. Nordheide (21244)",799.000 € 3.288 €/m²,10 Zimmer,243 m²,1.008 m² Grundstück,https://www.immowelt.de/expose/b792303e-7968-400e-9473-91ee9f52cc44
"Holm-Seppensen, Buchholz in der Nordheide (21244)",839.000 € 4.143 €/m²,5 Zimmer,"202,5 m²",1.813 m² Grundstück,https://www.immowelt.de/expose/87812480-c8e5-41f7-9b43-240c2cab7878
"Buchholz, Buchholz in der Nordheide (21244)",849.000 € 4.162 €/m²,4 Zimmer,204 m²,710 m² Grundstück,https://www.immowelt.de/expose/18165ca4-0137-4143-beb3-5d3c673d047c
"Holm-Seppensen, Buchholz (21244)",329.000 € 3.528 €/m²,4 Zimmer,"93,3 m²",951 m² Grundstück,https://www.immowelt.de/expose/90cea155-412a-4531-9e09-988f6e989e3c
"Holm-Seppensen, Buchholz/Holm-Seppensen (21244)",199.000 € 1.531 €/m²,5 Zimmer,130 m²,200 m² Grundstück,https://www.immowelt.de/expose/406f1954-c770-4c65-a721-15b119d41c73
"Buchholz, Buchholz in der Nordheide (21244)",254.000 € 2.953 €/m²,4 Zimmer,86 m²,191 m² Grundstück,https://www.immowelt.de/expose/23c65591-b514-4f24-8842-07386c2f46d2
"Steinbeck, Buchholz in der Nordheide (21244)",279.500 € 3.355 €/m²,3 Zimmer,"83,3 m²",Unknown,https://www.immowelt.de/expose/57126551-6f9d-48cb-a8b1-3777c00465ca
"Dibbersen, Buchholz in der Nordheide (21244)",85.000 €,5.881 m² Grundstück,frei ab sofort,Unknown,https://www.immowelt.de/expose/4549bfbe-9952-4de8-9a4f-e2a44c369842
"Buchholz, Buchholz in der Nordheide (21244)",249.999 € 3.378 €/m²,3 Zimmer,74 m²,4. Geschoss,https://www.immowelt.de/expose/87f38479-19e5-4cba-b3bd-4de3b007f849
"Sprötze, Buchholz in der Nordheide (21244)",239.000 € 2.812 €/m²,3 Zimmer,85 m²,1. Geschoss,https://www.immowelt.de/expose/b3e5fe9b-50a0-494d-bad5-8f6327ca0255
"Am Radeland 33, Buchholz, Buchholz (21244)",259.000 € 4.317 €/m²,"2,5 Zimmer",60 m²,EG,https://www.immowelt.de/expose/356b70bd-a80e-41f5-82ea-fba5989b7cd3
"Buchholz, Buchholz in der Nordheide (21244)",299.000 € 3.322 €/m²,3 Zimmer,90 m²,2. Geschoss,https://www.immowelt.de/expose/efdb103f-7914-4352-af18-9565413fc2bb
"Buchholz, Buchholz in der Nordheide (21244)",299.000 € 3.322 €/m²,3 Zimmer,90 m²,2. Geschoss,https://www.immowelt.de/expose/5f540901-c516-420a-8257-698f0bf0ddb3
"Seppensen, Buchholz in der Nordheide (21244)",449.000 € 3.402 €/m²,5 Zimmer,132 m²,450 m² Grundstück,https://www.immowelt.de/expose/0e017c29-4bac-401d-bfbe-011d701e5ac7
"Buchholz, Buchholz in der Nordheide (21244)",320.000 € 3.404 €/m²,4 Zimmer,94 m²,2. Geschoss,https://www.immowelt.de/expose/a4913f85-1747-484b-ab8b-509a878300d2
"Trelde, Buchholz (21244)",525.000 € 4.070 €/m²,4 Zimmer,129 m²,911 m² Grundstück,https://www.immowelt.de/expose/620c1867-45da-4439-8c49-1ca4c7e0d3e2
"Buchholz, Buchholz (21244)",379.000 € 2.295 €/m²,6 Zimmer,"165,2 m²",999 m² Grundstück,https://www.immowelt.de/expose/88f09039-876a-45b3-aa6c-12376a21a3eb
