Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Domberg, Bamberg (96050)",594.000 € 4.715 €/m²,5 Zimmer,126 m²,251 m² Grundstück,https://www.immowelt.de/expose/587d31e8-46ef-4748-b786-6a31a4bb9eea
"Schulzentrum Starkenfeld, Bamberg (96052)",225.000 € 2.455 €/m²,4 Zimmer,"91,7 m²",Unknown,https://www.immowelt.de/expose/35266fb7-e1e9-4965-a98f-e2cb1ed18746
"Lorenz-Krapp-Straße 2, Domberg, Bamberg (96052)",330.000 € 5.971 €/m²,2 Zimmer,"55,3 m²",Unknown,https://www.immowelt.de/projekte/expose/k24k832
"Panzerleite, Panzerleite, Bamberg (96049)",339.500 € 4.850 €/m²,2 Zimmer,70 m²,2. Geschoss,https://www.immowelt.de/expose/598e7a94-dd83-4dee-8aa1-cd824050813f
"St. Gangolf, Bamberg (96052)",249.900 € 4.165 €/m²,3 Zimmer,60 m²,4. Geschoss,https://www.immowelt.de/expose/fcbd3c68-67b6-4480-a8fd-1f7aa159f455
"Lorenz-Krapp-Straße, Kasernen West, Bamberg (96052)",519.000 € 5.913 €/m²,4 Zimmer,"87,8 m²",frei ab sofort,https://www.immowelt.de/expose/293cf37c-580f-4d82-90a2-3af9ec7212e3
"Lorenz-Krapp-Straße, Kasernen West, Bamberg (96052)",439.000 € 5.711 €/m²,3 Zimmer,"76,9 m²",frei ab sofort,https://www.immowelt.de/expose/4fb0f0d1-80d0-4ee1-8061-0956ee10bbe7
"Lorenz-Krapp-Straße, Kasernen West, Bamberg (96052)",339.000 € 6.082 €/m²,2 Zimmer,"55,7 m²",frei ab sofort,https://www.immowelt.de/expose/c859f02d-3b65-4691-ae9d-79ee632cd1a5
"Giechburgblick, Bamberg (96052)",200.000 € 2.174 €/m²,3 Zimmer,92 m²,Unknown,https://www.immowelt.de/expose/413e3108-ae51-4fc0-87df-18f58c591feb
"Domberg, Bamberg (96052)",295.000 € 3.352 €/m²,3 Zimmer,88 m²,2. Geschoss,https://www.immowelt.de/expose/878347b9-970a-4801-a374-42a4095b59cd
"St. Gangolf, Bamberg (96050)",399.000 € 4.010 €/m²,4 Zimmer,"99,5 m²",3. Geschoss,https://www.immowelt.de/expose/eccf793c-833d-4c27-9da2-0329a8fbf568
"Panzerleite, Bamberg (96049)",279.000 € 3.650 €/m²,5 Zimmer,"76,4 m²",Unknown,https://www.immowelt.de/expose/84c27a1a-1392-439e-8902-18da1c6da317
"Gartenstadt, Bamberg (96052)",659.000 € 2.405 €/m²,13 Zimmer,274 m²,432 m² Grundstück,https://www.immowelt.de/expose/5d7ba3bb-e29b-4ae6-a11d-d74129794925
"Kasernen West, Bamberg (96052)",219.000 € 2.734 €/m²,3 Zimmer,"80,1 m²",frei ab sofort,https://www.immowelt.de/expose/2080e870-be34-421b-9b31-1229f9b7f72d
"Schulzentrum Starkenfeld, Bamberg (96050)",135.000 € 2.753 €/m²,2 Zimmer,49 m²,Unknown,https://www.immowelt.de/expose/f1115553-7bc6-4848-a0e3-75e2671ce070
"Domberg, Bamberg (96047)",Preis auf Anfrage,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/a441cf80-4f3a-4011-8ea2-0be84eeef380
"Giechburgblick, Bamberg (96052)",225.000 € 2.778 €/m²,3 Zimmer,81 m²,1. Geschoss,https://www.immowelt.de/expose/11f7e51e-7816-4990-ac77-2f92a97167ba
"Mittlerer Kaulberg 2, Panzerleite, Bamberg (96049)",552.250 € 3.156 €/m²,10 Zimmer,175 m²,220 m² Grundstück,https://www.immowelt.de/expose/a43ca137-92de-4c0d-9143-0d018f603a70
"Hallstadter Straße 17, Domberg, Bamberg (96052)",220.000 € 4.122 €/m²,2 Zimmer,"53,4 m²",1. Geschoss,https://www.immowelt.de/expose/1605f6e6-7fba-4d92-be9b-f4f508a7f537
"Domberg, Bamberg (96052)",269.000 € 4.144 €/m²,"2,5 Zimmer","64,9 m²",4. Geschoss,https://www.immowelt.de/expose/3383854a-06d4-4557-a6ef-8468c135cffe
"Mannlehenweg 26, Domberg, Bamberg (96050)",420.000 € 5.676 €/m²,2 Zimmer,74 m²,Unknown,https://www.immowelt.de/expose/d45247c5-5c76-46db-93b3-ad8171cc25a9
"Domberg, Bamberg (96050)",868.000 € 6.200 €/m²,3 Zimmer,140 m²,Unknown,https://www.immowelt.de/expose/243e71dc-38e3-465a-a374-43f4fee700a8
"Gertraudenstraße 12, Domberg, Bamberg (96050)",245.000 € 6.282 €/m²,2 Zimmer,39 m²,3. Geschoss,https://www.immowelt.de/expose/43f13a49-190a-421c-a97e-ffba8221d0f5
"Volkspark, Bamberg (96050)",337.000 € 4.179 €/m²,3 Zimmer,"80,6 m²",Unknown,https://www.immowelt.de/expose/f1d11353-f0f6-4367-a845-9cf99f10525a
"Wunderburg, Bamberg (96047)",279.900 € 3.834 €/m²,"2,5 Zimmer",73 m²,Unknown,https://www.immowelt.de/expose/06ae022a-3990-4e27-a86c-b4bea5e2e359
"Domberg, Bamberg (96050)",435.500 € 6.700 €/m²,2 Zimmer,65 m²,1. Geschoss,https://www.immowelt.de/expose/bf5125ae-ac66-47fd-9bc3-b3f4b67e7344
"Domberg, Bamberg (96052)",1.650.000 € 4.386 €/m²,"376,2 m²",Unknown,Unknown,https://www.immowelt.de/expose/881fd94c-d179-406b-a3f7-ede002c79f22
"Flugplatz, Bamberg (96052)",249.000 € 3.125 €/m²,3 Zimmer,"79,7 m²",EG,https://www.immowelt.de/expose/31af8b23-5f15-402e-b82e-3d0d92f33363
"Gaustadt Süd, Bamberg (96049)",690.000 €,5 Zimmer,1.124 m² Grundstück,Unknown,https://www.immowelt.de/expose/73382e43-ff0d-476e-9bef-189d0148efd3
"Mannlehenweg 26, Domberg, Bamberg (96050)",Preis auf Anfrage,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/281eb4b9-90ae-451e-9c99-03f90013a958
