Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Fellbach - Kernstadt, Fellbach (70736)",420.000 € 5.250 €/m²,"3,5 Zimmer",80 m²,2. Geschoss,https://www.immowelt.de/expose/8303e2c5-2b3f-4b16-a373-4776707eae61
"Fellbach - Kernstadt, Fellbach (70734)",435.000 € 4.142 €/m²,"3,5 Zimmer",105 m²,EG,https://www.immowelt.de/expose/60adcb75-155a-4e8e-be51-eb07dba3c23c
"Schmiden, Fellbach / Schmiden (70736)",448.000 € 2.422 €/m²,8 Zimmer,185 m²,2. Geschoss,https://www.immowelt.de/expose/d6f29f1a-7b58-4a7b-8dc4-061433f0d318
"Oeffingen, Fellbach (70736)",410.000 € 3.727 €/m²,"4,5 Zimmer",110 m²,167 m² Grundstück,https://www.immowelt.de/expose/210d317d-07e9-4201-8cd5-cadd70b09ff6
"Fellbach - Kernstadt, Fellbach (70734)",240.000 € 3.509 €/m²,3 Zimmer,68 m²,1. Geschoss,https://www.immowelt.de/expose/1259e24d-3a7e-4a0d-b33d-508c94b1ad2c
"Fellbach - Kernstadt, Fellbach (70734)",449.000 € 5.054 €/m²,3 Zimmer,"88,8 m²",Unknown,https://www.immowelt.de/expose/95ce9f2b-d75d-4786-ae7c-20efaf32cfbe
"Schmiden, Fellbach (70736)",779.000 € 3.895 €/m²,9 Zimmer,200 m²,799 m² Grundstück,https://www.immowelt.de/expose/4a92dbf8-bcb0-43aa-b0aa-fe8c7eff5514
"Fellbach - Kernstadt, Fellbach (70734)",399.500 € 4.342 €/m²,"3,5 Zimmer",92 m²,EG,https://www.immowelt.de/expose/182766bb-35e1-43b2-a4d1-dd9ec6ed4492
"Schmiden, Fellbach (70736)",349.500 € 3.718 €/m²,4 Zimmer,94 m²,EG,https://www.immowelt.de/expose/65ed5a85-59a3-4110-9606-16492198bd77
"Fellbach - Kernstadt, Fellbach (70736)",599.000 € 2.951 €/m²,9 Zimmer,203 m²,401 m² Grundstück,https://www.immowelt.de/expose/59f0191a-dce7-4f83-a662-a569259efe39
