Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Friesischer Berg - Exe, Flensburg (24937)",108.000 € 2.887 €/m²,1 Zimmer,"37,4 m²",Unknown,https://www.immowelt.de/expose/54db6b6c-c069-4e21-8249-04efa3edb6d9
"Nordstadt - Galwik, Flensburg (24939)",89.000 € 1.585 €/m²,2 Zimmer,"56,2 m²",1. Geschoss,https://www.immowelt.de/expose/11328f5b-cd4b-4b8b-a3e7-0540b3be00b3
"Tarup, Flensburg (24943)",349.000 € 3.867 €/m²,3 Zimmer,"90,3 m²",145 m² Grundstück,https://www.immowelt.de/expose/49825327-98a4-44cb-a7ef-ba83de073000
"Engelsby - Vogelsang, Flensburg / Engelsby (24943)",125.000 € 1.990 €/m²,2 Zimmer,"62,8 m²",EG,https://www.immowelt.de/expose/13c8f28a-0ebb-4510-ab2c-203aa6fede72
"Lindenallee 3, Nordstadt - Galwik, Flensburg (24939)",879.000 € 1.455 €/m²,604 m²,513 m² Grundstück,Unknown,https://www.immowelt.de/expose/233c7bfe-f9a7-4ab9-a87d-d6ae61a3113c
"Westliche Höhe - St.-Gertrud, Flensburg (24939)",949.000 € 4.126 €/m²,8 Zimmer,230 m²,900 m² Grundstück,https://www.immowelt.de/expose/7271d7a4-97b7-4af1-908c-795939bb15c0
"Westliche Höhe - Friedhof, Flensburg (24937)",549.000 € 3.229 €/m²,4 Zimmer,170 m²,846 m² Grundstück,https://www.immowelt.de/expose/7b42737a-0811-4bde-a782-11c08dbfe7a2
"Altstadt - St.-Marien, Flensburg (24937)",275.000 € 3.056 €/m²,3 Zimmer,90 m²,4. Geschoss,https://www.immowelt.de/expose/899451fd-f375-45a3-aace-dd18a915742d
"Neustadt - Nord, Flensburg (24939)",339.000 € 3.531 €/m²,3 Zimmer,96 m²,160 m² Grundstück,https://www.immowelt.de/expose/68074141-0efd-474b-9e8a-3144c06286e9
"Südstadt - Martinsberg, Flensburg (24941)",310.583 € 3.982 €/m²,3 Zimmer,78 m²,Unknown,https://www.immowelt.de/expose/a31b0956-2624-4b78-ad1f-486068f5925d
