Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Geestemünde - Nord, Bremerhaven (27570)",164.000 € 2.050 €/m²,4 Zimmer,80 m²,3. Geschoss,https://www.immowelt.de/expose/d19ed29c-2461-4155-b04b-171a27e14dfe
"Am Neuen Hafen 1, Mitte - Nord, Bremerhaven (27568)",289.990 € 4.738 €/m²,2 Zimmer,"61,2 m²",1. Geschoss,https://www.immowelt.de/projekte/expose/k2fq832
"Am Neuen Hafen 1, Mitte - Nord, Bremerhaven (27568)",299.990 € 4.902 €/m²,2 Zimmer,"61,2 m²",2. Geschoss,https://www.immowelt.de/projekte/expose/k2fq832
"Kieler Str. 11, Geestemünde - Süd, Bremerhaven (27570)",109.575 € 1.461 €/m²,3 Zimmer,75 m²,2. Geschoss,https://www.immowelt.de/expose/ad593c41-9443-48f8-8cc0-72020aed95aa
"Klushof, Bremerhaven (27576)",350.000 € 1.458 €/m²,7 Zimmer,240 m²,410 m² Grundstück,https://www.immowelt.de/expose/4a8211d6-788e-43ae-92d3-a6c30624b1a0
"Geestemünde - Nord, Bremerhaven (27570)",330.000 € 2.143 €/m²,8 Zimmer,154 m²,290 m² Grundstück,https://www.immowelt.de/expose/e46b7504-a44c-4e38-a69f-57519f10a00c
"Bürgerpark, Bremerhaven (27574)",225.000 € 1.481 €/m²,7 Zimmer,"151,9 m²",1.955 m² Grundstück,https://www.immowelt.de/expose/f56afab7-5483-45d3-b2f9-14c8be1c64c8
"Goethestraße, Bremerhaven (27576)",229.000 € 1.187 €/m²,10 Zimmer,193 m²,Unknown,https://www.immowelt.de/expose/8bce4199-7f9e-460b-b480-972693f147b0
"Jedutenberg, Bremerhaven (27572)",466.000 € 2.824 €/m²,5 Zimmer,165 m²,688 m² Grundstück,https://www.immowelt.de/expose/f5bdbe14-6131-4d94-8aa7-50f0a75c1bc0
"Twischkamp, Bremerhaven (27576)",79.000 € 1.266 €/m²,3 Zimmer,"62,4 m²",4. Geschoss,https://www.immowelt.de/expose/b831d198-1241-48aa-8fde-cf79bcc41951
