Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Genna  /  Lasbeck, Iserlohn (58642)",294.000 € 1.749 €/m²,4 Zimmer,"168,1 m²",430 m² Grundstück,https://www.immowelt.de/expose/188ee50b-c87b-435d-ad2a-a440c03b63bc
"Siedlerweg 42, Dröscheder Feld, Iserlohn (58638)",480.500 € 3.314 €/m²,"5,5 Zimmer",145 m²,600 m² Grundstück,https://www.immowelt.de/expose/dcd157f0-3ef0-4ea1-9fdb-c3e861ae4667
"Gerlingsen, Iserlohn (58638)",99.000 € 1.571 €/m²,2 Zimmer,63 m²,6. Geschoss,https://www.immowelt.de/expose/54435980-1447-40cf-bf71-f5afa1a2867d
"Sümmern - Süd, Iserlohn (58640)",190.000 € 1.696 €/m²,5 Zimmer,112 m²,529 m² Grundstück,https://www.immowelt.de/expose/74e12563-80ca-42f5-9002-96cb6bdd22ae
"Hennen  /  Rheinen, Iserlohn (58640)",997.000 € 2.769 €/m²,12 Zimmer,360 m²,1.177 m² Grundstück,https://www.immowelt.de/expose/50e9d873-a8ef-4465-92d5-48c6850bba84
"Siedlerweg, Dröscheder Feld, Iserlohn (58636)",474.300 € 3.540 €/m²,"4,5 Zimmer",134 m²,500 m² Grundstück,https://www.immowelt.de/expose/81952fdb-1da2-492f-b981-ae8ac2590fcc
"Sümmern - Nord, Iserlohn (58640)",330.000 € 1.416 €/m²,7 Zimmer,233 m²,613 m² Grundstück,https://www.immowelt.de/expose/26998d3d-7961-4948-83cb-3db0dda075f6
"Lennestr. 18, Genna  /  Lasbeck, Iserlohn (58642)",89.000 € 1.390 €/m²,2 Zimmer,64 m²,Unknown,https://www.immowelt.de/expose/cc3f366c-b72c-4e8c-9e31-b0073a63abaa
"Sümmern - Nord, Iserlohn (58640)",320.000 € 1.939 €/m²,7 Zimmer,165 m²,605 m² Grundstück,https://www.immowelt.de/expose/1cc28dc4-49e8-4fd2-ba30-bc1003e9d839
"Ackenbrock, Iserlohn (58638)",150.000 € 1.911 €/m²,2 Zimmer,"78,5 m²",EG,https://www.immowelt.de/expose/4f6ac21d-f1fb-414b-960c-fa305828c1c8
"Stadtkern - Nord, Iserlohn (58636)",452.000 € 1.094 €/m²,12 Zimmer,413 m²,194 m² Grundstück,https://www.immowelt.de/expose/0c196903-b298-45c2-b69e-3914a10a524f
"Stadtkern - Nord, Iserlohn (58636)",Preis auf Anfrage,4.438 m² Grundstück,Unknown,Unknown,https://www.immowelt.de/expose/78a2f229-1303-462b-b982-3dce9c281243
"Baarstraße 21, Dördel, Iserlohn (58636)",200.000 € 922 €/m²,9 Zimmer,217 m²,200 m² Grundstück,https://www.immowelt.de/expose/838b9782-b2da-48cd-8eac-7416be88b61c
"-, Nußberg  /  Hemberg, Iserlohn (58636)",799.000 € 4.994 €/m²,6 Zimmer,160 m²,230 m² Grundstück,https://www.immowelt.de/expose/c8e99930-4ad7-4b1b-8dda-6c935a10728c
