Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
Großbreitenbach (98701),115.000 € 966 €/m²,5 Zimmer,119 m²,318 m² Grundstück,https://www.immowelt.de/expose/e5a00303-6319-42ce-befa-ba2ce441669b
Großbreitenbach (98701),124.900 € 892 €/m²,9 Zimmer,140 m²,436 m² Grundstück,https://www.immowelt.de/expose/91d0a921-b710-41a8-a9db-d2557984dfa7
Großbreitenbach (98701),412.099 € 2.226 €/m²,5 Zimmer,"185,1 m²",869 m² Grundstück,https://www.immowelt.de/expose/ea786d90-8b4b-4e46-a3ff-5afae897861f
Großbreitenbach (98701),95.000 € 475 €/m²,11 Zimmer,200 m²,208 m² Grundstück,https://www.immowelt.de/expose/38bf2472-bab6-455a-9314-40c9feacd721
Großbreitenbach (98701),69.000 € 413 €/m²,6 Zimmer,167 m²,706 m² Grundstück,https://www.immowelt.de/expose/b32e82f3-2954-4cf3-a3a8-489241c07f6b
Großbreitenbach (98701),290.000 € 509 €/m²,570 m²,1.200 m² Grundstück,Unknown,https://www.immowelt.de/expose/7910bf96-1328-408f-bd8c-414707e99c23
Großbreitenbach (98701),85.000 € 386 €/m²,12 Zimmer,220 m²,419 m² Grundstück,https://www.immowelt.de/expose/272c7392-02ec-4e77-ad6f-9a7e194db157
Großbreitenbach (98701),119.000 € 688 €/m²,14 Zimmer,173 m²,635 m² Grundstück,https://www.immowelt.de/expose/e2c7e445-a690-44a9-b4d2-7f24eca8ebf4
Großbreitenbach (98701),125.000 € 659 €/m²,"189,7 m²",400 m² Grundstück,Unknown,https://www.immowelt.de/expose/858faf7e-2936-4409-9277-7f4d538c1189
Großbreitenbach (98701),164.900 € 670 €/m²,12 Zimmer,246 m²,838 m² Grundstück,https://www.immowelt.de/expose/edc203c5-f3ee-407e-ba4f-7fd887663653
Großbreitenbach (98701),149.000 € 892 €/m²,5 Zimmer,167 m²,783 m² Grundstück,https://www.immowelt.de/expose/0b056c91-f52a-4920-8d44-3685c976fe36
"Ortsstr. 24, Böhlen (98701)",70.000 € 350 €/m²,10 Zimmer,200 m²,880 m² Grundstück,https://www.immowelt.de/expose/205fa64a-c507-4779-9e09-1c875969236f
Großbreitenbach (98701),53.000 € 430 €/m²,6 Zimmer,"123,4 m²",1.306 m² Grundstück,https://www.immowelt.de/expose/d7076ba0-4337-43b5-885c-a6a12201eba9
"Am Gemeindegut 2, Großbreitenbach (98701)",345.000 € 1.154 €/m²,10 Zimmer,299 m²,3.832 m² Grundstück,https://www.immowelt.de/expose/1e3b243d-9f99-4934-a0ea-a8ac21e87684
Wildenspring (98701),60.000 € 120 €/m²,13 Zimmer,500 m²,1.193 m² Grundstück,https://www.immowelt.de/expose/6920a6e4-ff8d-45fd-978b-4e9c9163a807
