Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Grüner Baum / Festspielhügel, Bayreuth (95445)",419.000 € 3.036 €/m²,6 Zimmer,138 m²,666 m² Grundstück,https://www.immowelt.de/expose/71322d38-d6e0-4f74-9b85-1b7b933a59ca
"City, Bayreuth (95444)",230.000 € 2.875 €/m²,3 Zimmer,80 m²,frei ab sofort,https://www.immowelt.de/expose/f9c9bb5c-6fea-45f3-86fd-f44f8c51b94b
"Bamberger Str. 64a, Altstadt, Bayreuth (95445)",219.000 € 2.639 €/m²,3 Zimmer,83 m²,2. Geschoss,https://www.immowelt.de/expose/55335a2a-fd2d-47c0-b9e1-287605cb13db
"Roter Hügel, Bayreuth (95445)",97.000 € 3.233 €/m²,1 Zimmer,30 m²,Unknown,https://www.immowelt.de/expose/9f3f39b1-2be4-4f25-b7f3-f0b934e0160f
"Meyernberg, Bayreuth (95447)",263.000 € 2.798 €/m²,"3,5 Zimmer",94 m²,Unknown,https://www.immowelt.de/expose/8a457d47-e14a-4777-8bb0-e8d07a5a2086
"Königsallee / Eichelberg, Bayreuth (95445)",287.000 € 2.540 €/m²,4 Zimmer,113 m²,Unknown,https://www.immowelt.de/expose/05ba5ec8-13a2-4209-97f1-84497f8252e0
"Fröbelstr, 27, Roter Hügel, Bayreuth (95445)",990.000 € 2.250 €/m²,440 m²,600 m² Grundstück,Unknown,https://www.immowelt.de/expose/e1e3aa66-39cf-4432-be5e-2aec10984c05
"Meyernberg, Bayreuth (95447)",1.110.000 € 6.453 €/m²,4 Zimmer,172 m²,3. Geschoss,https://www.immowelt.de/expose/efa8f838-1031-4dfa-b156-133576a8c656
"Nürnberger Str. 38, Birken / Quellhöfe, Bayreuth (95448)",482.000 € 5.563 €/m²,4 Zimmer,"86,7 m²",4. Geschoss,https://www.immowelt.de/projekte/expose/k2wx832
"Grüner Baum / Festspielhügel, Bayreuth (95445)",495.000 € 2.929 €/m²,6 Zimmer,169 m²,276 m² Grundstück,https://www.immowelt.de/expose/9c7b542b-5c94-4262-991a-b1779e21a909
"Altstadt, Bayreuth (95445)",162.000 € 3.985 €/m²,1 Zimmer,"40,7 m²",1. Geschoss,https://www.immowelt.de/expose/d5f59153-0382-4f73-a71b-1b19b43c5ebc
"Nürnberger Str. 38, Birken / Quellhöfe, Bayreuth (95448)",314.000 € 5.246 €/m²,3 Zimmer,"59,9 m²",1. Geschoss,https://www.immowelt.de/projekte/expose/k2wx832
"Nürnberger Str. 38, Birken / Quellhöfe, Bayreuth (95448)",294.000 € 5.171 €/m²,"2,5 Zimmer","56,9 m²",1. Geschoss,https://www.immowelt.de/projekte/expose/k2wx832
"Nürnberger Str. 38, Birken / Quellhöfe, Bayreuth (95448)",439.000 € 5.476 €/m²,"3,5 Zimmer","80,2 m²",4. Geschoss,https://www.immowelt.de/projekte/expose/k2wx832
"Nürnberger Str. 38, Birken / Quellhöfe, Bayreuth (95448)",195.000 € 5.384 €/m²,1 Zimmer,"36,2 m²",1. Geschoss,https://www.immowelt.de/projekte/expose/k2wx832
"Aichig, Bayreuth (95444)",393.999 € 3.825 €/m²,4 Zimmer,103 m²,750 m² Grundstück,https://www.immowelt.de/expose/3f7cb99f-004f-4648-acc9-1f688bed5f96
"Grüner Baum / Festspielhügel, Bayreuth (95445)",535.000 € 2.833 €/m²,8 Zimmer,"188,9 m²",1.100 m² Grundstück,https://www.immowelt.de/expose/84a590e8-44cf-45a8-b070-20e54ab4d08a
"Heinrich-Fickenscher-Str. 18, Hammerstatt / St. Georgen, Bayreuth (95448)",109.000 € 4.037 €/m²,1 Zimmer,27 m²,Unknown,https://www.immowelt.de/expose/134ac456-c9ea-4427-9d67-48599e0eae01
"Wendelhöfen / Gartenstadt, Bayreuth (95445)",2.250.000 € 6.303 €/m²,10 Zimmer,357 m²,1.519 m² Grundstück,https://www.immowelt.de/expose/9db02087-541e-49ea-8a31-5d637e0ada64
"Markgrafenallee 21, Hammerstatt / St. Georgen, Bayreuth (95448)",275.000 € 2.750 €/m²,3 Zimmer,100 m²,2. Geschoss,https://www.immowelt.de/expose/eb006a6c-ae1e-4d32-ab7d-fb386f3eee4d
"Roter Hügel, Bayreuth (95445)",169.000 € 2.674 €/m²,2 Zimmer,"63,2 m²",1. Geschoss,https://www.immowelt.de/expose/d6f37b98-7977-430d-a016-0b364b95f8f9
"Königsallee / Eichelberg, Bayreuth (95448)",290.000 € 2.148 €/m²,5 Zimmer,135 m²,600 m² Grundstück,https://www.immowelt.de/expose/04c247d5-7426-401b-8e2a-ac0a3e339151
"Industriegebiet, Bayreuth (95448)",169.750 € 2.612 €/m²,2 Zimmer,65 m²,5. Geschoss,https://www.immowelt.de/expose/6cdb71a5-a65e-4176-92da-1a4d54c3c781
"Meyernberg, Bayreuth (95447)",165.000 € 2.369 €/m²,2 Zimmer,"69,7 m²",7. Geschoss,https://www.immowelt.de/expose/336bdc12-709a-4b02-984b-d3234dfd5041
"Nürnberger Str. 38, Birken / Quellhöfe, Bayreuth (95448)",483.000 € 5.821 €/m²,"3,5 Zimmer",83 m²,4. Geschoss,https://www.immowelt.de/projekte/expose/k2wx832
"Birken / Quellhöfe, Bayreuth (95444)",795.000 € 3.245 €/m²,8 Zimmer,245 m²,1.000 m² Grundstück,https://www.immowelt.de/expose/ae5dc5a6-4880-4d00-9121-e233ab320568
"Glocke / Saas, Bayreuth (95447)",545.300 € 5.100 €/m²,4 Zimmer,"106,9 m²",EG,https://www.immowelt.de/expose/c55929cc-3e56-44dd-8ec4-efe0b2990b0a
"Glocke / Saas, Bayreuth (95447)",422.700 € 5.250 €/m²,2 Zimmer,"80,5 m²",1. Geschoss,https://www.immowelt.de/expose/bb636e4f-b408-4c22-bd52-c5421a21fcc6
"Roter Hügel, Bayreuth (95445)","155.000 € 76,30 €/m²",2 Zimmer,"76,3 m²",Unknown,https://www.immowelt.de/expose/fa181f2d-d286-4b54-a347-25869b9a2c50
"Sankt Johannis, Bayreuth (95448)",427.966 € 4.900 €/m²,3 Zimmer,"87,3 m²",1. Geschoss,https://www.immowelt.de/expose/b851409e-5041-4b3f-98df-96b4f9cc1dd1
"Oberpreuschwitz, Bayreuth (95445)",499.000 € 2.467 €/m²,6 Zimmer,"202,3 m²",685 m² Grundstück,https://www.immowelt.de/expose/87c3965f-974d-48f1-8d8b-440eab17d525
