Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Harthausen, Filderstadt (70794)",854.000 € 5.972 €/m²,6 Zimmer,143 m²,440 m² Grundstück,https://www.immowelt.de/expose/2cd962a4-29bf-4d69-b7d4-8b89c8711df6
"Reutestr. 24/1, Plattenhardt, Filderstadt (70794)",857.600 € 6.700 €/m²,4 Zimmer,128 m²,2. Geschoss,https://www.immowelt.de/expose/6cc96db8-5af2-4cd8-855e-bdb4b6ba063f
"Reutestr. 24/1, Plattenhardt, Filderstadt (70794)",533.000 € 6.500 €/m²,3 Zimmer,82 m²,UG,https://www.immowelt.de/expose/0975088d-5110-437e-a7db-cba1285f1f81
"Reutestr. 24/2, Plattenhardt, Filderstadt (70794)",646.750 € 5.988 €/m²,4 Zimmer,108 m²,2. Geschoss,https://www.immowelt.de/expose/53e243c9-ccfc-4755-9094-a2d7ff2d35ff
"Reutestr. 24/2, Plattenhardt, Filderstadt (70794)",767.000 € 7.102 €/m²,4 Zimmer,108 m²,2. Geschoss,https://www.immowelt.de/expose/7b8e27b0-26b7-4fc2-9ffb-976a9c26a8b5
"Reutestr. 24/3, Plattenhardt, Filderstadt (70794)",838.500 € 6.500 €/m²,4 Zimmer,129 m²,1. Geschoss,https://www.immowelt.de/expose/f0d9e0f6-2ba0-45c4-9b74-521738efb654
"Reutestr. 24, Plattenhardt, Filderstadt (70794)",760.500 € 6.500 €/m²,4 Zimmer,117 m²,2. Geschoss,https://www.immowelt.de/expose/efd0d3fb-1ee0-444c-8010-09155e9debd5
"Plattenhardt, Filderstadt (70794)",499.000 € 5.871 €/m²,3 Zimmer,85 m²,Unknown,https://www.immowelt.de/projekte/expose/k2wj832
"Plattenhardt, Filderstadt (70794)",349.000 € 6.232 €/m²,2 Zimmer,56 m²,Unknown,https://www.immowelt.de/projekte/expose/k2wj832
"Plattenhardt, Filderstadt (70794)",499.000 € 5.929 €/m²,3 Zimmer,"84,2 m²",Unknown,https://www.immowelt.de/expose/e522ada5-27bd-4997-a6ba-9820805d106e
"Plattenhardt, Filderstadt (70794)",349.000 € 6.270 €/m²,2 Zimmer,"55,7 m²",Unknown,https://www.immowelt.de/expose/e228eb6a-f9ff-487f-a522-2a90babe1b3e
"Bonlanden, Filderstadt / Bonlanden (70794)",330.000 € 3.548 €/m²,"3,5 Zimmer",93 m²,Unknown,https://www.immowelt.de/expose/89938c2b-f2e7-4b07-b891-bdf9bfa68d3d
"Uhlbergstraße 11, Plattenhardt, Filderstadt (70794)",259.000 € 3.453 €/m²,2 Zimmer,75 m²,1. Geschoss,https://www.immowelt.de/expose/b7090011-fce8-45f1-8bf8-004d4f2ab1e5
