Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Innenstadt, Neuwied (56564)",325.000 € 1.161 €/m²,280 m²,184 m² Grundstück,Unknown,https://www.immowelt.de/expose/21b0b3a6-74b0-4081-8f0a-ad5d895f7c22
"Innenstadt, Neuwied (56564)",325.000 € 1.161 €/m²,9 Zimmer,280 m²,184 m² Grundstück,https://www.immowelt.de/expose/e28f7d07-eba1-43f7-9734-7d89d4efd2aa
"Segendorf, Neuwied (56567)",223.000 € 2.323 €/m²,5 Zimmer,96 m²,249 m² Grundstück,https://www.immowelt.de/expose/187b5d73-5cf7-48d3-88cc-9607e930d1c5
"Rodenbach, Neuwied (56567)",375.000 € 2.120 €/m²,9 Zimmer,217 m²,Unknown,https://www.immowelt.de/expose/b3a17758-5c86-40ba-9379-76175f8718e4
"Bahnhof Straße 14, Innenstadt, Neuwied (56564)",110.000 € 2.157 €/m²,2 Zimmer,51 m²,2. Geschoss,https://www.immowelt.de/expose/46b9764a-d8f7-4f3e-a865-d0d3fc120b25
"Heddesdorf, Neuwied (56564)",650.000 € 3.755 €/m²,5 Zimmer,"173,1 m²",871 m² Grundstück,https://www.immowelt.de/expose/4efd6902-92a1-47f9-b5ad-761345dca498
"Heddesdorf, Neuwied (56564)",502.000 € 4.073 €/m²,4 Zimmer,"123,2 m²",871 m² Grundstück,https://www.immowelt.de/expose/889c1903-b2ff-46b5-a39b-a874a7c55a5f
"Innenstadt, Gladbach (56564)",575.000 € 2.024 €/m²,6 Zimmer,"284,1 m²",650 m² Grundstück,https://www.immowelt.de/expose/13a836a0-3835-4279-a9f9-6beccfe2c43d
"Heddesdorf, Neuwied (56564)",325.000 € 1.035 €/m²,13 Zimmer,314 m²,309 m² Grundstück,https://www.immowelt.de/expose/bca51f76-af0a-4c76-ab80-1b8bf953fc18
"Heimbach-Weis, Neuwied (56566)",258.000 € 2.505 €/m²,5 Zimmer,103 m²,235 m² Grundstück,https://www.immowelt.de/expose/46ba3f79-aa91-43e0-93ab-db86370ae204
"Segendorf, Neuwied (56567)",349.000 € 2.908 €/m²,5 Zimmer,120 m²,590 m² Grundstück,https://www.immowelt.de/expose/1c2ca93e-997e-4efd-9b70-e1db45496939
"Engers, Neuwied (56566)",229.000 € 2.120 €/m²,4 Zimmer,108 m²,196 m² Grundstück,https://www.immowelt.de/expose/5b2eda47-203b-4f66-afb3-1ed8105553e9
"Arkenweg 3, Block, Neuwied (56566)",567.000 € 3.335 €/m²,5 Zimmer,170 m²,250 m² Grundstück,https://www.immowelt.de/expose/02e25484-a76d-454e-81a1-fa015ea683ab
"Finkenweg 15, Heddesdorf, Neuwied (56564)",279.000 € 4.650 €/m²,2 Zimmer,60 m²,EG,https://www.immowelt.de/expose/439915d3-43a9-45f4-983e-8abd7f183ef4
"Segendorf, Neuwied (56567)",298.000 € 1.923 €/m²,155 m²,220 m² Grundstück,frei ab sofort,https://www.immowelt.de/expose/d55c60ae-a670-4af2-8951-99ee170d3cda
"In Boden 26, Oberbieber, Neuwied (56566)",329.000 € 2.719 €/m²,4 Zimmer,121 m²,545 m² Grundstück,https://www.immowelt.de/expose/4dd10813-909a-41d4-b247-0f5895bf5651
"Heddesdorf, Neuwied (56564)",859.000 € 1.562 €/m²,18 Zimmer,496 m²,844 m² Grundstück,https://www.immowelt.de/expose/3a68b978-62f1-4fa7-9b78-6922476ce5ce
"Friedrich-Rech-Str. 182, Oberbieber, Neuwied (56566)",249.000 € 1.383 €/m²,9 Zimmer,180 m²,526 m² Grundstück,https://www.immowelt.de/expose/7155aa5d-e853-451a-b49f-2ce96f08eb9a
"Heddesdorf, Neuwied (56564)",326.265 € 3.364 €/m²,3 Zimmer,97 m²,EG,https://www.immowelt.de/expose/c8b9120a-38b1-4640-a967-2a687852151a
"Innenstadt, Neuwied (56564)",413.950 € 3.201 €/m²,"129,3 m²",3. Geschoss,Unknown,https://www.immowelt.de/expose/867880cb-f326-4540-a9b9-cb19c56b5b39
"Innenstadt, Neuwied (56564)",399.680 € 3.200 €/m²,"124,9 m²",2. Geschoss,Unknown,https://www.immowelt.de/expose/623bdd78-3df9-4506-bb14-e242311bc72f
"Rheinstrasse 5., Innenstadt, Neuwied (56564)",368.500 € 2.950 €/m²,4 Zimmer,"124,9 m²",2. Geschoss,https://www.immowelt.de/expose/0fbb3660-f8ef-47d9-b22d-8a6efaae2907
"Rheinstrasse 5., Innenstadt, Neuwied (56564)",359.200 € 3.200 €/m²,4 Zimmer,"112,2 m²",4. Geschoss,https://www.immowelt.de/expose/8de64bdf-0780-4140-9956-c256e7b1cd9e
"Oberbieber, Oberbieber (56566)",545.000 € 3.832 €/m²,4 Zimmer,"142,2 m²",679 m² Grundstück,https://www.immowelt.de/expose/6dcbff3f-d2db-4c36-819a-caed0012e290
"Heddesdorf, Neuwied (56564)",246.000 €,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/a98a6b52-da8e-4676-9c2c-7b928bfc9965
"Feldkirchen, Neuwied-Feldkirchen (56567)",652.900 € 3.265 €/m²,5 Zimmer,200 m²,650 m² Grundstück,https://www.immowelt.de/expose/86c347c8-6662-4625-88b7-87aed036a7e2
"Heddesdorf, Neuwied (56564)",410.000 € 3.228 €/m²,5 Zimmer,127 m²,218 m² Grundstück,https://www.immowelt.de/expose/f8d79ee7-29e8-40e2-b077-1d0ac00b9a18
"Innenstadt, Neuwied (56564)",360.000 € 3.000 €/m²,5 Zimmer,120 m²,580 m² Grundstück,https://www.immowelt.de/expose/9b251b60-538d-45cd-8c0d-d4ff4586e641
"Gladbach, Neuwied (56566)",217.000 € 1.722 €/m²,6 Zimmer,126 m²,198 m² Grundstück,https://www.immowelt.de/expose/c5b69e41-a5e4-43f7-8ed6-365c36f35257
"Heddesdorf, Neuwied (56564)",410.000 € 3.228 €/m²,127 m²,Unknown,Unknown,https://www.immowelt.de/expose/ac6338d0-d02e-448f-9d8f-3c6d3aab2bbe
"Engers, Neuwied / Engers (56566)",1.190.000 € 2.840 €/m²,10 Zimmer,419 m²,1.827 m² Grundstück,https://www.immowelt.de/expose/a405c6f2-eeaa-4cee-9824-f0b70edc3fc3
"Oberbieber, Neuwied (56566)",390.000 € 1.494 €/m²,261 m²,313 m² Grundstück,Unknown,https://www.immowelt.de/expose/dc8866a2-e5d5-4ec5-9640-d5a8b9cf5ef6
"Heimbach-Weis, Neuwied (56566)",258.000 € 2.064 €/m²,125 m²,235 m² Grundstück,Unknown,https://www.immowelt.de/expose/33470a2b-8fa2-4621-95d3-4d481678840f
"Heimbach-Weis, Neuwied (56566)",258.000 € 2.505 €/m²,5 Zimmer,103 m²,235 m² Grundstück,https://www.immowelt.de/expose/b8645105-84d5-471e-bf0f-48f6fd48e1d7
"Oberbieber, Neuwied-Oberbieber (56566)",243.000 € 1.944 €/m²,4 Zimmer,125 m²,362 m² Grundstück,https://www.immowelt.de/expose/9e134d47-305d-42c1-9425-1ce5b2e42831
"Heimbach-Weis, Neuwied (56566)",258.000 € 2.505 €/m²,103 m²,Unknown,Unknown,https://www.immowelt.de/expose/1766a438-b5e5-4c68-baac-dcda2ad660ea
"Heddesdorf, Neuwied (56564)",410.000 € 3.228 €/m²,127 m²,218 m² Grundstück,Unknown,https://www.immowelt.de/expose/5d1b3711-ba8d-4869-91f8-dda63e595827
