Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Kaufbeuren, Kaufbeuren (87600)",839.669 € 3.950 €/m²,5 Zimmer,"212,6 m²",961 m² Grundstück,https://www.immowelt.de/expose/012a8395-20e4-4fd7-9fad-6fd0d7b83b84
"Kaufbeuren, Kaufbeuren (87600)",433.400 € 4.992 €/m²,2 Zimmer,"86,8 m²",2. Geschoss,https://www.immowelt.de/expose/e51e6e63-4be6-4996-a0de-c1e03683aee3
"Kaufbeuren, Kaufbeuren (87600)",734.159 € 4.984 €/m²,4 Zimmer,"147,3 m²",777 m² Grundstück,https://www.immowelt.de/expose/5846a963-c6f5-43ad-bae3-05627f827c78
"Oberbeuren, Kaufbeuren (87600)",579.000 € 4.420 €/m²,5 Zimmer,131 m²,101 m² Grundstück,https://www.immowelt.de/expose/9d5e3214-fcc2-4c87-90fc-2ffde26a667b
"Oberbeuren, Kaufbeuren (87600)",358.000 € 4.142 €/m²,3 Zimmer,"86,4 m²",frei ab sofort,https://www.immowelt.de/expose/003414c9-f785-482e-934f-64d131cd3897
"Peter-Schegg-Straße 24, Kaufbeuren, Kaufbeuren (87600)",169.000 € 3.073 €/m²,2 Zimmer,55 m²,3. Geschoss,https://www.immowelt.de/expose/a88f8f6d-8740-4c34-9521-3dd9dcdd846e
"Kaufbeuren, Kaufbeuren (87600)",99.500 € 2.843 €/m²,1 Zimmer,35 m²,Unknown,https://www.immowelt.de/expose/7777cbca-5398-403b-90cc-7339cffe224c
"Kemnater Str. 3, Kaufbeuren, Kaufbeuren (87600)",398.000 € 2.601 €/m²,5 Zimmer,153 m²,597 m² Grundstück,https://www.immowelt.de/expose/8a36dd67-8a51-4f20-9861-070a5f1d3b95
"Kaufbeuren, Kaufbeuren (87600)",180.000 € 3.600 €/m²,2 Zimmer,50 m²,Unknown,https://www.immowelt.de/expose/09199a1f-b991-4341-a875-fdab3be61a46
"Kaufbeuren, Kaufbeuren (87600)",399.000 € 2.956 €/m²,5 Zimmer,135 m²,Unknown,https://www.immowelt.de/expose/e02af7cf-f8b9-4cc4-b8f3-8f6ac086eb50
"Kaufbeuren, Kaufbeuren (87600)",235.000 € 2.901 €/m²,3 Zimmer,81 m²,5. Geschoss,https://www.immowelt.de/expose/dcc3b1fb-f312-41ed-94d8-53e51c0d3207
"Kaufbeuren, Kaufbeuren (87600)",200.000 € 3.333 €/m²,2 Zimmer,60 m²,5. Geschoss,https://www.immowelt.de/expose/82e02e82-a8d5-442b-8782-6b112e7532af
"Kaufbeuren, Kaufbeuren (87600)",675.000 € 2.519 €/m²,13 Zimmer,268 m²,1.083 m² Grundstück,https://www.immowelt.de/expose/62e7ebbc-700d-44f4-881b-4285574d2fbb
"Kaufbeuren, Kaufbeuren (87600)",370.000 € 2.270 €/m²,6 Zimmer,163 m²,175 m² Grundstück,https://www.immowelt.de/expose/99b87587-14fb-4268-b73c-fc3861a2d16b
