Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Kurzer Kamp 6, Altgarbsen - Ost, Garbsen (30823)",575.000 € 2.357 €/m²,9 Zimmer,244 m²,647 m² Grundstück,https://www.immowelt.de/expose/a191aba1-c21a-497e-ad0e-181ad4ff9284
"Horst, Garbsen (30826)",490.000 € 2.188 €/m²,228 m²,655 m² Grundstück,Unknown,https://www.immowelt.de/expose/fc3c3d0e-d381-4138-9b07-41c692fe85dd
"Auf der Horst - Süd, Garbsen (30823)",358.000 € 2.106 €/m²,5 Zimmer,170 m²,Unknown,https://www.immowelt.de/expose/0b179f1c-1c5d-4680-8576-496a83cb7534
"Osterwald - Unterende, Garbsen (30826)",290.000 € 1.105 €/m²,8 Zimmer,"262,4 m²",602 m² Grundstück,https://www.immowelt.de/expose/cbfc87b5-16c9-4840-94b6-18ad1a1dedd6
"Osterwald - Unterende, Garbsen (30826)",328.000 € 2.759 €/m²,4 Zimmer,"118,9 m²",550 m² Grundstück,https://www.immowelt.de/expose/5ca76d6d-89dc-44f5-91a7-326aca3a2016
"Osterwald - Unterende, Garbsen (30826)",349.000 € 3.257 €/m²,4 Zimmer,"107,2 m²",602 m² Grundstück,https://www.immowelt.de/expose/149f51e7-4279-4c68-a001-ffbbb113420f
"Osterwald - Unterende, Garbsen (30826)",360.000 € 2.531 €/m²,4 Zimmer,"142,2 m²",602 m² Grundstück,https://www.immowelt.de/expose/d33c2f97-f791-4759-a0ca-c28603fdda5d
"Osterwald - Oberende, Garbsen (30826)",450.000 € 2.778 €/m²,5 Zimmer,162 m²,450 m² Grundstück,https://www.immowelt.de/expose/6cfca539-e53f-4185-a2d8-b08a815d9f07
"Osterwald - Unterende, Garbsen (30826)",525.000 € 3.500 €/m²,6 Zimmer,150 m²,800 m² Grundstück,https://www.immowelt.de/expose/d97f8d1c-f187-475a-aa5d-cdfcfee44cfc
"Kurzer Kamp 6, Altgarbsen - Ost, Garbsen (30823)",250.000 € 2.941 €/m²,3 Zimmer,85 m²,Unknown,https://www.immowelt.de/expose/f07c570e-56cc-4886-977f-1c74e3842de0
"Osterwald - Oberende, Garbsen (30826)",464.949 € 4.359 €/m²,5 Zimmer,"106,7 m²",441 m² Grundstück,https://www.immowelt.de/expose/a0181ff4-7703-4582-9c3c-91b454d5eb67
"Osterwald - Unterende, Garbsen OT Osterwald (30826)",350.000 € 1.777 €/m²,"7,5 Zimmer",197 m²,800 m² Grundstück,https://www.immowelt.de/expose/ac5dc2d2-c2d3-4f28-a033-d4ac68c2499a
"Jahnsfelde, Garbsen / Berenbostel (30827)",175.000 € 2.215 €/m²,3 Zimmer,79 m²,Unknown,https://www.immowelt.de/expose/d316676c-e24c-4555-95fe-55523c918f30
"Horst, Garbsen (30826)",255.750 € 1.541 €/m²,4 Zimmer,166 m²,538 m² Grundstück,https://www.immowelt.de/expose/cce64a46-e996-4431-9d2f-d43f0cf164d9
"Havelse - Süd, Garbsen (30823)",595.000 € 3.306 €/m²,6 Zimmer,180 m²,238 m² Grundstück,https://www.immowelt.de/expose/c25ce78a-dd7a-4fc9-aef9-27961958e95b
"Frielingen, Garbsen-Frielingen (30826)",360.000 € 2.571 €/m²,6 Zimmer,140 m²,1.328 m² Grundstück,https://www.immowelt.de/expose/980ed0d4-e867-4a60-88fe-64343406306b
"Horst, Garbsen-Horst (30826)",480.000 € 3.692 €/m²,4 Zimmer,130 m²,1.018 m² Grundstück,https://www.immowelt.de/expose/135043e3-9647-4ceb-8f04-5485c13ca16d
"Rote Reihe 18, Berenbostel - Mitte, Garbsen (30827)",369.000 € 3.481 €/m²,4 Zimmer,106 m²,3. Geschoss,https://www.immowelt.de/expose/821e11ae-7a67-4a4d-9cc3-a6c9653bed58
"Osterwald - Unterende, Garbsen (30826)",477.000 € 1.912 €/m²,5 Zimmer,"249,5 m²",550 m² Grundstück,https://www.immowelt.de/expose/a52d33bf-cb64-4377-b44f-86338f2573d2
"Osterwald - Unterende, Garbsen (30826)",400.000 € 2.201 €/m²,6 Zimmer,"181,8 m²",602 m² Grundstück,https://www.immowelt.de/expose/a88675b4-4cfb-4c34-a2dd-12c9be1b7f98
"Im Stühe, Horst, Garbsen (30826)",382.590 € 3.609 €/m²,4 Zimmer,106 m²,656 m² Grundstück,https://www.immowelt.de/expose/fa345767-9227-4fde-afd3-138f045dc964
"Frielingen, Garbsen (30826)",725.000 € 2.199 €/m²,15 Zimmer,"329,8 m²",861 m² Grundstück,https://www.immowelt.de/expose/22241de3-3428-404a-a4bc-b90764704885
"Berenbostel - Nord, Garbsen (30827)",310.000 € 2.393 €/m²,6 Zimmer,"129,5 m²",196 m² Grundstück,https://www.immowelt.de/expose/16bd7caf-efd2-4fae-82b5-edbb3e0d62b1
"Berenbostel - Süd, Garbsen / Berenbostel (30827)",429.000 € 2.438 €/m²,5 Zimmer,176 m²,210 m² Grundstück,https://www.immowelt.de/expose/bb19faae-25c3-4087-b1cc-ec88411e5ee6
"Berenbostel - Nord, Garbsen (30827)",175.000 € 1.862 €/m²,4 Zimmer,94 m²,6. Geschoss,https://www.immowelt.de/expose/6e15859d-d6ae-4084-9ae4-a6150b46d624
"Horst, Garbsen (30826)",270.000 € 3.649 €/m²,"2,5 Zimmer",74 m²,1. Geschoss,https://www.immowelt.de/expose/34dd5ef3-a0f5-4887-a34b-f3cfc4abab21
"Berenbostel - Südost, Garbsen (30827)",621.061 € 6.211 €/m²,3 Zimmer,100 m²,618 m² Grundstück,https://www.immowelt.de/expose/b4ec79c8-945f-4cef-9d17-bacf55b33588
"Osterwald - Oberende, Garbsen (30826)",541.521 € 5.415 €/m²,3 Zimmer,100 m²,630 m² Grundstück,https://www.immowelt.de/expose/72b33591-fc2f-419d-bc56-bc1623004391
"Auf der Horst - Nord, Garbsen (30823)",335.000 € 2.638 €/m²,5 Zimmer,127 m²,300 m² Grundstück,https://www.immowelt.de/expose/19097362-a58e-481c-9d15-d19d84d122e6
"Stelingen, Garbsen (30827)",646.000 € 3.230 €/m²,9 Zimmer,200 m²,723 m² Grundstück,https://www.immowelt.de/expose/23a3b5ac-d040-41b0-9011-e49534718a99
"Stelingen, Garbsen (30827)",440.000 € 4.000 €/m²,7 Zimmer,110 m²,621 m² Grundstück,https://www.immowelt.de/expose/db602d3e-4a6e-4b43-ae2b-eae44ca7f961
"Dorfstr. 17, Berenbostel - Südost, Garbsen (30827)",185.000 € 2.622 €/m²,2 Zimmer,"70,6 m²",4. Geschoss,https://www.immowelt.de/expose/108272bb-8d03-41f8-9860-947163127687
"Osterwald - Oberende, Garbsen (30826)",601.066 € 3.878 €/m²,5 Zimmer,155 m²,630 m² Grundstück,https://www.immowelt.de/expose/5beab4bd-35c4-4d63-b48b-a67ec9c60887
"Horst, Garbsen (30826)",249.150 € 1.683 €/m²,5 Zimmer,148 m²,538 m² Grundstück,https://www.immowelt.de/expose/7a375330-ddbe-465c-ac2b-57bdda9e3dc2
"Berenbostel - Nord, Garbsen (30827)",195.000 € 2.407 €/m²,3 Zimmer,81 m²,1. Geschoss,https://www.immowelt.de/expose/a4c9bf07-9a98-4eaf-9381-c48eaddfa0e4
"Berenbostel - Südost, Garbsen (30827)",620.515 € 4.596 €/m²,4 Zimmer,135 m²,618 m² Grundstück,https://www.immowelt.de/expose/e35d6797-1ff5-4bdb-bc2f-1187eeceb047
"Berenbostel - Südost, Garbsen (30827)",630.090 € 4.667 €/m²,4 Zimmer,135 m²,618 m² Grundstück,https://www.immowelt.de/expose/0ef38938-50f2-4da3-bf11-256feaeab50b
"Osterwald - Unterende, Garbsen (30826)",558.579 € 3.906 €/m²,5 Zimmer,143 m²,630 m² Grundstück,https://www.immowelt.de/expose/025300f4-377d-4c00-9e0c-80b419a040bd
"Osterwald - Unterende, Garbsen (30826)",550.550 € 4.078 €/m²,4 Zimmer,135 m²,630 m² Grundstück,https://www.immowelt.de/expose/ce161f5e-4d0f-49a4-b97f-b0149852e43d
"Osterwald - Unterende, Garbsen (30826)",534.382 € 4.275 €/m²,5 Zimmer,125 m²,630 m² Grundstück,https://www.immowelt.de/expose/18c0b6a6-b077-4ad8-936a-73b7a533e6c8
"Berenbostel - Nordost, Garbsen (30827)",399.000 € 3.661 €/m²,4 Zimmer,109 m²,Unknown,https://www.immowelt.de/expose/a755c538-4fda-48dd-8d63-3999e978c70c
"Horst, Garbsen (30826)",169.000 € 1.965 €/m²,3 Zimmer,86 m²,2. Geschoss,https://www.immowelt.de/expose/53b7aaa3-c876-400c-968b-3d53d9042027
"Osterwald - Oberende, Garbsen-Osterwald (30826)",380.000 € 3.016 €/m²,"3,5 Zimmer",126 m²,240 m² Grundstück,https://www.immowelt.de/expose/4e91acfc-0b86-4b95-b11c-5114f9abc539
"Berenbostel - Nordost, Garbsen / Berenbostel (30827)",99.000 € 1.456 €/m²,3 Zimmer,68 m²,2. Geschoss,https://www.immowelt.de/expose/3beb781f-1e8b-4794-af10-b69e4d7a0b05
"Berenbostel - Süd, Garbsen (30827)",259.000 € 1.870 €/m²,5 Zimmer,"138,5 m²",402 m² Grundstück,https://www.immowelt.de/expose/2a55cd78-e508-4692-99d6-94e46fbc2d13
"Osterwald - Unterende, Garbsen (30826)",699.000 € 2.240 €/m²,7 Zimmer,312 m²,850 m² Grundstück,https://www.immowelt.de/expose/f0a23010-91d7-4a17-960f-f04eb80bf39e
"Auf der Horst - Süd, Garbsen (30823)",398.000 € 3.461 €/m²,4 Zimmer,115 m²,283 m² Grundstück,https://www.immowelt.de/expose/0860592f-5cf9-4e31-87db-593917b5a2d3
"Berenbostel - Nord, Garbsen / Berenbostel (30827)",199.000 € 2.653 €/m²,3 Zimmer,75 m²,2. Geschoss,https://www.immowelt.de/expose/e5f0ce2a-8993-4ba4-81ff-279f1365ea1f
"Osterwald - Unterende, Garbsen (30826)",529.000 € 3.306 €/m²,"5,5 Zimmer",160 m²,504 m² Grundstück,https://www.immowelt.de/expose/7d351dbe-3866-41e9-a358-58bb1857685e
"Berenbostel - Nord, Garbsen / Berenbostel (30827)",137.000 € 2.141 €/m²,2 Zimmer,64 m²,2. Geschoss,https://www.immowelt.de/expose/dfe3003a-7630-40e3-ac0b-a2fd4c146140
"Osterwald - Unterende, Garbsen (30826)",340.000 € 2.386 €/m²,6 Zimmer,"142,5 m²",950 m² Grundstück,https://www.immowelt.de/expose/65a5822a-255d-4f0c-b6d9-824949d40759
"Berenbostel - Mitte, Garbsen (30827)",385.000 € 3.291 €/m²,"5,5 Zimmer",117 m²,406 m² Grundstück,https://www.immowelt.de/expose/dfcec668-7a1e-4ae1-8c99-54419ff7ba1d
"Garbsen - Mitte, Garbsen-Mitte (30823)",420.000 € 3.500 €/m²,4 Zimmer,120 m²,329 m² Grundstück,https://www.immowelt.de/expose/34adb186-3d89-443e-bb57-f4a333785894
"Horst, Garbsen (30826)",395.000 € 2.724 €/m²,6 Zimmer,145 m²,302 m² Grundstück,https://www.immowelt.de/expose/c2ba99db-33eb-4484-8287-39eef0acc91b
"Altgarbsen - Süd, Garbsen (30823)",220.000 € 2.000 €/m²,3 Zimmer,110 m²,1. Geschoss,https://www.immowelt.de/expose/38b912ed-cff1-4505-82bb-90f7b7345f71
"Berenbostel - Südost, Garbsen (30827)",269.000 € 2.341 €/m²,"5,5 Zimmer","114,9 m²",249 m² Grundstück,https://www.immowelt.de/expose/4ac07de2-7185-4ec3-a9e6-4344e7ffb90d
"Horst, Garbsen (30826)",203.950 € 2.040 €/m²,4 Zimmer,100 m²,538 m² Grundstück,https://www.immowelt.de/expose/ef48a859-0e5f-42de-adc4-fc8a10e07c81
"Osterwald - Oberende, Garbsen (30826)",128.000 € 2.327 €/m²,3 Zimmer,55 m²,2. Geschoss,https://www.immowelt.de/expose/82fd437f-a9e5-4d5c-8edf-b5592d2c7482
"Osterwald - Oberende, Garbsen (30826)",545.000 € 2.500 €/m²,11 Zimmer,230 m²,471 m² Grundstück,https://www.immowelt.de/expose/62537f43-1406-41db-94b0-0497afd7f5a0
"Osterwald - Oberende, Garbsen (30826)",228.000 € 2.620 €/m²,3 Zimmer,87 m²,Unknown,https://www.immowelt.de/expose/81b72fe3-4e5d-4ff0-9674-5769be79baef
"Havelse - Ost, Garbsen (30823)",439.000 € 2.251 €/m²,8 Zimmer,195 m²,831 m² Grundstück,https://www.immowelt.de/expose/f219e262-539f-4848-bf38-63deb0e0f01a
"Altgarbsen - Süd, Garbsen (30823)",229.000 € 2.694 €/m²,3 Zimmer,85 m²,Unknown,https://www.immowelt.de/expose/2ac35661-3824-4f2f-93db-833902aa7d6a
