Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Landshuter Straße 37, Bahnhofsviertel, Regensburg (93047)",473.000 € 7.341 €/m²,2 Zimmer,"64,4 m²",1. Geschoss,https://www.immowelt.de/projekte/expose/k2j3932
"Plesser Straße 3, Konradsiedlung - Süd, Regensburg (93057)",349.000 € 6.803 €/m²,2 Zimmer,"51,3 m²",2. Geschoss,https://www.immowelt.de/expose/6b412ae8-f417-430c-91bb-821aae28e035
"Ganghofersiedlung - Prüll, Regensburg (93051)",1.149.600 € 7.512 €/m²,5 Zimmer,153 m²,690 m² Grundstück,https://www.immowelt.de/expose/32a45b3c-cee3-43fc-be03-28b2bfba404d
"Ziegetsdorf - Königswiesen-Süd - Neuprüll, Regensburg (93051)",1.141.800 € 6.677 €/m²,6 Zimmer,171 m²,690 m² Grundstück,https://www.immowelt.de/expose/f055b528-7248-4d1b-a82d-8194e30933e4
"Margaretenau - Dörnbergpark, Regensburg (93049)",433.900 € 6.515 €/m²,3 Zimmer,"66,6 m²",2. Geschoss,https://www.immowelt.de/expose/bd24e84d-3516-434f-9c10-69cf0d6fadca
"Ziegetsdorf - Königswiesen-Süd - Neuprüll, Regensburg (93051)",329.900 € 4.849 €/m²,3 Zimmer,68 m²,3. Geschoss,https://www.immowelt.de/expose/39088ded-2312-4b39-97f8-6e47dad23a64
"Hohes Kreuz - Osthafen - Irl, Regensburg (93055)",4.950.000 € 3.163 €/m²,56 Zimmer,1.565 m²,2.000 m² Grundstück,https://www.immowelt.de/expose/ac44125b-eaca-430e-b20f-c42dc43fb4fa
"Königswiesen - Nord, Regensburg (93051)",315.000 € 3.671 €/m²,3 Zimmer,"85,8 m²",6. Geschoss,https://www.immowelt.de/expose/c2b3891b-39db-4e09-8fbd-084e4b517d83
"Ostpark, Regensburg (93053)",744.900 € 4.933 €/m²,"5,5 Zimmer",151 m²,104 m² Grundstück,https://www.immowelt.de/projekte/expose/k2tg332
"Agnes-Pütreich-Straße 128, Ostpark, Regensburg (93053)",614.900 € 4.804 €/m²,"5,5 Zimmer",128 m²,"87,5 m² Grundstück",https://www.immowelt.de/projekte/expose/k2tg332
"Oberisling - Graß, Regensburg (93053)",295.000 € 7.027 €/m²,2 Zimmer,42 m²,Unknown,https://www.immowelt.de/projekte/expose/k2w7732
"Johannisstraße 15, Weichs, Regensburg (93059)",601.000 € 7.513 €/m²,3 Zimmer,80 m²,EG,https://www.immowelt.de/projekte/expose/k243632
"Am Mühlberg, Sallern - Gallingkofen, Regensburg (93057)",449.990 € 3.750 €/m²,4 Zimmer,120 m²,217 m² Grundstück,https://www.immowelt.de/projekte/expose/k2tp632
"Kumpfmühler Straße 63A, Kumpfmühl - Ost, Regensburg (93051)",166.900 € 8.234 €/m²,1 Zimmer,"20,3 m²",Unknown,https://www.immowelt.de/projekte/expose/k235632
"Äußerer Westen, Regensburg (93049)",258.000 € 6.000 €/m²,2 Zimmer,43 m²,Unknown,https://www.immowelt.de/expose/79a89519-05bb-4310-91ee-3a5560246404
"Reinhausen, Regensburg (93059)",154.000 € 3.561 €/m²,2 Zimmer,"43,3 m²",Unknown,https://www.immowelt.de/expose/710defa7-7b7b-4731-b9c9-dd3c0305d5e0
"Reinhausen, Regensburg (93059)",154.000 € 3.561 €/m²,2 Zimmer,"43,3 m²",5. Geschoss,https://www.immowelt.de/expose/f5c77dea-5c13-4e18-8281-022da9347784
"Ostpark, Regensburg (93053)",480.000 € 3.934 €/m²,4 Zimmer,122 m²,Unknown,https://www.immowelt.de/expose/7726d2a6-54d4-428d-a295-0a5b6d8ebd58
"Innerer Osten, Regensburg (93055)",498.000 € 6.225 €/m²,3 Zimmer,80 m²,4. Geschoss,https://www.immowelt.de/expose/516cbe9d-3ebc-4d5e-ac95-53e9b7b69580
"Stadtamhof, Regensburg (93059)",390.000 € 5.961 €/m²,2 Zimmer,"65,4 m²",Unknown,https://www.immowelt.de/expose/e91f86df-d934-4cf2-8a10-fdefbc2d8626
