Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Leer, Leer (Ostfriesland) (26789)",498.000 € 3.660 €/m²,4 Zimmer,"136,1 m²",600 m² Grundstück,https://www.immowelt.de/expose/d2340b5b-1c81-4167-916f-239010832190
"Heisfelde, Leer (Ostfriesland) (26789)",279.000 € 2.022 €/m²,5 Zimmer,138 m²,707 m² Grundstück,https://www.immowelt.de/expose/2586b7d0-3f54-4385-8d60-a7fed18d9b4f
"Leer, Leer (Ostfriesland) (26789)",169.000 € 2.198 €/m²,3 Zimmer,"76,9 m²",3. Geschoss,https://www.immowelt.de/expose/2ad219b1-5b38-430b-867e-87f5871d9f55
"Leer, Leer (Ostfriesland) (26789)",349.000 € 1.745 €/m²,7 Zimmer,200 m²,625 m² Grundstück,https://www.immowelt.de/expose/d7ccf9f3-e29d-4ef7-b195-d756a16b50d5
"Heisfelde, Leer (26789)",150.000 € 1.250 €/m²,6 Zimmer,120 m²,237 m² Grundstück,https://www.immowelt.de/expose/69139191-1c00-4a85-b867-bd721a9420c5
"Leer, Leer (Ostfriesland) (26789)",239.000 € 2.870 €/m²,3 Zimmer,"83,3 m²",Unknown,https://www.immowelt.de/expose/c40ab1f1-fcc4-4fba-9d1d-da0176d4cd0e
"Böcklinweg 2, Loga, Leer (26789)",290.500 € 3.773 €/m²,3 Zimmer,77 m²,1. Geschoss,https://www.immowelt.de/expose/33ff60bf-6abb-426b-b561-b008f7dd1251
"Loga, Leer (Ostfriesland) (26789)",259.500 € 1.573 €/m²,6 Zimmer,165 m²,960 m² Grundstück,https://www.immowelt.de/expose/4fccefe8-59cd-4b3e-ac6a-bb72a749197d
"Leer, Leer (26789)",159.000 € 2.650 €/m²,2 Zimmer,60 m²,Unknown,https://www.immowelt.de/expose/093dff2c-b629-44f8-be4f-38bfb2c8523b
"Logabirum, Leer (26789)",170.000 € 1.868 €/m²,5 Zimmer,91 m²,758 m² Grundstück,https://www.immowelt.de/expose/30bdf96a-2c38-4eb0-841b-28feafc27e2e
"Leer, Leer (Ostfriesland) (26789)",475.000 € 1.795 €/m²,8 Zimmer,"264,7 m²",1.470 m² Grundstück,https://www.immowelt.de/expose/1a36a058-12ed-4cd8-802c-1e8b5a1b1607
"Nüttermoor, Leer (26789)",255.000 € 1.962 €/m²,6 Zimmer,130 m²,1.370 m² Grundstück,https://www.immowelt.de/expose/328da31b-0303-48f4-8849-55511e530421
"Loga, Leer (26789)",385.999 € 3.244 €/m²,4 Zimmer,119 m²,600 m² Grundstück,https://www.immowelt.de/expose/1945dd84-f500-494e-bd75-0622b997dbf3
"Heisfelde, Leer (Ostfriesland) (26789)",650.000 € 3.672 €/m²,6 Zimmer,177 m²,1.000 m² Grundstück,https://www.immowelt.de/expose/35d67cd5-fea3-418b-afcf-a7b9c9489b2b
"Bingum, Leer (Ostfriesland) (26789)",139.000 € 1.635 €/m²,3 Zimmer,85 m²,722 m² Grundstück,https://www.immowelt.de/expose/eee5481b-042d-4f8b-8429-bcbe93fb9cf0
"Heisfelde, Leer (26789)",495.000 € 2.415 €/m²,7 Zimmer,205 m²,684 m² Grundstück,https://www.immowelt.de/expose/9c91d807-6c35-42b2-85d1-6c5f33faa95c
"Heisfelde, Leer (26789)",269.000 € 1.993 €/m²,5 Zimmer,135 m²,661 m² Grundstück,https://www.immowelt.de/expose/d68d5cbf-f9d2-43d1-b378-90c849a30c6b
