Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Lirich - Süd, Oberhausen (46049)",195.000 € 3.047 €/m²,"4,5 Zimmer",64 m²,213 m² Grundstück,https://www.immowelt.de/expose/ae3a2bf6-4009-48e5-b136-0d4bb49bddd1
"Klosterhardt - Süd, Oberhausen (46145)",240.000 € 1.805 €/m²,5 Zimmer,133 m²,Unknown,https://www.immowelt.de/expose/33792aa0-94f3-4b12-9a59-fd42b91cb488
"Schwarze Heide, Oberhausen (46149)",580.000 € 1.638 €/m²,16 Zimmer,354 m²,1.246 m² Grundstück,https://www.immowelt.de/expose/6a2861c5-6d7f-4586-bf80-cda89a40395b
"Virchowstraße 61, Dümpten, Oberhausen (46047)",109.000 € 1.568 €/m²,3 Zimmer,"69,5 m²",2. Geschoss,https://www.immowelt.de/expose/4db77c8d-8892-43ed-877c-6c7114aa84cc
"Holten, Oberhausen (46147)",425.000 € 1.010 €/m²,421 m²,497 m² Grundstück,Unknown,https://www.immowelt.de/expose/fe8d08b2-1d41-4448-a947-d21581c5ed08
"Kleine Straße 2 / Hartmannsweilerstr.23, Klosterhardt - Süd, Oberhausen (46119)",317.600 € 4.603 €/m²,69 m²,Unknown,Unknown,https://www.immowelt.de/expose/dad6f510-5491-456b-b663-7c2b875452c6
"Sterkrade - Nord, Oberhausen (46147)",4.500.000 € 2.544 €/m²,1.769 m²,1.500 m² Grundstück,Unknown,https://www.immowelt.de/expose/670615ee-b096-4a7b-8014-92f4fc701011
"Osterfeld - Ost, Oberhausen (46119)",362.000 € 3.771 €/m²,"3,5 Zimmer",96 m²,Unknown,https://www.immowelt.de/expose/15b841b6-ed5a-4418-ab87-ab3ac6c10634
"Schwarze Heide, Oberhausen (46149)",75.000 € 1.667 €/m²,2 Zimmer,45 m²,3. Geschoss,https://www.immowelt.de/expose/89389ed1-31db-4b11-ae74-80a821dde04e
"Heide, Oberhausen (46117)",269.000 € 1.681 €/m²,5 Zimmer,160 m²,316 m² Grundstück,https://www.immowelt.de/expose/f44f0223-952d-4a85-b644-599e88dff498
"Sterkrade - Nord, Oberhausen (46145)",167.000 € 3.069 €/m²,2 Zimmer,"54,4 m²",Unknown,https://www.immowelt.de/expose/285d1e73-1b4e-4beb-9f19-e2ea4134be24
"Sterkrade - Nord, Oberhausen (46147)",559.333 € 4.626 €/m²,"5,5 Zimmer","120,9 m²",404 m² Grundstück,https://www.immowelt.de/expose/e2466d69-a4fd-4d55-97c4-859df1513978
"Alsfeld, Oberhausen (46145)",289.999 € 2.417 €/m²,"5,5 Zimmer",120 m²,565 m² Grundstück,https://www.immowelt.de/expose/97a94779-f04d-4ea3-8060-177d98b074ac
"Holten, Oberhausen (46147)",289.000 € 2.118 €/m²,5 Zimmer,"136,5 m²",333 m² Grundstück,https://www.immowelt.de/expose/ccb3d855-fb0b-43bf-93a8-84fb85cd6b76
"Alstaden - West, Duisburg (47167)",749.655 € 6.110 €/m²,"6,5 Zimmer","122,7 m²",1.288 m² Grundstück,https://www.immowelt.de/expose/c43c634f-d138-4e32-85c3-4060f7e20f56
"Bermensfeld, Oberhausen (46047)",420.000 € 2.069 €/m²,7 Zimmer,203 m²,1.218 m² Grundstück,https://www.immowelt.de/expose/34f2d859-dd76-4d0e-a169-c569ab2b2f80
"Klosterhardt - Süd, Oberhausen (46119)",395.000 € 4.115 €/m²,4 Zimmer,96 m²,595 m² Grundstück,https://www.immowelt.de/expose/b6b9b8ad-b518-4863-8558-6209eaa74c58
"Marienkirche, Oberhausen / Marienkirche (46047)",528.700 € 1.305 €/m²,15 Zimmer,405 m²,862 m² Grundstück,https://www.immowelt.de/expose/fea1a3bf-11b6-40b0-8bfe-db16cffaa120
"Osterfeld - West, Oberhausen (46117)",299.990 € 1.875 €/m²,7 Zimmer,160 m²,130 m² Grundstück,https://www.immowelt.de/expose/42a2c8eb-5c9a-4947-b294-292f413738eb
"Kleine Straße 2 / Hartmannsweilerstr.23, Klosterhardt - Süd, Oberhausen (46119)",323.470 € 4.614 €/m²,"70,1 m²",Unknown,Unknown,https://www.immowelt.de/expose/717db0b8-c0e1-4e12-b917-8d7857dc9b12
"Kleine Str. 2 / Hartmannsweilerstr.23, Klosterhardt - Süd, Oberhausen (46119)",419.726 € 4.634 €/m²,"90,6 m²",Unknown,Unknown,https://www.immowelt.de/expose/3b534179-7b3b-46ea-856e-c590d6a78185
"Postweg 132, Alsfeld, Oberhausen (46145)",324.510 € 4.507 €/m²,2 Zimmer,72 m²,EG,https://www.immowelt.de/expose/e20ca924-e443-42b0-953b-66426007d73f
"Postweg 132, Alsfeld, Oberhausen (46145)",310.922 € 4.442 €/m²,2 Zimmer,70 m²,frei ab sofort,https://www.immowelt.de/expose/0ec747a3-f8a8-4bd6-8039-e5e706df2957
"Postweg 132, Alsfeld, Oberhausen (46145)",310.922 € 4.442 €/m²,2 Zimmer,70 m²,frei ab sofort,https://www.immowelt.de/expose/b4dfa1a3-820f-4551-9469-930cfe9e5fa2
