Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Lärchenweg 2, Hattingen - Mitte, Hattingen (45525)",154.000 € 2.030 €/m²,"3,5 Zimmer","75,9 m²",Unknown,https://www.immowelt.de/expose/9751f457-5f15-48b1-8185-046f9ba82918
"Mozartstraße 3, Winz-Baak, Hattingen (45529)",133.000 € 2.046 €/m²,"3,5 Zimmer",65 m²,2. Geschoss,https://www.immowelt.de/expose/abf7273d-b231-44e0-95ea-df2bd9023a03
"Nordstraße 22, Hattingen - Mitte, Hattingen (45525)",127.000 € 2.055 €/m²,"2,5 Zimmer","61,8 m²",3. Geschoss,https://www.immowelt.de/expose/cb0abbed-15de-486f-ab32-50d326ce8069
"Blankenstein, Hattingen (45527)",578.489 € 3.882 €/m²,"5,5 Zimmer",149 m²,557 m² Grundstück,https://www.immowelt.de/expose/b1ad4047-8d7e-4d27-9c63-c2138dfa7ab8
"Blankenstein, Hattingen (45527)",578.164 € 3.880 €/m²,"5,5 Zimmer",149 m²,557 m² Grundstück,https://www.immowelt.de/expose/8837ec31-6e81-48c0-8359-2f63fcd4939f
"Niederwenigern, Hattingen-Niederwenigern (45529)",450.000 € 1.744 €/m²,258 m²,915 m² Grundstück,Unknown,https://www.immowelt.de/expose/8bec3797-0b92-4ed8-910b-4dd6fa2a2b90
"Rathausplatz 2, Hattingen - Mitte, Hattingen (45525)",138.000 € 1.971 €/m²,3 Zimmer,70 m²,5. Geschoss,https://www.immowelt.de/expose/6d912945-0af2-4238-bbf8-d96e0b53a83f
"Bredenscheid-Stüter, Hattingen (45527)",487.000 € 2.276 €/m²,7 Zimmer,214 m²,987 m² Grundstück,https://www.immowelt.de/expose/2305e4f5-932e-4b9a-b775-0ace73a5f5f2
"Hattingen - Mitte, Hattingen (45525)",129.000 € 2.745 €/m²,2 Zimmer,47 m²,1. Geschoss,https://www.immowelt.de/expose/3a07eaff-9c2e-431c-ac4e-a65096f616f3
"Niederwenigern, Hattingen (45529)",592.000 € 4.418 €/m²,5 Zimmer,134 m²,259 m² Grundstück,https://www.immowelt.de/expose/fc92a5f6-66d9-4a4d-a18e-12b07cf4998f
"Bredenscheid-Stüter, Hattingen (45527)",210.000 € 2.658 €/m²,"3,5 Zimmer",79 m²,3. Geschoss,https://www.immowelt.de/expose/e55512d3-65c6-4b79-849d-a603ff9c93cd
"Hattingen - Mitte, Hattingen (45525)",49.000 € 1.514 €/m²,1 Zimmer,"32,7 m²",3. Geschoss,https://www.immowelt.de/expose/a8528012-b126-4f89-89c8-647146602dff
"Hattingen - Mitte, Hattingen (45525)",169.000 € 2.414 €/m²,2 Zimmer,70 m²,EG,https://www.immowelt.de/expose/17e4398f-3773-4f5d-9c82-c7311102d92e
"Niederwenigern, Hattingen (45529)",648.000 € 3.323 €/m²,6 Zimmer,195 m²,518 m² Grundstück,https://www.immowelt.de/expose/de939100-e428-4780-8569-45f60eadd4f9
"Hattingen - Mitte, Hattingen (45525)",379.000 € 2.461 €/m²,6 Zimmer,154 m²,230 m² Grundstück,https://www.immowelt.de/expose/b9609b2d-3010-4ea2-8690-a74085bf9822
"Winz-Baak, Hattingen (45529)",179.000 € 2.532 €/m²,2 Zimmer,"70,7 m²",EG,https://www.immowelt.de/expose/f5b59e30-a6c3-43a2-b24e-13c30279e892
"Welper, Hattingen (45527)",425.000 € 3.696 €/m²,6 Zimmer,115 m²,523 m² Grundstück,https://www.immowelt.de/expose/6e0203e1-41aa-4b41-9c47-6e9b2202a585
"Hattingen - Mitte, Hattingen (45525)",429.000 € 2.383 €/m²,"5,5 Zimmer",180 m²,EG,https://www.immowelt.de/expose/0ee40759-8351-41db-b3b2-cc523b2ca921
