Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Mittelallee 20, West, Hildesheim (31139)",595.000 € 2.196 €/m²,9 Zimmer,271 m²,622 m² Grundstück,https://www.immowelt.de/expose/b46e4339-28c6-4b2e-8c3f-8888f79e8191
"Mitte, Hildesheim (31134)",185.000 € 2.335 €/m²,3 Zimmer,"79,2 m²",3. Geschoss,https://www.immowelt.de/expose/6e3f2641-5358-4a4d-9a02-580a6fbef672
"Neuhof, Neuhof (31139)",305.334 € 2.503 €/m²,4 Zimmer,122 m²,400 m² Grundstück,https://www.immowelt.de/expose/15a71bb6-1265-4a32-b887-f5737c3670ab
"Galgenberg, Hildesheim (31141)",84.000 € 1.292 €/m²,3 Zimmer,65 m²,Unknown,https://www.immowelt.de/expose/c2604536-e1a0-4fff-8bd0-461a11af582d
"Sorsum, Sorsum (31139)",235.000 € 2.350 €/m²,3 Zimmer,100 m²,1. Geschoss,https://www.immowelt.de/expose/c9270f1a-5ca6-44de-accb-962a31b1715f
"Neuhof, Neuhof (31139)",305.334 € 2.503 €/m²,4 Zimmer,122 m²,400 m² Grundstück,https://www.immowelt.de/expose/5fff42c6-ec1a-4b5d-a8d1-b16b34777fa8
"Mitte, Hildesheim (31134)",800.000 € 1.606 €/m²,498 m²,455 m² Grundstück,Unknown,https://www.immowelt.de/expose/0e5377b7-1686-45a8-b5fe-41544c69eb0a
"Ochtersum, Hildesheim (31139)",495.000 € 3.113 €/m²,5 Zimmer,159 m²,944 m² Grundstück,https://www.immowelt.de/expose/7a339421-4fa6-4ea0-bacc-1e944ef4201a
"Himmelsthür, Hildesheim / Himmelsthür (31137)",225.000 € 2.573 €/m²,4 Zimmer,"87,5 m²",Unknown,https://www.immowelt.de/expose/0e78d2a0-23a3-4fe2-a4bb-709cab7cc45e
"Drispenstedt, Hildesheim (31135)",759.000 € 2.617 €/m²,8 Zimmer,290 m²,1.200 m² Grundstück,https://www.immowelt.de/expose/dfc50aa7-621b-43bc-8146-1f2ec2b4bb8a
"Galgenberg, Hildesheim (31141)",249.000 € 2.767 €/m²,5 Zimmer,90 m²,195 m² Grundstück,https://www.immowelt.de/expose/2026023d-203a-4139-8585-9b88e622d9eb
"Galgenberg, Hildesheim (31141)",1.799.500 € 1.698 €/m²,37 Zimmer,1.059 m²,1.280 m² Grundstück,https://www.immowelt.de/expose/1143e60a-0ff3-481e-a5ca-5f34aa8ca418
"Nordstadt, Hildesheim (31137)",1.150.000 € 2.074 €/m²,22 Zimmer,554 m²,700 m² Grundstück,https://www.immowelt.de/expose/a9583231-b880-493f-898f-6c82d169c7d1
"Ost, Hildesheim (31135)",830.000 € 1.727 €/m²,22 Zimmer,480 m²,540 m² Grundstück,https://www.immowelt.de/expose/65c12ef9-4316-450c-ba48-464547b474bd
"Itzum, Hildesheim (31141)",Preis auf Anfrage,6 Zimmer,"188,1 m²",722 m² Grundstück,https://www.immowelt.de/expose/fc468dd9-f697-4f8a-b610-ca9aa6ce823d
"Ost, Hildesheim (31135)",98.500 € 1.561 €/m²,3 Zimmer,"63,1 m²",4. Geschoss,https://www.immowelt.de/expose/26b18f36-2bbd-4002-8aee-46697d54a2c4
"Himmelsthür, Hildesheim (31137)",Preis auf Anfrage,2.819 m²,2.526 m² Grundstück,Unknown,https://www.immowelt.de/expose/98fa64fb-37a7-4734-a654-1e6afdf55a1b
"An der großen Barnte X, Einum, Hildesheim (31135)",272.150 € 1.890 €/m²,144 m²,Unknown,Unknown,https://www.immowelt.de/expose/1abdb3da-39c5-4ebb-aaaf-8447efd6e91b
"Ochtersum, Hildesheim (31139)",220.000 € 2.252 €/m²,4 Zimmer,111 m²,Unknown,https://www.immowelt.de/expose/6218e211-276a-4960-af47-1a0cbe8e254b
"Ost, Hildesheim (31134)",120.000 € 1.812 €/m²,3 Zimmer,"66,2 m²",Unknown,https://www.immowelt.de/expose/7c7d8fdc-35fa-4870-beff-58a977515a52
"Große Barnte, Einum, Hildesheim (31135)",242.650 € 1.784 €/m²,5 Zimmer,136 m²,Unknown,https://www.immowelt.de/expose/17638497-816a-4e55-9306-f9ec1ca8d678
"An den Linden, Sorsum, Hildesheim (31139)",431.650 € 3.245 €/m²,5 Zimmer,133 m²,545 m² Grundstück,https://www.immowelt.de/expose/69d0ac65-e41a-4d72-a33d-93876bc73f65
"Ost, Hildesheim (31137)",205.000 € 3.183 €/m²,2 Zimmer,"64,4 m²",1. Geschoss,https://www.immowelt.de/expose/dd555a44-9f9f-41b2-95cc-86a3cbc067b2
"Nordstadt, Hildesheim (31137)",Preis auf Anfrage,7 Zimmer,300 m²,550 m² Grundstück,https://www.immowelt.de/expose/c88dda6b-d129-436c-9ff7-0aafd172fcf5
"Sperlingsstieg 6, Neuhof, Hildesheim / Neuhof (31139)",265.000 € 2.208 €/m²,5 Zimmer,120 m²,190 m² Grundstück,https://www.immowelt.de/expose/e3085293-682a-4613-bf28-03a7e0621c9d
