Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Moers - Mitte, Moers (47441)",149.900 € 1.848 €/m²,3 Zimmer,"81,1 m²",5. Geschoss,https://www.immowelt.de/expose/b2c59fc1-8241-449c-bc03-5d8fc7165c38
"Vennikel, Moers (47447)",399.000 € 4.727 €/m²,3 Zimmer,"84,4 m²",786 m² Grundstück,https://www.immowelt.de/expose/febc142e-1052-4f60-a0e7-4713c13ed5ba
"Achterathsheide, Moers (47445)",396.900 € 2.962 €/m²,5 Zimmer,134 m²,400 m² Grundstück,https://www.immowelt.de/expose/4c30517f-3b4c-4589-a058-d566c147045b
"Moers - Mitte, Moers (47441)",341.900 € 2.124 €/m²,5 Zimmer,161 m²,Unknown,https://www.immowelt.de/expose/4eae93bf-0316-41d8-8628-c7ba57549f97
"Hülsdonker Str. 25, Hülsdonk, Moers (47441)",533.269 € 3.678 €/m²,3 Zimmer,145 m²,388 m² Grundstück,https://www.immowelt.de/expose/0f187971-4624-42e6-aa02-a1f372d01dea
"Moers - Mitte, Moers (47441)",179.000 € 1.989 €/m²,3 Zimmer,90 m²,Unknown,https://www.immowelt.de/expose/3ad71cb0-d228-4459-a865-0ad71d8363dc
"Hochstraß, Moers (47443)",465.000 € 4.559 €/m²,4 Zimmer,102 m²,922 m² Grundstück,https://www.immowelt.de/expose/b4c00833-36ee-4a67-a250-0e4770cf26f9
"Hülsdonk, Moers (47441)",399.000 € 3.017 €/m²,6 Zimmer,"132,3 m²",407 m² Grundstück,https://www.immowelt.de/expose/4897ff20-6e60-4296-a61a-dabe9a6a5d86
"Vinn, Moers (47447)",249.000 € 2.956 €/m²,3 Zimmer,"84,2 m²",Unknown,https://www.immowelt.de/expose/dfc4b3bd-103e-44da-ba6d-fe13e5b42085
"Repelen, Moers (47445)",179.000 € 2.452 €/m²,3 Zimmer,73 m²,1. Geschoss,https://www.immowelt.de/expose/78482bde-768c-4f48-a67a-3fb419c741ee
"Utfort, Moers (47445)",890.000 € 5.705 €/m²,6 Zimmer,156 m²,1.404 m² Grundstück,https://www.immowelt.de/expose/52e088a3-04d1-46a2-bf04-4449a34e471e
"Vinn, Moers (47447)",1.250.000 € 2.561 €/m²,3 Zimmer,488 m²,785 m² Grundstück,https://www.immowelt.de/expose/303c3ee8-eff6-4abc-ad99-9cb6aacfc9b0
"Moers - Mitte, Moers (47441)",223.000 € 3.328 €/m²,"2,5 Zimmer",67 m²,EG,https://www.immowelt.de/expose/0169a7f0-6bbc-4e1b-a8a1-f9b22a00a78b
"Hochstraß, Moers (47443)",290.000 € 2.522 €/m²,5 Zimmer,115 m²,103 m² Grundstück,https://www.immowelt.de/expose/554d485c-db37-4233-b0d3-9594f416a2da
"Eick, Moers / Eick (47445)",325.000 € 2.826 €/m²,4 Zimmer,115 m²,363 m² Grundstück,https://www.immowelt.de/expose/b604cbff-5388-47ff-ab99-71db58de013d
"Moers - Mitte, Moers (47441)",362.587 € 3.237 €/m²,4 Zimmer,112 m²,390 m² Grundstück,https://www.immowelt.de/expose/2588574e-d48e-4f85-b74e-832b93628fc6
"Eick, Moers (47445)",432.000 € 2.787 €/m²,4 Zimmer,155 m²,EG,https://www.immowelt.de/expose/910bb394-1dc1-4ee9-9bc1-2de0dbf70da7
"Vinn, Moers (47447)",279.000 € 2.790 €/m²,4 Zimmer,100 m²,1. Geschoss,https://www.immowelt.de/expose/37ae8dc0-605e-4f52-b0f2-4f3357ed9394
"Wittfeldstraße 63, Utfort, Moers (47445)",325.000 € 2.048 €/m²,7 Zimmer,"158,7 m²",Unknown,https://www.immowelt.de/expose/94e4c42d-a245-49fb-8757-f73b8907d5f6
"Eick, Moers (47445)",585.000 € 1.696 €/m²,345 m²,448 m² Grundstück,Unknown,https://www.immowelt.de/expose/f8519861-bdae-4bd8-ac1c-19db13099af6
"Moers - Mitte, Moers (47441)",455.000 € 2.040 €/m²,223 m²,824 m² Grundstück,Unknown,https://www.immowelt.de/expose/d5090d49-b9f7-487c-bd3a-49ce26e1697b
"Scherpenberg, Moers (47443)",348.000 € 3.314 €/m²,5 Zimmer,105 m²,350 m² Grundstück,https://www.immowelt.de/expose/7182a6e4-1f07-4b48-b6a7-ae48083d7434
"Schwafheim, Moers (47447)",398.800 € 3.468 €/m²,3 Zimmer,115 m²,1. Geschoss,https://www.immowelt.de/expose/387265b5-7537-4214-998f-08f6fd94e98c
"Hochstraß, Moers (47443)",159.000 € 2.446 €/m²,2 Zimmer,"65,1 m²",2. Geschoss,https://www.immowelt.de/expose/6e749fac-3cbe-4d9b-ad3e-31cfeed44381
"Moers - Mitte, Moers (47441)",495.000 € 1.875 €/m²,10 Zimmer,264 m²,609 m² Grundstück,https://www.immowelt.de/expose/129491f3-822f-4160-a77a-457d801a223b
"Eick, Moers (47445)",495.000 € 2.500 €/m²,8 Zimmer,272 m²,"399,2 m² Grundstück",https://www.immowelt.de/expose/1d66e3b7-f7bb-43c0-96de-e94f06671062
"Eick, Moers (47445)",495.000 € 2.500 €/m²,8 Zimmer,"198,2 m²","399,2 m² Grundstück",https://www.immowelt.de/expose/77f6278b-e410-4204-ba58-ddac87b26d75
"Eick, Moers (47554)",189.720 € 4.517 €/m²,42 m²,Unknown,Unknown,https://www.immowelt.de/expose/ee1a5295-6de1-4929-bc65-8057ce5cc59e
"Utfort, Moers (47445)",455.000 € 3.669 €/m²,4 Zimmer,124 m²,EG,https://www.immowelt.de/expose/50aca6c7-419d-47a4-bdf5-42128b85fc2d
"Moers - Mitte, Moers (47441)",550.000 € 2.664 €/m²,8 Zimmer,"206,5 m²",1.352 m² Grundstück,https://www.immowelt.de/expose/8eff2d2f-83a6-482a-97b8-e83ecf078ea1
"Moers - Mitte, Moers (47441)",550.000 € 2.670 €/m²,8 Zimmer,206 m²,1.352 m² Grundstück,https://www.immowelt.de/expose/cfd57683-b9c2-4692-afd0-0a321f5fbeec
"Asberg, Moers / Asberg (47441)",549.000 € 4.037 €/m²,"5,5 Zimmer",136 m²,330 m² Grundstück,https://www.immowelt.de/expose/ee5807b5-146d-4cba-b85c-e214d598c75b
"Asberg, Moers / Asberg (47441)",440.000 € 2.200 €/m²,6 Zimmer,200 m²,690 m² Grundstück,https://www.immowelt.de/expose/5ec370ea-91c1-4fc4-bd56-0e097a9c151d
"Taubenstraße 68, Meerbeck, Moers (47443)",395.000 € 2.469 €/m²,"5,5 Zimmer",160 m²,588 m² Grundstück,https://www.immowelt.de/expose/c7c4b56a-03ce-45a5-9e2b-d427a3552d54
"Moers - Mitte, Moers (47441)",220.000 € 2.637 €/m²,3 Zimmer,"83,4 m²",Unknown,https://www.immowelt.de/expose/7cfb48e0-95c5-41d4-b696-b22f1c0be936
"Schwafheim, Moers (47447)",619.000 € 3.517 €/m²,3 Zimmer,176 m²,285 m² Grundstück,https://www.immowelt.de/expose/b78165e6-4729-4265-b7fd-b7a4083db455
"Vinn, Moers (47447)",189.000 € 2.625 €/m²,3 Zimmer,72 m²,1. Geschoss,https://www.immowelt.de/expose/5bd131fb-f3f9-4596-a32a-8672a24aa245
"Schwafheim, Moers (47447)",369.000 € 4.283 €/m²,3 Zimmer,"86,2 m²",Unknown,https://www.immowelt.de/expose/f3c5bbc0-2ed7-4dad-84b8-f2274d28006e
"Repelen, Moers (47445)",213.000 € 1.704 €/m²,4 Zimmer,125 m²,1. Geschoss,https://www.immowelt.de/expose/d2718eb3-a3cf-4c32-98be-5fbeeb8c5d1f
"Vinn, Moers (47447)",1.250.000 € 2.561 €/m²,3 Zimmer,488 m²,785 m² Grundstück,https://www.immowelt.de/expose/da3afb4e-8793-4b1c-ada4-665133cd4cf9
"Kohlenhuck, Moers (47445)",480.954 € 3.848 €/m²,4 Zimmer,125 m²,405 m² Grundstück,https://www.immowelt.de/expose/fa00ccd4-c8e0-422a-983d-89ff8ce72c3b
"Moers - Mitte, Moers (47441)",12.900 €,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/2a1ad69e-5f69-4a5d-997c-213e10188335
"Moers - Mitte, Moers (47441)",12.900 €,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/5694db69-3a02-4f85-99b1-7c12b278b28e
