Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Müssingen, Warendorf (48231)",459.000 € 1.614 €/m²,11 Zimmer,"284,4 m²",555 m² Grundstück,https://www.immowelt.de/expose/23e5101e-fceb-4e43-b867-d1559e421c8a
"Milte, Warendorf (48231)",489.000 € 3.649 €/m²,3 Zimmer,134 m²,434 m² Grundstück,https://www.immowelt.de/expose/8fd8f49a-d40e-4440-a475-77591561a8c9
"Warendorf, Warendorf (48231)",2.980.000 € 1.990 €/m²,"1.497,2 m²",3.800 m² Grundstück,Unknown,https://www.immowelt.de/expose/8ea94e80-6b65-4240-a68d-cb7ff917e8c7
"Eichenweg 23, Warendorf, Warendorf (48231)",384.500 € 4.591 €/m²,3 Zimmer,"83,8 m²",Unknown,https://www.immowelt.de/expose/32a8558f-9658-49f2-9130-d30026952ea6
"Eichenweg 23, Warendorf, Warendorf (48231)",489.750 € 4.374 €/m²,4 Zimmer,112 m²,Unknown,https://www.immowelt.de/expose/3705a3ab-78b5-4140-b94e-9615076e7489
"Eichenweg 23, Warendorf, Warendorf (48231)",388.150 € 4.649 €/m²,3 Zimmer,"83,5 m²",Unknown,https://www.immowelt.de/expose/a30a19c7-46ac-432d-8180-8cfbe168bcee
"Eichenweg 25, Warendorf, Warendorf (48231)",488.850 € 4.436 €/m²,4 Zimmer,"110,2 m²",Unknown,https://www.immowelt.de/expose/f8cda608-e39f-4d4a-a22b-5e914c4dc4b7
"Eichenweg 25, Warendorf, Warendorf (48231)",423.250 € 4.501 €/m²,3 Zimmer,94 m²,Unknown,https://www.immowelt.de/expose/25b2b35c-c0ed-4648-a00a-7365ff07882a
"Eichenweg 27, Warendorf, Warendorf (48231)",489.750 € 4.374 €/m²,4 Zimmer,112 m²,Unknown,https://www.immowelt.de/expose/16b1df1c-bd64-47e1-ba2a-a8bb5aafdc37
"Eichenweg 27, Warendorf, Warendorf (48231)",476.450 € 4.499 €/m²,3 Zimmer,"105,9 m²",Unknown,https://www.immowelt.de/expose/7a97d4f3-9276-47ad-9909-513dd70cdb24
"Freckenhorst, Warendorf (48231)",299.000 € 2.492 €/m²,5 Zimmer,120 m²,227 m² Grundstück,https://www.immowelt.de/expose/22174cb0-af48-4671-8646-c7b0dcb9a2d7
"Einen, Warendorf (48231)",425.000 € 3.058 €/m²,139 m²,496 m² Grundstück,Unknown,https://www.immowelt.de/expose/5d76f419-7895-4bdf-ac09-86319e5ae295
"Freckenhorst, Warendorf (48231)",499.000 € 2.151 €/m²,"6,5 Zimmer",232 m²,2.001 m² Grundstück,https://www.immowelt.de/expose/ec128394-41d3-4c96-aa3a-2c925fd54f17
"Einen, Warendorf (48231)",425.000 € 3.058 €/m²,139 m²,Unknown,Unknown,https://www.immowelt.de/expose/bce315d4-99a7-4479-bf7e-a848edfb6fff
"Einen, Warendorf (48231)",425.000 € 3.058 €/m²,4 Zimmer,139 m²,496 m² Grundstück,https://www.immowelt.de/expose/f354885a-fdda-4a54-a1d9-85678b45fdec
"Warendorf, Warendorf (48231)",640.000 € 2.362 €/m²,11 Zimmer,271 m²,694 m² Grundstück,https://www.immowelt.de/expose/943af509-7da8-4835-b269-2a29269822d5
"Freckenhorst, Warendorf-Freckenhorst (48231)",299.900 € 1.999 €/m²,6 Zimmer,150 m²,190 m² Grundstück,https://www.immowelt.de/expose/0ab43bf5-285c-4c7b-b7fb-f943fa0c9626
"Milte, Warendorf-Milte (48231)",790.000 €,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/1187e2ab-61c4-4bc0-a7c6-a7d52e596c06
"Milte, Warendorf / Milte (48231)",790.000 €,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/6cd27219-82f3-422c-b0e2-14d4ac61b796
"Hoetmar, Warendorf (48231)",320.000 € 1.455 €/m²,9 Zimmer,220 m²,569 m² Grundstück,https://www.immowelt.de/expose/89345533-483d-4759-bad6-15667a334220
"Freckenhorst, Warendorf (48231)",299.000 € 2.492 €/m²,5 Zimmer,120 m²,227 m² Grundstück,https://www.immowelt.de/expose/65d601fc-ccef-496b-be4e-64e8c5d0c9d1
"Freckenhorst, Warendorf (48231)",299.900 € 1.999 €/m²,6 Zimmer,150 m²,190 m² Grundstück,https://www.immowelt.de/expose/0a7f93fe-8d61-4867-a961-6e5fe081744d
"Freckenhorst, Warendorf (48231)",549.000 € 1.672 €/m²,10 Zimmer,"328,3 m²",898 m² Grundstück,https://www.immowelt.de/expose/ba3d30a3-bd3f-49b5-9414-b2a5657608e6
"Freckenhorst, Warendorf (48231)",549.000 € 1.672 €/m²,10 Zimmer,"328,3 m²",898 m² Grundstück,https://www.immowelt.de/expose/ac4c3f76-0c24-4ac3-9923-5c302a52ede5
