Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Neckargartach - Süd, Heilbronn / Neckargartach (74078)",149.000 € 1.935 €/m²,3 Zimmer,77 m²,2. Geschoss,https://www.immowelt.de/expose/4dc43823-acca-4731-b307-d080a7d10a49
"Südviertel, Heilbronn (74074)",375.000 € 3.750 €/m²,5 Zimmer,100 m²,2. Geschoss,https://www.immowelt.de/expose/3737aa24-d465-41c4-98e5-a45c01fb7925
"Bahnhofsvorstadt, Heilbronn (74072)",190.000 € 2.817 €/m²,"2,5 Zimmer","67,4 m²",1. Geschoss,https://www.immowelt.de/expose/c029028c-4bb4-4a61-b12a-703adb0094c8
"Biberach - Mitte, Heilbronn (74078)",560.000 € 2.435 €/m²,10 Zimmer,230 m²,512 m² Grundstück,https://www.immowelt.de/expose/848f8d1a-02b4-4d84-8973-4c83cca5c945
"Innenstadt, Heilbronn (74072)",Preis auf Anfrage,1.156 m²,524 m² Grundstück,Unknown,https://www.immowelt.de/expose/203a0655-18ed-4d1f-8e88-33c9d45cbd2b
"Alt-Böckingen - West, Heilbronn (74080)",140.000 € 2.692 €/m²,2 Zimmer,52 m²,1. Geschoss,https://www.immowelt.de/expose/7b6783ec-d8f2-4bb9-8024-5bfc6c36a924
"Alt-Böckingen - West, Heilbronn (74080)",150.000 € 2.885 €/m²,2 Zimmer,52 m²,EG,https://www.immowelt.de/expose/2bef56a5-273d-441e-9ef1-2382e27238d7
"Herbert-Hoover-Siedlung, Heilbronn (74074)",4.450.000 € 2.592 €/m²,1.717 m²,1.102 m² Grundstück,Unknown,https://www.immowelt.de/expose/456baa6b-4cad-4b87-81e9-49d9549bb587
"Biberach - Süd, Heilbronn (74078)",449.000 € 4.446 €/m²,"4,5 Zimmer",101 m²,387 m² Grundstück,https://www.immowelt.de/expose/3e6b125b-bc59-4ccf-91dd-3fc16cf1bc1e
"Biberach - West, Heilbronn / Biberach (74078)",398.000 € 2.926 €/m²,5 Zimmer,113 m²,630 m² Grundstück,https://www.immowelt.de/expose/f4216615-5284-4077-bb5b-d99d8bc04c84
"Industriegebiet, Heilbronn (74076)",639.900 € 7.079 €/m²,4 Zimmer,"90,4 m²",1. Geschoss,https://www.immowelt.de/expose/b177dc0d-062e-4b7b-8853-6072dba7a5c5
"Gemmingstal, Heilbronn (74074)",1.040.000 € 4.160 €/m²,12 Zimmer,250 m²,632 m² Grundstück,https://www.immowelt.de/expose/7bf2597e-a01a-4c22-8aff-7eca84db2961
"Sontheim - Ost, Heilbronn (74081)",220.000 € 3.548 €/m²,2 Zimmer,62 m²,Unknown,https://www.immowelt.de/expose/cc67d7fc-58c7-4e99-b35f-172fc81dad64
"Unterer Wartberg, Heilbronn (74076)",449.000 € 4.726 €/m²,4 Zimmer,95 m²,256 m² Grundstück,https://www.immowelt.de/expose/1da5be52-4a5e-4ed7-9ca4-d7405b308e61
"Biberach - Mitte, Heilbronn (74072)",823.400 € 4.931 €/m²,5 Zimmer,167 m²,487 m² Grundstück,https://www.immowelt.de/expose/dfe0839c-847e-48db-bf21-c2dba902924b
