Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Niederbühl, Rastatt / Niederbühl (76437)",695.000 € 2.340 €/m²,9 Zimmer,"297,1 m²",651 m² Grundstück,https://www.immowelt.de/expose/d9001c50-d9f0-4e8e-a26b-323c2ef9bc3d
"Zay - Ost, Rastatt (76437)",148.000 € 3.309 €/m²,"1,5 Zimmer","44,7 m²",Unknown,https://www.immowelt.de/expose/b3ce3da3-ce4f-43b8-b905-4c2ae1f94fff
"Altrheinau, Rastatt (76437)",225.000 € 2.461 €/m²,3 Zimmer,"91,4 m²",1. Geschoss,https://www.immowelt.de/expose/1f4573b7-eaf7-4b81-8a9e-951a230ade2a
"Zur Friedrichfeste, Rastatt (76437)",238.000 € 4.250 €/m²,2 Zimmer,56 m²,Unknown,https://www.immowelt.de/expose/a8add2c6-80f6-4a3e-9952-18e9afdfa577
"Innenstadt, Rastatt (76437)",599.000 € 4.792 €/m²,5 Zimmer,125 m²,500 m² Grundstück,https://www.immowelt.de/expose/7a13628b-f92d-4687-b44f-3a1c113b16f8
"Georgenvorstadt, Rastatt (76437)",269.900 € 3.912 €/m²,3 Zimmer,69 m²,2. Geschoss,https://www.immowelt.de/expose/396aaf04-cf91-41b4-a6f5-f984795b2043
"Schloß, Rastatt (76437)",75.000 € 1.974 €/m²,1 Zimmer,38 m²,Unknown,https://www.immowelt.de/expose/cadd85fd-fa7b-4821-875f-790ac8d689f4
"Schloß, Rastatt (76437)",549.000 € 4.858 €/m²,5 Zimmer,113 m²,400 m² Grundstück,https://www.immowelt.de/expose/78f5493f-9e2a-4365-9443-9bb658531b04
"Haagen, Lörrach (79541)",697.000 € 4.874 €/m²,6 Zimmer,143 m²,625 m² Grundstück,https://www.immowelt.de/expose/17be716d-4d36-4813-8b02-f6cb25ce9635
"Haagen, Lörrach (79541)",697.000 € 4.874 €/m²,6 Zimmer,143 m²,625 m² Grundstück,https://www.immowelt.de/expose/d1e4e49e-31c0-411a-9438-d09733d22e98
"Röttererberg, Rastatt (76437)",785.000 € 3.140 €/m²,8 Zimmer,250 m²,921 m² Grundstück,https://www.immowelt.de/expose/a97644c8-cc2b-4ee5-84f4-ab4d9320935e
"Biblis, Rastatt (76437)",185.000 € 2.966 €/m²,2 Zimmer,"62,4 m²",2. Geschoss,https://www.immowelt.de/expose/bf2a8d54-1ccb-4631-ba97-49e68df7cfa2
"Münchfeldsiedlung, Rümmingen (79595)",719.000 € 5.028 €/m²,6 Zimmer,143 m²,625 m² Grundstück,https://www.immowelt.de/expose/b3e4d168-d079-4a83-81ed-dff73df2326a
"Innenstadt, Rastatt (76437)",310.000 € 2.520 €/m²,4 Zimmer,123 m²,4. Geschoss,https://www.immowelt.de/expose/8d6e8c1d-092b-48c8-aa2c-41084b8e7777
"Niederbühl, Rastatt (76437)",122.000 € 2.729 €/m²,2 Zimmer,"44,7 m²",4. Geschoss,https://www.immowelt.de/expose/96196841-af72-4f68-935b-96f44bacbc54
"Plittersdorfer Straße 3, Rheinau - Süd, Rastatt (76437)",239.000 € 2.685 €/m²,3 Zimmer,89 m²,3. Geschoss,https://www.immowelt.de/expose/9179d7eb-9f04-466f-8924-fe9d7cea2a23
"Ottersdorf, Rastatt (76437)",660.000 € 2.037 €/m²,12 Zimmer,324 m²,742 m² Grundstück,https://www.immowelt.de/expose/5d56b067-5190-42de-a185-355d53f16290
"Augustavorstadt, Rastatt (76437)",235.000 € 2.582 €/m²,"3,5 Zimmer",91 m²,Unknown,https://www.immowelt.de/expose/deca87f7-f212-4a64-b513-2c7621bbe0ae
"Wintersdorf, Rastatt (76437)",275.000 € 2.806 €/m²,4 Zimmer,98 m²,Unknown,https://www.immowelt.de/expose/41077ed2-58c7-4244-8ec3-d86b211d558c
"Wintersdorf, Rastatt (76437)",427.500 € 3.563 €/m²,4 Zimmer,120 m²,Unknown,https://www.immowelt.de/expose/8bd12d92-d0ea-4020-a4bf-c8f060289d5f
"Wintersdorf, Rastatt (76437)",427.500 € 3.563 €/m²,4 Zimmer,120 m²,Unknown,https://www.immowelt.de/expose/f99bf432-8038-47c5-b708-ffab68e8993d
"Wilhelmstr. 40, Ottersdorf, Rastatt (76437)",688.000 € 3.200 €/m²,215 m²,554 m² Grundstück,Unknown,https://www.immowelt.de/expose/c577ff37-928b-4911-a094-e4dae3a21105
"Rheinau - West, Rastatt (76437)",135.000 € 1.753 €/m²,3 Zimmer,77 m²,2. Geschoss,https://www.immowelt.de/expose/c19cba82-915b-4f44-81ed-10a6f77aa5fd
"Rauental, Rastatt (76437)",369.900 € 2.263 €/m²,5 Zimmer,"163,5 m²",Unknown,https://www.immowelt.de/expose/dd7a124c-2d1a-4cfe-a10c-f97910cd3d78
"Ludwigvorstadt, Rastatt (76437)",382.000 € 5.028 €/m²,2 Zimmer,76 m²,1. Geschoss,https://www.immowelt.de/expose/bd2d24c3-21e1-4cc4-983c-c4e7d61a2363
"Biblis, Rastatt (76437)",148.000 € 2.436 €/m²,2 Zimmer,"60,8 m²",Unknown,https://www.immowelt.de/expose/9fb177ed-b5dc-49b3-9bf8-03bbf6408de8
