Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Niederpleis, Sankt Augustin (53757)",318.900 € 5.144 €/m²,2 Zimmer,62 m²,2. Geschoss,https://www.immowelt.de/expose/30740f72-2d9b-4033-aa6b-a029dcb38d81
"Niederpleis, Sankt Augustin (53757)",424.900 € 5.058 €/m²,3 Zimmer,84 m²,1. Geschoss,https://www.immowelt.de/expose/60f7dbe5-3089-40b3-938f-510067ce8171
"Niederpleis, Sankt Augustin (53757)",399.000 € 1.304 €/m²,4 Zimmer,306 m²,670 m² Grundstück,https://www.immowelt.de/expose/d9539d64-3928-4c11-aaca-9d43c651cd07
"Menden, Sankt Augustin (53757)",88.900 € 1.616 €/m²,2 Zimmer,55 m²,9. Geschoss,https://www.immowelt.de/expose/a361e86f-c7c6-416a-87bf-a897e2c01ec0
"Am Lauterbach 6-8, Birlinghoven, Sankt Augustin (53757)",629.500 € 2.498 €/m²,5 Zimmer,252 m²,428 m² Grundstück,https://www.immowelt.de/expose/ac00912a-5062-48e7-8cc5-346f527f3de3
"Buisdorf, Sankt Augustin-Buisdorf (53757)",360.000 € 4.010 €/m²,4 Zimmer,"89,8 m²",294 m² Grundstück,https://www.immowelt.de/expose/2f9af7c8-9bb7-4e21-b358-7e2583940d28
"Niederpleis, Sankt Augustin (53757)",185.000 € 2.256 €/m²,3 Zimmer,82 m²,Unknown,https://www.immowelt.de/expose/1d63ce2a-ffbb-43d1-8aea-401a60a58aa5
"Hangelar, Sankt Augustin (53757)",400.000 € 3.636 €/m²,5 Zimmer,110 m²,323 m² Grundstück,https://www.immowelt.de/expose/1795fbbe-e048-426a-978a-eea4fe1890a5
"Menden, Sankt Augustin (53757)",399.000 € 3.951 €/m²,4 Zimmer,101 m²,219 m² Grundstück,https://www.immowelt.de/expose/c386f5f4-b949-4140-ba74-216efb970f47
"Mülldorf, Sankt Augustin (53757)",539.000 € 2.484 €/m²,7 Zimmer,217 m²,455 m² Grundstück,https://www.immowelt.de/expose/cb5e8597-848e-41be-9beb-ff2fd132ca8c
"Buisdorf, Sankt Augustin (53757)",249.000 € 3.962 €/m²,2 Zimmer,"62,8 m²",EG,https://www.immowelt.de/expose/20e9eb0d-9a4a-487f-ae40-73d6e07d3806
"Menden, Sankt Augustin (53757)",250.000 € 3.472 €/m²,3 Zimmer,72 m²,Unknown,https://www.immowelt.de/expose/de086c3b-9d2e-4f86-9a1c-3ca0b32eccaa
"Meindorf, Sankt Augustin (53757)",530.000 € 2.718 €/m²,5 Zimmer,195 m²,568 m² Grundstück,https://www.immowelt.de/expose/0642e017-6ce3-4463-9b3a-188879393fa6
"Hangelar, Sankt Augustin (53757)",155.000 € 3.100 €/m²,2 Zimmer,50 m²,Unknown,https://www.immowelt.de/expose/70e8c810-4ed6-4549-9964-35c1a13d632a
"-, Ort, Sankt Augustin (53757)",799.000 € 4.994 €/m²,6 Zimmer,160 m²,230 m² Grundstück,https://www.immowelt.de/expose/295aac13-59e8-4d44-bd4a-4b68bd2b6612
"Hangelar, Sankt Augustin (53757)",669.000 € 3.925 €/m²,5 Zimmer,"170,5 m²",779 m² Grundstück,https://www.immowelt.de/expose/5c7d0953-6c54-4d2d-86af-81c75dcd4b3c
"Mülldorf, Sankt Augustin (53757)",199.998 € 2.299 €/m²,3 Zimmer,87 m²,1. Geschoss,https://www.immowelt.de/expose/1d249c09-9c61-4fd1-8c37-585b95313dd8
"Niederpleis, Sankt Augustin (53757)",950.000 € 3.025 €/m²,7 Zimmer,"314,3 m²","2.029,3 m² Grundstück",https://www.immowelt.de/expose/fd3b9527-2c96-43c1-8efc-c54d9d099ee8
"Ort, Sankt Augustin (53757)",548.000 € 3.224 €/m²,6 Zimmer,170 m²,534 m² Grundstück,https://www.immowelt.de/expose/fe2539f9-38e2-4fbe-b3cc-d66e4a42ad67
"Mülldorf, Sankt Augustin (53757)",720.000 € 9.730 €/m²,1 Zimmer,74 m²,423 m² Grundstück,https://www.immowelt.de/expose/4d6e56ef-caad-4e51-ad60-e7bf1c0d7d0a
