Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Oberlar, Troisdorf (53842)",415.000 € 2.385 €/m²,8 Zimmer,174 m²,567 m² Grundstück,https://www.immowelt.de/expose/c3449c6f-8ee0-4b27-90ab-79e45f5bece3
"Spich, Troisdorf (53842)",545.000 € 3.169 €/m²,6 Zimmer,172 m²,545 m² Grundstück,https://www.immowelt.de/expose/ebbf7620-d8e8-4e66-ba10-830b181dff1b
"Müllekoven, Troisdorf (53844)",329.000 € 3.384 €/m²,4 Zimmer,"97,2 m²",529 m² Grundstück,https://www.immowelt.de/expose/5bddb2ed-b7b2-493e-a86d-2594010e4a86
"Rotter See, Troisdorf (53844)",199.000 € 2.982 €/m²,2 Zimmer,"66,7 m²",Unknown,https://www.immowelt.de/expose/378425ac-1cda-4e01-8318-0bb79ac7b95f
"Friedrich-Wilhelms-Hütte, Troisdorf (53840)",230.000 € 3.594 €/m²,2 Zimmer,64 m²,Unknown,https://www.immowelt.de/expose/8c8eb36e-fa0c-4c5e-97e6-0fe34b5a6491
"Bahnstraße 32, Oberlar, Troisdorf (53842)",449.000 € 2.303 €/m²,7 Zimmer,195 m²,588 m² Grundstück,https://www.immowelt.de/expose/b6ba1ae3-abcf-43f4-b35e-1d4080d0bafe
"Troisdorf, Troisdorf (53840)",119.000 € 2.521 €/m²,2 Zimmer,"47,2 m²",2. Geschoss,https://www.immowelt.de/expose/ffebc0f5-d502-4bf9-8695-a0b29438d6c5
"Troisdorf, Troisdorf (53840)",119.000 € 2.521 €/m²,2 Zimmer,"47,2 m²",2. Geschoss,https://www.immowelt.de/expose/3ddf2ce3-a99e-4709-89f5-dca429c7b1ba
"Friedrich-Wilhelms-Hütte, Troisdorf (53840)",199.000 € 2.457 €/m²,"3,5 Zimmer",81 m²,7. Geschoss,https://www.immowelt.de/expose/5b146dc6-aa68-4f91-bd7c-9d109d75e826
"-, Eschmar, Troisdorf (53844)",799.000 € 4.994 €/m²,6 Zimmer,160 m²,230 m² Grundstück,https://www.immowelt.de/expose/7bf12827-6f59-48af-8102-f60de9a0be5b
