Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Ostönnen, Soest (59494)",230.900 € 3.163 €/m²,2 Zimmer,73 m²,828 m² Grundstück,https://www.immowelt.de/expose/35d73fdc-a725-455f-be6c-37b8b084b8f3
"Thornweg 1a, Soest, Soest (59494)",398.000 € 3.790 €/m²,4 Zimmer,105 m²,475 m² Grundstück,https://www.immowelt.de/expose/8c87d89a-036a-4d5a-8f38-f9a7f961520c
"Soest, Soest (59494)",369.000 € 2.270 €/m²,8 Zimmer,"162,6 m²",250 m² Grundstück,https://www.immowelt.de/expose/0299348f-b5e7-4acc-bfec-12cc3ab37500
"Osthofenstraße 48, Soest, Soest (59494)",162.000 € 2.492 €/m²,3 Zimmer,65 m²,1. Geschoss,https://www.immowelt.de/expose/15934f3c-a541-4ad1-bf43-612ac2cf1f6e
"Soest, Soest (59494)",330.000 € 2.750 €/m²,4 Zimmer,120 m²,450 m² Grundstück,https://www.immowelt.de/expose/1e1ead99-4e00-48a6-940b-ad119bbd059a
"Thornweg 1a, Soest, Soest (59494)",398.000 € 3.790 €/m²,4 Zimmer,105 m²,475 m² Grundstück,https://www.immowelt.de/expose/0d663bf9-02c3-4bf9-84cd-e1ca917bcb18
"Soest, Soest (59494)",498.000 € 996 €/m²,14 Zimmer,500 m²,740 m² Grundstück,https://www.immowelt.de/expose/8097d55c-182d-4dad-bc09-7816ff025b39
"Soest, Soest , Westf (59494)",390.000 € 3.000 €/m²,5 Zimmer,130 m²,917 m² Grundstück,https://www.immowelt.de/expose/99e0ea4a-1b68-4edc-ac43-e53134178b44
"Soest, Soest (59494)",356.900 € 2.445 €/m²,4 Zimmer,146 m²,530 m² Grundstück,https://www.immowelt.de/expose/7918d719-4f0c-456a-8b49-556a194129cc
"Soest, Soest (59494)",304.900 € 2.858 €/m²,4 Zimmer,"106,7 m²",518 m² Grundstück,https://www.immowelt.de/expose/f6b8c744-ba7a-4ddd-a674-98f6d0139ef7
"Soest, Soest (59494)",423.900 € 2.804 €/m²,5 Zimmer,"151,2 m²",530 m² Grundstück,https://www.immowelt.de/expose/fccde109-1106-4079-a24a-82f87adef612
"Soest, Soest (59494)",414.900 € 3.090 €/m²,8 Zimmer,"134,3 m²",476 m² Grundstück,https://www.immowelt.de/expose/c7250f56-5b13-4a10-bfd3-a074764bd3c2
"Deiringsen, Soest (59494)",Preis auf Anfrage,4 Zimmer,100 m²,500 m² Grundstück,https://www.immowelt.de/expose/695a85c5-0afe-40e2-9888-e61f568d2b2a
"Soest, Soest (59494)",345.000 € 2.760 €/m²,4 Zimmer,125 m²,84 m² Grundstück,https://www.immowelt.de/expose/2d41554b-671d-4140-8ab2-ced1645a4f6c
