Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Planungsbezirk 120, Straubing (94315)",480.000 € 2.526 €/m²,7 Zimmer,190 m²,450 m² Grundstück,https://www.immowelt.de/expose/82c382de-0d81-492c-8bf2-ee48ea99ffdd
"Planungsbezirk 116, Straubing (94315)",215.000 € 3.615 €/m²,2 Zimmer,"59,5 m²",1. Geschoss,https://www.immowelt.de/expose/b2390c0e-9dcb-475b-ad5f-ec8fee43bb6e
"Planungsbezirk 127, Straubing (94315)",510.310 € 5.750 €/m²,3 Zimmer,"88,8 m²",1. Geschoss,https://www.immowelt.de/expose/865532dd-c972-4161-aebe-02d5015872d0
"Planungsbezirk 127, Straubing (94315)",503.510 € 5.850 €/m²,3 Zimmer,"86,1 m²",2. Geschoss,https://www.immowelt.de/expose/c908f619-5ac9-412b-be7b-75fa11c303cb
"Planungsbezirk 127, Straubing (94315)",518.710 € 5.750 €/m²,3 Zimmer,"90,2 m²",1. Geschoss,https://www.immowelt.de/expose/32448521-40a2-4f95-b6e8-060aa3f7ac89
"Planungsbezirk 101, Straubing (94315)",344.869 € 4.347 €/m²,2 Zimmer,"79,3 m²",1. Geschoss,https://www.immowelt.de/expose/d126e71e-933e-4b9c-8609-a0f5956637a7
"Planungsbezirk 127, Straubing (94315)",695.000 € 4.264 €/m²,163 m²,479 m² Grundstück,Unknown,https://www.immowelt.de/expose/616c3e46-7c70-4f46-90c1-eb83baf78081
"Dr.-Kumpfmüller-Straße, Planungsbezirk 202, Straubing (94315)",Preis auf Anfrage,5 Zimmer,151 m²,286 m² Grundstück,https://www.immowelt.de/expose/142075c4-7bed-4849-8dbc-81103eb7724d
"Planungsbezirk 401, Straubing (94315)",890.000 € 2.853 €/m²,312 m²,793 m² Grundstück,Unknown,https://www.immowelt.de/expose/8c2a7ce6-7f92-445d-99f5-b6b8593bcb5b
"Planungsbezirk 104, Straubing (94315)",499.000 € 3.992 €/m²,4 Zimmer,125 m²,598 m² Grundstück,https://www.immowelt.de/expose/9baead77-2b72-451e-9b14-b196f8ccfe05
"Planungsbezirk 502, Straubing (94315)",1.990.000 € 2.488 €/m²,20 Zimmer,800 m²,27.298 m² Grundstück,https://www.immowelt.de/expose/61eac7e0-5180-4838-ba1c-49478e7c3ee4
"Planungsbezirk 120, Straubing (94315)",180.000 € 1.406 €/m²,6 Zimmer,128 m²,387 m² Grundstück,https://www.immowelt.de/expose/9a53358d-0ef6-4afa-89b5-ce8749b0e898
"Planungsbezirk 119, Straubing (94315)",185.000 € 2.467 €/m²,2 Zimmer,75 m²,Unknown,https://www.immowelt.de/expose/b4f5c4a5-dc64-4334-8f09-f977d157b9e5
"Felix-Hölzl-Str. 11a, Planungsbezirk 128, Straubing (94315)",335.000 € 3.350 €/m²,4 Zimmer,100 m²,1. Geschoss,https://www.immowelt.de/expose/6e1d8b9a-1785-4ef0-9377-388c1b0759a0
"Planungsbezirk 302, Straubing (94315)",600.000 € 3.077 €/m²,4 Zimmer,195 m²,1.000 m² Grundstück,https://www.immowelt.de/expose/5b14dbd1-7f4a-4d32-a936-95afb25d5a52
"Planungsbezirk 111, Straubing (94315)",1.150.000 € 2.268 €/m²,18 Zimmer,507 m²,1.320 m² Grundstück,https://www.immowelt.de/expose/0adeee36-c689-4d76-b473-469d71b1569c
"Planungsbezirk 118, Straubing (94315)",369.000 € 1.342 €/m²,10 Zimmer,275 m²,Unknown,https://www.immowelt.de/expose/74b8c61b-11fa-48f2-8d66-e95ca5b283fa
"Planungsbezirk 133, Straubing (94315)",559.800 € 3.931 €/m²,5 Zimmer,"142,4 m²",151 m² Grundstück,https://www.immowelt.de/expose/c03dfe1d-a43a-4095-88ed-0b4baa0c2623
"Planungsbezirk 133, Straubing (94315)",565.000 € 3.932 €/m²,5 Zimmer,"143,7 m²",213 m² Grundstück,https://www.immowelt.de/expose/59148196-4880-4d68-bdcd-a6ca2ed804dd
"Planungsbezirk 127, Straubing (94315)",189.000 € 2.518 €/m²,3 Zimmer,"75,1 m²",Unknown,https://www.immowelt.de/expose/e3a78738-386f-4426-92ca-9dc569179fb4
"Planungsbezirk 133, Straubing (94315)",299.500 € 4.809 €/m²,2 Zimmer,"62,3 m²",Unknown,https://www.immowelt.de/expose/809d5c17-cd26-40f1-a199-97c4db325a9d
"Planungsbezirk 103, Straubing (94315)",148.000 € 3.144 €/m²,2 Zimmer,"47,1 m²",2. Geschoss,https://www.immowelt.de/expose/e86b4bd2-b517-4972-b37d-5c4bbd27e098
"Adalbert-Stifter-Strasse 43, Planungsbezirk 127, Straubing (94315)",Preis auf Anfrage,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/00963fde-2f5d-47ef-ae4b-961712aadb1c
"Planungsbezirk 401, Straubing (94315)",199.000 € 3.317 €/m²,2 Zimmer,60 m²,frei ab sofort,https://www.immowelt.de/expose/5f0a7801-931f-474d-aa15-8250555c00a7
"Planungsbezirk 202, Straubing (94315)",567.000 € 3.755 €/m²,6 Zimmer,151 m²,300 m² Grundstück,https://www.immowelt.de/expose/5b36744b-dcab-4ab1-8999-f51f1ffb8079
"Planungsbezirk 202, Straubing (94315)",215.000 € 3.162 €/m²,2 Zimmer,68 m²,Unknown,https://www.immowelt.de/expose/a2a75a27-364f-4b8e-a741-ba45176ef22e
"Planungsbezirk 125, Straubing (94315)",429.000 € 2.524 €/m²,6 Zimmer,170 m²,289 m² Grundstück,https://www.immowelt.de/expose/602debf6-0c6e-41a2-a3a1-9c76e08d2506
"Planungsbezirk 401, Straubing (94315)",246.100 € 2.506 €/m²,4 Zimmer,"98,2 m²",Unknown,https://www.immowelt.de/expose/444e3563-4a64-4217-9ce5-f2c8ed8de657
"Planungsbezirk 114, Straubing (94315)",495.000 € 6.281 €/m²,3 Zimmer,"78,8 m²",2. Geschoss,https://www.immowelt.de/expose/026168c7-fdb2-40bf-9829-e53199593fb0
"Planungsbezirk 202, Straubing (94315)",648.000 € 5.184 €/m²,125 m²,255 m² Grundstück,frei ab sofort,https://www.immowelt.de/expose/26cacf17-f8ec-403c-a403-96adfd92807c
"Planungsbezirk 114, Straubing (94315)",539.000 € 6.058 €/m²,4 Zimmer,89 m²,1. Geschoss,https://www.immowelt.de/expose/5969971e-2ef5-48ca-af0f-64fd036aa56d
