Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Radling, Schorndorf (93489)",850.000 € 2.798 €/m²,6 Zimmer,"303,8 m²",889 m² Grundstück,https://www.immowelt.de/expose/a6d7f1b2-a189-4ec8-9fff-134da628d96c
"Schorndorf, Schorndorf (93489)",292.600 € 3.791 €/m²,3 Zimmer,"77,2 m²",Unknown,https://www.immowelt.de/expose/eb46fdf9-2a17-467d-9415-cfee650a0761
"Schorndorf, Schorndorf (93489)",350.000 € 3.785 €/m²,3 Zimmer,"92,5 m²",Unknown,https://www.immowelt.de/expose/0b903206-7b6a-45f6-8bf5-5a461a07961f
Schorndorf (93489),399.000 € 3.470 €/m²,5 Zimmer,115 m²,924 m² Grundstück,https://www.immowelt.de/expose/3d9c4924-4036-4a94-94d5-663939d8e476
Roding (93426),260.050 € 2.412 €/m²,4 Zimmer,"107,8 m²",Unknown,https://www.immowelt.de/expose/1c586cf1-1198-4b16-a122-59cc239e434d
"Hölzlweg 11, Traitsching, Traitsching (93455)",550.000 € 2.200 €/m²,8 Zimmer,250 m²,817 m² Grundstück,https://www.immowelt.de/expose/d5734584-7d7f-4196-9cdd-58906e1bcfa2
"Traitsching, Traitsching (93455)",449.000 € 2.291 €/m²,"8,5 Zimmer",196 m²,413 m² Grundstück,https://www.immowelt.de/expose/bf5a5b82-8713-4d6a-827b-5f15207ff110
"Haidhäuser, Cham - Haidhäuser (93413)",385.000 € 3.812 €/m²,3 Zimmer,101 m²,Unknown,https://www.immowelt.de/expose/e706b71d-558b-4914-bfa5-2f0e55a900e7
"Roding, Roding (93426)",553.000 € 5.601 €/m²,3 Zimmer,"98,7 m²",460 m² Grundstück,https://www.immowelt.de/expose/e5b07034-41e2-4931-9530-8cb1643c4957
"Traitsching, Traitsching (93455)",409.999 € 3.981 €/m²,4 Zimmer,103 m²,1.000 m² Grundstück,https://www.immowelt.de/expose/c5eab54a-93c2-40d4-9867-ac09f539e4c8
"Haidhäuser, Cham / Haidhauser (93413)",399.950 € 3.485 €/m²,5 Zimmer,"114,8 m²",253 m² Grundstück,https://www.immowelt.de/expose/0fbb6d37-0ad1-4cc0-a570-582dc0332c28
"Roding, Roding (93426)",259.900 € 2.475 €/m²,4 Zimmer,105 m²,3. Geschoss,https://www.immowelt.de/expose/3f02a18f-d2db-4e9c-8851-1b696ad158f6
"Haidhäuser, Cham (93413)",525.999 € 3.955 €/m²,5 Zimmer,133 m²,1.259 m² Grundstück,https://www.immowelt.de/expose/00b7300d-b976-46c6-9b5a-75a1549f81fb
"Untertraubenbach, Cham (93413)",80.000 € 516 €/m²,155 m²,Unknown,Unknown,https://www.immowelt.de/expose/d5ba13bf-5f8e-4ad3-809e-15a1babb1381
"Wetterfeld, Roding (93426)",419.000 € 2.870 €/m²,5 Zimmer,146 m²,1.112 m² Grundstück,https://www.immowelt.de/expose/e101ae78-1463-4fc4-8d63-63842328b84b
"Haidhäuser, Cham (93413)",399.000 € 3.381 €/m²,5 Zimmer,118 m²,270 m² Grundstück,https://www.immowelt.de/expose/b5fa716b-2aad-4fe0-87de-4186d78b63a7
"Altenmarkt, Cham (93413)",573.000 € 4.189 €/m²,4 Zimmer,"136,8 m²",580 m² Grundstück,https://www.immowelt.de/expose/4c69af37-798a-4658-aa84-e93f9e2f3892
"Haidhäuser, Cham (93413)",666.666 € 1.536 €/m²,20 Zimmer,434 m²,1.259 m² Grundstück,https://www.immowelt.de/expose/6b33e564-8188-4aa3-9c3e-ae8be3278fa1
"Roding, Roding (93426)",582.000 € 3.951 €/m²,5 Zimmer,"147,3 m²",612 m² Grundstück,https://www.immowelt.de/expose/6c99c5ed-a481-406c-907e-189615ecabb0
"Haidhäuser, Cham / Haidhauser (93413)",324.000 € 3.506 €/m²,3 Zimmer,"92,4 m²",209 m² Grundstück,https://www.immowelt.de/expose/97effdfd-7c21-4156-817b-2a5eb6daa0bd
"Untertraubenbach, Cham (93413)",80.000 € 516 €/m²,6 Zimmer,155 m²,335 m² Grundstück,https://www.immowelt.de/expose/18df9a61-1902-4740-8f94-9a8d201e3b85
"Untertraubenbach, Cham (93413)",80.000 € 516 €/m²,155 m²,335 m² Grundstück,Unknown,https://www.immowelt.de/expose/07ea58db-6ffe-49d7-9cd2-0c84cb46edd8
"Auweg 17, Haidhäuser, Cham (93413)",399.000 € 3.392 €/m²,5 Zimmer,"117,6 m²",Unknown,https://www.immowelt.de/expose/a98fc8f8-4b70-4ace-bcdb-1f62410cf1d7
"Auweg 17, Haidhäuser, Cham (93413)",399.000 € 3.392 €/m²,5 Zimmer,"117,6 m²",Unknown,https://www.immowelt.de/expose/724bd448-8d0a-443e-b472-3dcbbe932399
"Auweg 17, Haidhäuser, Cham (93413)",399.000 € 3.392 €/m²,5 Zimmer,"117,6 m²",Unknown,https://www.immowelt.de/expose/f6d0f3f8-c3eb-40fd-9579-dd7d7278dda3
"Obertraubenbacher Straße xxx, Untertraubenbach, Cham (93413)",80.000 € 516 €/m²,155 m²,335 m² Grundstück,Unknown,https://www.immowelt.de/expose/0ad82f60-9875-408e-a0e4-b44af46fa249
"Haidhäuser, Cham / Haidhauser (93413)",447.190 € 3.485 €/m²,5 Zimmer,"128,3 m²",313 m² Grundstück,https://www.immowelt.de/expose/e77cd33b-8a6c-42ec-a8b2-00519aaaba6a
"Haidhäuser, Cham (93413)",399.000 € 3.381 €/m²,5 Zimmer,118 m²,270 m² Grundstück,https://www.immowelt.de/expose/27906c38-e093-4cf7-9f4d-4e09e85d9d60
"Roding, Roding (93426)",316.368 € 3.900 €/m²,"3,5 Zimmer","81,1 m²",Unknown,https://www.immowelt.de/expose/10b0e35c-9292-414a-b7a2-46054af5758e
"Roding, Roding (93426)",329.000 € 2.287 €/m²,"6,5 Zimmer","143,9 m²",650 m² Grundstück,https://www.immowelt.de/expose/2c329c71-fa74-4ea6-92d4-40890781bfad
