Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Rheidt, Niederkassel (53859)",640.000 € 2.991 €/m²,8 Zimmer,214 m²,1.000 m² Grundstück,https://www.immowelt.de/expose/5a652034-7ac1-48e7-b378-8a41ebbf01a8
"Niederkassel, Niederkassel (53859)",636.900 € 5.587 €/m²,4 Zimmer,114 m²,495 m² Grundstück,https://www.immowelt.de/expose/1a644894-56fb-45a7-ba28-c880881acadf
"Niederkassel, Niederkassel (53859)",633.230 € 4.112 €/m²,5 Zimmer,154 m²,453 m² Grundstück,https://www.immowelt.de/expose/e1a39d98-6841-4060-bbdc-8cdd628e0b2f
"Niederkassel, Niederkassel (53859)",598.000 € 4.430 €/m²,4 Zimmer,135 m²,480 m² Grundstück,https://www.immowelt.de/expose/135edb86-4c51-4389-97f2-884c9270fe09
"Mondorf, Niederkassel-Mondorf (53859)",1.450.000 € 2.373 €/m²,611 m²,Unknown,Unknown,https://www.immowelt.de/expose/dd5ad352-657a-475e-8fb6-a5af5ed5c8be
"Rheidt, Niederkassel / Rheidt (53859)",830.000 € 3.722 €/m²,5 Zimmer,223 m²,793 m² Grundstück,https://www.immowelt.de/expose/d4375fb4-14ff-4a72-a314-91851249afa7
"Lülsdorf, Niederkassel (53859)",479.000 € 4.059 €/m²,4 Zimmer,118 m²,199 m² Grundstück,https://www.immowelt.de/expose/7863b8e6-519f-41ef-94ec-fc4b146fcaaa
"Rheidt, Niederkassel (53859)",424.870 € 5.309 €/m²,3 Zimmer,80 m²,Unknown,https://www.immowelt.de/expose/1cc76f14-d5e4-4733-b547-db109c8b6c9a
"Mondorf, Niederkassel (53859)",1.140.000 € 3.455 €/m²,330 m²,Unknown,Unknown,https://www.immowelt.de/expose/2f9a85dc-1cf5-43f3-8477-96b255c33e5c
"Mondorf, Niederkassel (53859)",1.140.000 € 2.645 €/m²,1 Zimmer,431 m²,889 m² Grundstück,https://www.immowelt.de/expose/344c97a0-a252-435b-b684-a932bcfc1435
"Rheidt, Niederkassel (53859)",640.000 € 4.741 €/m²,6 Zimmer,135 m²,520 m² Grundstück,https://www.immowelt.de/expose/7215b18c-bcc6-46d9-8073-1ddc8b0f4e3f
"Niederkassel, Niederkassel (53859)",795.000 € 3.664 €/m²,9 Zimmer,217 m²,825 m² Grundstück,https://www.immowelt.de/expose/66966358-72ad-475f-8117-acac22cd3a69
"Rheidt, Niederkassel (53859)",359.870 € 5.467 €/m²,2 Zimmer,"65,8 m²",Unknown,https://www.immowelt.de/expose/3b587dad-a18d-4e83-a863-1c7d08c23135
"Rheidt, Niederkassel (53859)",640.000 € 2.991 €/m²,214 m²,1.000 m² Grundstück,Unknown,https://www.immowelt.de/expose/3b8b764b-6db8-41ca-ba5d-5f7348cf7ee6
"Rheidt, Niederkassel (53859)",640.000 € 2.991 €/m²,214 m²,Unknown,Unknown,https://www.immowelt.de/expose/d3515c2d-594f-4b76-9717-371269aec0f0
"Rheidt, Niederkassel (53859)",640.000 € 2.991 €/m²,8 Zimmer,214 m²,1.000 m² Grundstück,https://www.immowelt.de/expose/40edce9d-51d5-47af-b5d6-396eaf7d7b16
"Ranzel, Niederkassel (53859)",469.800 € 4.050 €/m²,4 Zimmer,116 m²,547 m² Grundstück,https://www.immowelt.de/expose/b6f82af1-6a52-44bf-9c34-fcd17cac5d60
"Mondorf, Niederkassel (53859)",449.800 € 2.570 €/m²,7 Zimmer,175 m²,338 m² Grundstück,https://www.immowelt.de/expose/4e8ee0ae-d2c3-49fe-9f8b-f7a8d04731b6
"Rheidt, Niederkassel (53859)",415.000 € 3.568 €/m²,4 Zimmer,"116,3 m²",502 m² Grundstück,https://www.immowelt.de/expose/f9017f0a-73ed-4c4f-8c4c-e55371f33d00
"Ranzel, Niederkassel (53859)",390.000 € 3.391 €/m²,4 Zimmer,115 m²,353 m² Grundstück,https://www.immowelt.de/expose/9f33fca1-9c14-49d3-a5f4-33487c9cee16
"Lülsdorf, Niederkassel (53859)",598.000 € 3.669 €/m²,6 Zimmer,163 m²,428 m² Grundstück,https://www.immowelt.de/expose/fedc876d-1046-49d9-b941-ad98f2d3d5f1
"Ranzel, Niederkassel (53859)",390.000 € 3.391 €/m²,115 m²,353 m² Grundstück,Unknown,https://www.immowelt.de/expose/7128887a-1c26-45ed-adf1-efc39cc9420a
"Ranzel, Niederkassel (53859)",390.000 € 3.391 €/m²,115 m²,Unknown,Unknown,https://www.immowelt.de/expose/94e1cad9-2e56-4976-8518-62a9ebbffeb0
"Lülsdorf, Niederkassel / Lülsdorf (53859)",3.900.000 € 3.415 €/m²,37 Zimmer,1.142 m²,1.177 m² Grundstück,https://www.immowelt.de/expose/6ee7901d-7b16-4b87-8505-18dd997c8241
"Mondorf, Niederkassel (53859)",580.000 € 3.005 €/m²,6 Zimmer,193 m²,517 m² Grundstück,https://www.immowelt.de/expose/9b751117-73a6-4bb9-a69b-d011e1d9866c
"Lülsdorf, Niederkassel / Lülsdorf (53859)",475.000 € 3.682 €/m²,5 Zimmer,129 m²,236 m² Grundstück,https://www.immowelt.de/expose/ee61a772-55c6-44fe-b94c-15dd79f2d62e
"Niederkassel, Niederkassel (53859)",524.900 € 11.664 €/m²,2 Zimmer,45 m²,495 m² Grundstück,https://www.immowelt.de/expose/d38e2db8-fa48-425d-9c2a-506e54e5fa7c
"Niederkassel, Niederkassel (53859)",714.900 € 6.383 €/m²,4 Zimmer,112 m²,495 m² Grundstück,https://www.immowelt.de/expose/143cf8d4-a478-4ae6-870e-2f4ea4ac1f2e
"Rheidt, Niederkassel / Rheidt (53859)",830.000 € 3.722 €/m²,5 Zimmer,223 m²,793 m² Grundstück,https://www.immowelt.de/expose/159d6701-d945-4a49-8de8-a3d4a596b03f
"Mondorf, Niederkassel (53859)",630.000 €,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/2718aba4-f251-4325-b3be-31f3d3750874
"Ranzel, Niederkassel-Ranzel (53859)",179.000 € 2.983 €/m²,3 Zimmer,60 m²,EG,https://www.immowelt.de/expose/2daf5c82-fc5d-4174-8796-21fe57a74af7
"Niederkassel, Niederkassel (53859)",325.000 € 3.037 €/m²,3 Zimmer,107 m²,1. Geschoss,https://www.immowelt.de/expose/68ba2ff1-7c77-484e-abec-17137168ad37
"Ranzel, Niederkassel-Ranzel (53859)",498.000 € 3.802 €/m²,5 Zimmer,131 m²,781 m² Grundstück,https://www.immowelt.de/expose/0b1212ce-91bd-4934-a9da-7b37374bb1c4
"Niederkassel, Niederkassel (53859)",525.400 € 4.865 €/m²,4 Zimmer,108 m²,247 m² Grundstück,https://www.immowelt.de/expose/f75eb39a-15e7-4ef0-bdb1-cdcc5da001eb
"Niederkassel, Niederkassel (53859)",562.400 € 4.726 €/m²,4 Zimmer,119 m²,247 m² Grundstück,https://www.immowelt.de/expose/8f5f9ee7-0753-42da-b9f8-e3e2ca03c6ce
"Niederkassel, Niederkassel (53859)",668.900 € 4.744 €/m²,5 Zimmer,141 m²,495 m² Grundstück,https://www.immowelt.de/expose/ab91df60-0bd2-4839-b669-021885ab76cb
"Rheidt, Niederkassel (53859)",400.000 € 3.175 €/m²,4 Zimmer,126 m²,450 m² Grundstück,https://www.immowelt.de/expose/480e282c-7215-4f0b-aa61-aaf3f22c150d
"Mondorf, Niederkassel / Mondorf (53859)",899.000 € 2.282 €/m²,11 Zimmer,394 m²,334 m² Grundstück,https://www.immowelt.de/expose/07936c2c-b32c-4a83-a323-284a4ee31fce
"Mondorf, Niederkassel (53859)",669.000 € 2.742 €/m²,9 Zimmer,244 m²,434 m² Grundstück,https://www.immowelt.de/expose/9928adb7-1bd8-43af-aa8b-ce0449df68ab
"Rheidt, Niederkassel (53859)",389.000 € 2.739 €/m²,6 Zimmer,142 m²,352 m² Grundstück,https://www.immowelt.de/expose/35c1fb9e-cb10-427a-8673-879f808338f3
"Kirchstraße 40, Lülsdorf, Niederkassel (53859)",699.000 € 4.618 €/m²,6 Zimmer,"151,4 m²",254 m² Grundstück,https://www.immowelt.de/expose/b3ce9a4b-4406-4dac-84a4-62de69f09de4
"Lülsdorf, Niederkassel (53859)",425.000 € 4.167 €/m²,4 Zimmer,102 m²,291 m² Grundstück,https://www.immowelt.de/expose/7fd61006-c910-425e-bbe2-689a378426bb
"Lülsdorf, Niederkassel (53859)",252.500 € 5.050 €/m²,2 Zimmer,50 m²,1. Geschoss,https://www.immowelt.de/expose/11060420-6f03-41ba-872d-493398e60332
"Rheidt, Niederkassel (53859)",325.000 € 2.500 €/m²,5 Zimmer,130 m²,218 m² Grundstück,https://www.immowelt.de/expose/52e1386a-1e0b-43de-b644-a88a9e7753a9
"Lülsdorf, Niederkassel (53859)",252.500 € 5.050 €/m²,2 Zimmer,50 m²,1. Geschoss,https://www.immowelt.de/expose/b1748372-de9d-4108-94a4-88c8927447cf
"Lülsdorf, Niederkassel (53859)",465.500 € 4.900 €/m²,3 Zimmer,95 m²,EG,https://www.immowelt.de/expose/239fc4a7-b0b6-4630-9951-da73d7d42111
"Rheidt, Niederkassel (53859)",389.000 € 2.739 €/m²,6 Zimmer,142 m²,352 m² Grundstück,https://www.immowelt.de/expose/bbef5b17-85d9-460e-99df-98a01fd03451
"Ranzel, Niederkassel (53859)",225.000 € 1.500 €/m²,3 Zimmer,150 m²,440 m² Grundstück,https://www.immowelt.de/expose/94c9fc2b-976c-47e1-9952-fed1d58c4443
"Rheidt, Niederkassel (53859)",414.000 € 3.185 €/m²,5 Zimmer,130 m²,160 m² Grundstück,https://www.immowelt.de/expose/440ae43c-de5a-4d3d-8f71-35473b29a909
"Ranzel, Niederkassel / Ranzel (53859)",145.000 € 3.537 €/m²,2 Zimmer,41 m²,2. Geschoss,https://www.immowelt.de/expose/21f814ea-7fb0-467b-be2a-ef24e604b5e9
"Ranzel, Niederkassel / Ranzel (53859)",125.000 € 3.676 €/m²,2 Zimmer,34 m²,2. Geschoss,https://www.immowelt.de/expose/d1dd7999-136b-4658-aa8a-ed74108d3d03
"Niederkassel, Niederkassel (53859)",665.900 € 5.841 €/m²,4 Zimmer,114 m²,495 m² Grundstück,https://www.immowelt.de/expose/1150efd3-9fce-4d37-9af6-fa4e0a1137b8
"Niederkassel, Niederkassel (53859)",612.900 € 4.169 €/m²,5 Zimmer,147 m²,495 m² Grundstück,https://www.immowelt.de/expose/6cf37f9a-95c7-4006-99c7-880b3cc17ac3
"Niederkassel, Niederkassel (53859)",585.900 € 4.687 €/m²,4 Zimmer,125 m²,495 m² Grundstück,https://www.immowelt.de/expose/6b5a36cd-e634-499c-81e0-3e8d21321330
"Niederkassel, Niederkassel (53859)",368.000 € 4.658 €/m²,3 Zimmer,79 m²,3. Geschoss,https://www.immowelt.de/expose/0c56fdc0-c684-45bb-b785-3c42aacf935a
"Kriegsdorf, Troisdorf (53844)",297.500 € 1.957 €/m²,5 Zimmer,152 m²,frei ab sofort,https://www.immowelt.de/expose/86a9caef-8237-4231-9620-65232e5ad3ed
"Urfeld, Wesseling (50389)",395.000 € 3.292 €/m²,4 Zimmer,120 m²,220 m² Grundstück,https://www.immowelt.de/expose/bd6d9e00-277a-4444-b0ac-46c688e1bdad
"Eschmar, Troisdorf (53844)",449.800 € 3.259 €/m²,4 Zimmer,138 m²,540 m² Grundstück,https://www.immowelt.de/expose/1c734d39-4e48-4b37-8228-145a3ecddb36
Unknown,Unknown,4 Zimmer,97 m²,frei ab sofort,https://www.immowelt.de/projekte/expose/k277732
Unknown,Unknown,4 Zimmer,90 m²,EG,https://www.immowelt.de/projekte/expose/k277732
