Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Rheindorf, Leverkusen (51371)",257.000 € 2.920 €/m²,3 Zimmer,88 m²,2. Geschoss,https://www.immowelt.de/expose/224ba6e9-ca9f-4845-94dd-b210e604f406
"Schlebusch - Nord, Leverkusen (51375)",165.000 € 2.619 €/m²,3 Zimmer,63 m²,2. Geschoss,https://www.immowelt.de/expose/66b75651-d388-49cc-b464-44796e76c3b2
"Opladen, Leverkusen (51379)",155.000 € 2.279 €/m²,3 Zimmer,68 m²,1. Geschoss,https://www.immowelt.de/expose/2be75ec1-7fc4-4465-8123-49641312c0d8
"Lützenkirchen, Leverkusen (51381)",111.000 € 1.708 €/m²,2 Zimmer,65 m²,1. Geschoss,https://www.immowelt.de/expose/f924a112-cece-4346-9b41-d86cd8d96315
"Feuerbachstraße 64, Steinbüchel, Leverkusen (51377)",547.500 € 4.761 €/m²,5 Zimmer,115 m²,175 m² Grundstück,https://www.immowelt.de/projekte/expose/k2sf732
"Feuerbachstraße 68, Steinbüchel, Leverkusen (51377)",678.000 € 4.920 €/m²,5 Zimmer,"137,8 m²",142 m² Grundstück,https://www.immowelt.de/projekte/expose/k2sf732
"Feuerbachstraße 70, Steinbüchel, Leverkusen (51377)",729.000 € 5.428 €/m²,5 Zimmer,"134,3 m²",233 m² Grundstück,https://www.immowelt.de/projekte/expose/k2sf732
"Opladen, Leverkusen (51379)",489.000 € 2.126 €/m²,9 Zimmer,230 m²,779 m² Grundstück,https://www.immowelt.de/expose/18aec544-228f-4b73-a5f6-d6b44e783ae6
"Am Sonnenhang 15, Lützenkirchen, Leverkusen (51381)",320.000 € 2.520 €/m²,5 Zimmer,127 m²,3. Geschoss,https://www.immowelt.de/expose/ef25983a-29ea-4224-9ac3-1171cf7fa181
"Opladen, Leverkusen / Opladen (51379)",1.920.000 € 2.108 €/m²,34 Zimmer,911 m²,390 m² Grundstück,https://www.immowelt.de/expose/4c91eee4-44b3-4993-9fc2-65b578dabb81
"Opladen, Leverkusen / Opladen (51379)",1.920.000 € 2.108 €/m²,34 Zimmer,911 m²,390 m² Grundstück,https://www.immowelt.de/expose/988eb148-d3b0-48a7-ad96-4cbe153d475f
"Bergisch Neukirchen, Leverkusen (51381)",230.000 € 2.527 €/m²,3 Zimmer,91 m²,Unknown,https://www.immowelt.de/expose/525b1baf-a228-4b37-af89-3522740d1eb7
"Küppersteg, Leverkusen (51373)",306.000 € 2.833 €/m²,4 Zimmer,108 m²,Unknown,https://www.immowelt.de/expose/c1978dce-ac0b-4f8b-b928-1c1e57d12dc2
"Schlebusch - Nord, Leverkusen (51375)",549.000 € 2.889 €/m²,9 Zimmer,190 m²,635 m² Grundstück,https://www.immowelt.de/expose/49e13fac-9d5c-4c45-9d88-7c4c13ea8c6d
"Steinbüchel, Leverkusen (51377)",485.000 € 3.212 €/m²,4 Zimmer,151 m²,557 m² Grundstück,https://www.immowelt.de/expose/ac64a671-4b8f-4026-8995-83524319a42b
"Opladen, Leverkusen (51379)",598.000 € 2.392 €/m²,5 Zimmer,250 m²,638 m² Grundstück,https://www.immowelt.de/expose/f37806b6-a63b-4d2b-b92a-801f60f8c9d8
"Opladen, Leverkusen / Opladen (51379)",645.000 € 3.000 €/m²,8 Zimmer,215 m²,761 m² Grundstück,https://www.immowelt.de/expose/6aca78e8-dff9-4ee4-aedf-679c144f7eeb
"Opladen, Leverkusen / Opladen (51379)",645.000 € 3.000 €/m²,8 Zimmer,215 m²,761 m² Grundstück,https://www.immowelt.de/expose/3949446a-fc53-41c0-8a3b-990d798fdb48
"Opladen, Leverkusen / Opladen (51379)",645.000 € 3.000 €/m²,8 Zimmer,215 m²,761 m² Grundstück,https://www.immowelt.de/expose/3990d1ed-0fb2-4f41-93dd-2fa1aa400c5f
"Küppersteg, Leverkusen (51373)",539.000 € 2.962 €/m²,4 Zimmer,182 m²,722 m² Grundstück,https://www.immowelt.de/expose/94514a17-11ba-4289-ac00-af1af976ad0b
"Schlebusch - Nord, Leverkusen (51375)",419.000 € 4.554 €/m²,4 Zimmer,92 m²,180 m² Grundstück,https://www.immowelt.de/expose/b53cdc21-f8bf-47cc-b191-1df734dcced3
"Rheindorf, Leverkusen (51371)",315.000 € 3.539 €/m²,3 Zimmer,89 m²,1. Geschoss,https://www.immowelt.de/expose/8c163742-49fe-49f7-9600-db2f48078bbf
"Rüttersweg 78, Bürrig, Leverkusen (51371)",795.000 € 3.340 €/m²,10 Zimmer,238 m²,735 m² Grundstück,https://www.immowelt.de/expose/3e707a43-d789-475f-a593-3d25dcaadcc4
"Opladen, Leverkusen (51379)",695.000 € 2.747 €/m²,9 Zimmer,253 m²,283 m² Grundstück,https://www.immowelt.de/expose/86b2add3-56b1-4726-bf20-a58e513d2ab0
"Quettingen, Leverkusen (51381)",149.000 € 2.759 €/m²,2 Zimmer,54 m²,Unknown,https://www.immowelt.de/expose/39888a84-910b-4ffd-9a25-d3825dffeae5
"Burscheider Str. 352, Bergisch Neukirchen, Leverkusen (51381)",418.000 € 3.016 €/m²,4 Zimmer,"138,6 m²",638 m² Grundstück,https://www.immowelt.de/expose/e2a02175-e6da-41e1-942c-2eed3d929391
"Rheindorf, Leverkusen (51371)",249.900 € 3.204 €/m²,3 Zimmer,78 m²,2. Geschoss,https://www.immowelt.de/expose/459f7c55-0dcd-4c63-af08-a6f60c15001d
"Steinbüchel, Leverkusen (51377)",170.000 € 2.833 €/m²,"2,5 Zimmer",60 m²,5. Geschoss,https://www.immowelt.de/expose/3296f033-a7d1-4df6-be9f-b297b8903de3
"Bergisch Neukirchen, Leverkusen (51381)",329.000 € 3.538 €/m²,3 Zimmer,93 m²,Unknown,https://www.immowelt.de/expose/52d779f2-dcea-47ab-b255-a973e6b69562
"Lützenkirchen, Leverkusen (51381)",111.000 € 1.708 €/m²,2 Zimmer,65 m²,Unknown,https://www.immowelt.de/expose/ae3f6d7d-ada2-4c3c-b529-d2130286e325
"Küppersteg, Leverkusen-Küppersteg (51373)",235.000 € 3.133 €/m²,3 Zimmer,75 m²,2. Geschoss,https://www.immowelt.de/expose/cf1a6e5a-4b69-4601-b275-ea1f9bd7a1c1
"Schopenhauerstraße 30, Steinbüchel, Leverkusen (51377)",734.000 € 5.681 €/m²,5 Zimmer,"129,2 m²",205 m² Grundstück,https://www.immowelt.de/projekte/expose/k2sf732
"Küppersteg, Leverkusen (51373)",215.000 € 2.500 €/m²,3 Zimmer,86 m²,3. Geschoss,https://www.immowelt.de/expose/25d8a971-e2a9-4ec8-9479-7ea41f0057e5
"Küppersteg, Leverkusen (51373)",250.000 € 2.475 €/m²,4 Zimmer,101 m²,2. Geschoss,https://www.immowelt.de/expose/5b6f73ea-e278-48ff-820f-7747ea2852a5
"Lützenkirchen, Leverkusen (51381)",649.500 € 3.007 €/m²,9 Zimmer,216 m²,672 m² Grundstück,https://www.immowelt.de/expose/70666c36-0fa7-4198-869a-41e2d6be35a7
"Steinbüchel, Leverkusen (51377)",214.000 € 2.627 €/m²,3 Zimmer,"81,5 m²",1. Geschoss,https://www.immowelt.de/expose/5bdca650-5be8-4df4-ae61-7c8c7ef32216
"Lützenkirchen, Leverkusen (51381)",670.000 € 3.526 €/m²,7 Zimmer,190 m²,670 m² Grundstück,https://www.immowelt.de/expose/3e2bcfc2-f2c9-478f-839f-0bd9a5a9f9e9
"Küppersteg, Leverkusen (51373)",149.000 € 2.922 €/m²,2 Zimmer,51 m²,Unknown,https://www.immowelt.de/expose/7d02f537-5c8b-481d-a2bb-4b9719db0b39
"Lützenkirchen, Leverkusen (51381)",189.999 €,3 Zimmer,69 m²,2. Geschoss,https://www.immowelt.de/expose/9bfbcd63-9522-4a60-b670-6b65f6542d41
"Steinbüchel, Leverkusen (51377)",398.000 € 3.554 €/m²,4 Zimmer,112 m²,407 m² Grundstück,https://www.immowelt.de/expose/4dd4c33f-5f8e-4c1b-bef7-72dc7fef42a3
"Opladen, Leverkusen (51379)",699.000 € 3.377 €/m²,9 Zimmer,207 m²,382 m² Grundstück,https://www.immowelt.de/expose/19fb9e09-bfc8-4ab6-a9f4-e1c7cef947c3
"Manfort, Leverkusen (51377)",380.000 € 3.363 €/m²,4 Zimmer,113 m²,147 m² Grundstück,https://www.immowelt.de/expose/979d6bc7-b34b-4ff5-adce-dc292bbda01b
"-, Küppersteg, Leverkusen (51373)",899.000 € 5.619 €/m²,6 Zimmer,160 m²,230 m² Grundstück,https://www.immowelt.de/expose/4d120f27-101f-4939-bdd8-fa7322fc969b
"Schlebusch - Süd, Leverkusen (51375)",570.000 € 4.071 €/m²,4 Zimmer,140 m²,Unknown,https://www.immowelt.de/expose/ae8526e2-9285-4bd6-8b11-97f1c930fa6d
"Schlebusch - Süd, Leverkusen (51375)",1.299.000 € 3.064 €/m²,14 Zimmer,424 m²,590 m² Grundstück,https://www.immowelt.de/expose/99608d03-6c9a-41b2-bdcf-7c06a5e2b031
"Pfeilshofstr. 46, Manfort, Leverkusen (51377)",1.200.000 € 5.263 €/m²,228 m²,172 m² Grundstück,Unknown,https://www.immowelt.de/expose/ff339eae-7cde-42b0-98a3-021142b8707e
"Steinbüchel, Leverkusen (51377)",595.000 € 3.967 €/m²,7 Zimmer,150 m²,275 m² Grundstück,https://www.immowelt.de/expose/1ca3f7ee-7519-46cc-bd2f-fa7be497fe32
"Quettingen, Leverkusen (51381)",198.000 € 2.870 €/m²,3 Zimmer,69 m²,1. Geschoss,https://www.immowelt.de/expose/855ceb0e-5da7-48ce-9435-26d0c4b8107c
