Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Schötmar, Bad Salzuflen-Schötmar (32108)",149.500 € 1.663 €/m²,3 Zimmer,"89,9 m²",1. Geschoss,https://www.immowelt.de/expose/20cedf64-1cc6-4548-804d-7d3fcfbad811
"Schötmar, Bad Salzuflen (32108)",115.000 € 1.620 €/m²,3 Zimmer,71 m²,Unknown,https://www.immowelt.de/expose/5f220981-8bb7-4dc5-81e5-64505afcb57f
"Werl - Aspe, Bad Salzuflen (32107)",531.913 € 4.222 €/m²,4 Zimmer,126 m²,610 m² Grundstück,https://www.immowelt.de/expose/c49fae66-31e3-47ec-a837-6f6ad7047594
"Bad Salzuflen, Bad Salzuflen (32105)",155.000 € 1.918 €/m²,3 Zimmer,"80,8 m²",Unknown,https://www.immowelt.de/expose/c18fcb96-e6da-458f-9633-e168668a3798
"Bad Salzuflen, Bad Salzuflen (32105)",556.588 € 2.519 €/m²,5 Zimmer,221 m²,775 m² Grundstück,https://www.immowelt.de/expose/b70e3c7e-090c-47cd-8989-a2fd09215a07
"Ehrsen - Breden, Bad Salzuflen (32108)",110.000 € 1.719 €/m²,2 Zimmer,64 m²,1. Geschoss,https://www.immowelt.de/expose/e69f755c-bcba-4cd8-8f03-c64646e34314
"Siemensstrasse, Bad Salzuflen, Bad Salzuflen (32105)",445.000 € 3.870 €/m²,4 Zimmer,115 m²,712 m² Grundstück,https://www.immowelt.de/expose/fe4a2753-36cf-4be0-826c-321cd5f57297
"Bad Salzuflen, Bad Salzuflen (32105)",249.000 € 2.785 €/m²,"3,5 Zimmer",89 m²,1. Geschoss,https://www.immowelt.de/expose/29834bbc-c551-4336-8662-3b0a1200cf78
"Bad Salzuflen, Bad Salzuflen (32105)",283.000 € 3.970 €/m²,2 Zimmer,"71,3 m²",Unknown,https://www.immowelt.de/expose/7cad1d6f-a470-4c6f-9fc3-77e2beb0f933
"Werl - Aspe, Bad Salzuflen (32107)",450.000 € 2.406 €/m²,14 Zimmer,187 m²,1.459 m² Grundstück,https://www.immowelt.de/expose/f2b6f6ef-2930-4cf9-88bc-bc5ff04b3f35
"Werl - Aspe, Bad Salzuflen (32107)",469.000 € 2.488 €/m²,6 Zimmer,"188,5 m²",275 m² Grundstück,https://www.immowelt.de/expose/b35e6159-32c3-4faf-82b0-36528565590c
"Bad Salzuflen, Bad Salzuflen (32105)",229.000 € 2.743 €/m²,3 Zimmer,"83,5 m²",1. Geschoss,https://www.immowelt.de/expose/42dba593-b685-4e05-9e9a-9f216493dac7
"Humboldtstrasse, Bad Salzuflen, Bad Salzuflen (32105)",88.500 € 2.011 €/m²,2 Zimmer,44 m²,EG,https://www.immowelt.de/expose/b75b1fd2-9989-4aad-9795-990a8a1f8aea
"Bad Salzuflen, Bad Salzuflen (32105)",4.255.000 € 4.255 €/m²,1.000 m²,1.339 m² Grundstück,Unknown,https://www.immowelt.de/expose/d8938ed7-e545-4dbe-bfe2-a0378bf13e03
"Bad Salzuflen, Bad Salzuflen (32105)",195.000 € 3.279 €/m²,2 Zimmer,88 m²,Unknown,https://www.immowelt.de/expose/bff10e1e-07c6-4109-aacd-f8384718badf
"Bad Salzuflen, Bad Salzuflen (32105)",159.500 € 2.454 €/m²,2 Zimmer,65 m²,1. Geschoss,https://www.immowelt.de/expose/38d39a07-6168-4b9a-9320-4328e87a4d08
"Bad Salzuflen, Bad Salzuflen (32105)",170.000 € 2.200 €/m²,3 Zimmer,"77,3 m²",1. Geschoss,https://www.immowelt.de/expose/c8edeafe-9283-467b-94c4-552ca2dd1f60
