Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Sonnenschein, Mannheim-Gartenstadt (68305)",790.000 € 6.270 €/m²,"4,5 Zimmer",126 m²,550 m² Grundstück,https://www.immowelt.de/expose/70b14616-b343-400c-8b1a-c29cc4684713
"Neckarau - Mitte, Mannheim (68199)",200.000 € 2.128 €/m²,3 Zimmer,94 m²,Unknown,https://www.immowelt.de/expose/c63f5adf-de10-40ce-9984-7ff518bc8967
"Niederfeld, Mannheim (68199)",297.000 € 3.453 €/m²,3 Zimmer,86 m²,Unknown,https://www.immowelt.de/expose/77ae14ff-0204-4a56-a5ea-8dc587806cd0
"Alte Frankfurter Str.42, Waldhof - Mitte, Mannheim (68305)",798.000 € 6.190 €/m²,4 Zimmer,129 m²,1. Geschoss,https://www.immowelt.de/expose/823ff8d3-fc11-4bf4-92aa-4480d7ddb7cc
"Alte Frankfurter Str.42, Waldhof - Mitte, Mannheim (68305)",614.800 € 5.800 €/m²,4 Zimmer,106 m²,EG,https://www.immowelt.de/expose/ed03b309-2c91-4918-80a7-d7533d1341b7
"Alice-Droller-Straße, Feudenheim - Nord, Mannheim (68309)",776.000 € 5.583 €/m²,4 Zimmer,139 m²,Unknown,https://www.immowelt.de/projekte/expose/k2zb632
"Schönauer Str., Sandhofen - West, Mannheim (68307)",730.000 € 4.534 €/m²,7 Zimmer,161 m²,762 m² Grundstück,https://www.immowelt.de/expose/1828cdcf-c2a2-4d30-865a-bdcb135644af
"Wallstadt, Mannheim (68259)",395.000 € 2.548 €/m²,5 Zimmer,155 m²,1. Geschoss,https://www.immowelt.de/expose/5e5cf6ce-e23e-4309-b648-cd29c1876721
"Feudenheim - Süd, Mannheim (68259)",365.000 € 4.294 €/m²,3 Zimmer,85 m²,Unknown,https://www.immowelt.de/expose/4f3d9782-4409-4bdf-a50f-aac9c520904c
"Lindenhof - West, Mannheim (68163)",1.400.000 € 2.800 €/m²,18 Zimmer,500 m²,302 m² Grundstück,https://www.immowelt.de/expose/3d728a7d-afc1-4d1d-b3da-007f9d631526
"Lindenhof - West, Mannheim (68163)",1.400.000 € 2.800 €/m²,18 Zimmer,500 m²,302 m² Grundstück,https://www.immowelt.de/expose/55fbe8cb-b4b2-4ff2-85bc-059e10490b9a
"Almenhof, Mannheim (68199)",200.000 € 2.128 €/m²,3 Zimmer,94 m²,Unknown,https://www.immowelt.de/expose/d59c0262-03c7-4310-af71-399aadc32598
"Wallstadt, Mannheim (68259)",240.000 € 3.353 €/m²,2 Zimmer,"71,6 m²",Unknown,https://www.immowelt.de/expose/6dae2a03-d4b7-4b43-b125-f067db79c2a5
"Alteichwald, Mannheim-Friedrichsfeld (68229)",593.239 € 4.360 €/m²,4 Zimmer,"136,1 m²",400 m² Grundstück,https://www.immowelt.de/expose/1ea1dc9c-2bb5-4267-9c4e-15dbb0cc5a5b
"Feudenheim - Nord, Mannheim (68259)",249.500 € 3.514 €/m²,3 Zimmer,71 m²,EG,https://www.immowelt.de/expose/207d336d-2dc3-4a66-9d6f-797d03bb9289
"Sonnenschein, Mannheim-Gartenstadt (68305)",650.000 € 5.242 €/m²,"4,5 Zimmer",124 m²,340 m² Grundstück,https://www.immowelt.de/expose/46ffe91c-75ba-4a19-bd30-76f8063fc451
"Sonnenschein, Mannheim-Gartenstadt (68305)",645.000 € 5.119 €/m²,"4,5 Zimmer",126 m²,405 m² Grundstück,https://www.immowelt.de/expose/d2aa01f6-4fb3-4d83-865e-508020b2b95c
"Sonnenschein, Mannheim-Gartenstadt (68305)",650.000 € 5.242 €/m²,"4,5 Zimmer",124 m²,300 m² Grundstück,https://www.immowelt.de/expose/1c20dcde-3acf-4206-b4a1-ebe91f9d6247
"Sandhoferstr.277, Sandhofen - West, Mannheim (68307)",888.888 € 1.684 €/m²,29 Zimmer,528 m²,307 m² Grundstück,https://www.immowelt.de/expose/8b20195a-82d3-475f-9b7b-5147adb4237f
"Lindenhof - West, Mannheim (68163)",138.000 € 4.059 €/m²,1 Zimmer,34 m²,Unknown,https://www.immowelt.de/expose/e2d22931-9e0a-43b5-a816-213e1919e716
"Friedrichsfeld - West, Mannheim (68229)",498.000 € 2.110 €/m²,10 Zimmer,236 m²,366 m² Grundstück,https://www.immowelt.de/expose/a22fdf1e-9b6e-43b1-a189-4fdf6cacdf5d
"Friedrichsfeld - West, Mannheim (68229)",498.000 € 2.110 €/m²,10 Zimmer,236 m²,366 m² Grundstück,https://www.immowelt.de/expose/4bc4607a-8d96-4f11-976c-2414f8258d61
"Alte Frankfurter Str.42, Waldhof - Mitte, Mannheim (68305)",730.000 € 5.800 €/m²,4 Zimmer,126 m²,EG,https://www.immowelt.de/expose/6eeb8942-c933-416d-8a5e-2fe5eac64c10
