Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Unterstall, Bergheim (86673)",1.050.000 € 3.107 €/m²,"5,5 Zimmer",338 m²,1.461 m² Grundstück,https://www.immowelt.de/expose/bf777a5e-b3f0-4e71-af5e-b15dc5256ff8
"Attenfeld, Bergheim/Attenfeld (86673)",769.000 € 3.231 €/m²,7 Zimmer,238 m²,1.700 m² Grundstück,https://www.immowelt.de/expose/3be9a6a2-7713-44cf-9905-95c18e6dbf54
"Unterstall, Bergheim (86673)",292.000 € 4.056 €/m²,3 Zimmer,72 m²,frei ab sofort,https://www.immowelt.de/expose/d7d66b7e-6fe6-4c38-9b73-df93a730cdb2
"Bergheim, Bergheim (86673)",444.780 € 4.500 €/m²,3 Zimmer,"98,8 m²",Unknown,https://www.immowelt.de/expose/0ceee681-7e97-4803-99ee-cadfc4b0e372
"Bergheim, Bergheim (86673)",403.300 € 4.200 €/m²,3 Zimmer,96 m²,1. Geschoss,https://www.immowelt.de/expose/7b54c21e-1f77-4666-9790-30ea4c4f1db8
"Bergheim, Bergheim (86673)",339.500 € 4.201 €/m²,3 Zimmer,"80,8 m²",2. Geschoss,https://www.immowelt.de/expose/6efa03dc-6adb-4c8b-99fd-ea61e116fb51
"Neuburg, Neuburg a d Donau (86633)",249.000 € 1.688 €/m²,4 Zimmer,"147,5 m²",frei ab sofort,https://www.immowelt.de/expose/4c70736f-deb4-47c3-9c98-1cea5eb90700
"Irgertsheim, Ingolstadt (85049)",834.900 € 5.668 €/m²,5 Zimmer,"147,3 m²",610 m² Grundstück,https://www.immowelt.de/expose/b248a7f8-d4f0-44dd-b6d1-5254f75e96de
"Neuburg, Neuburg an der Donau (86633)",399.000 € 2.036 €/m²,11 Zimmer,196 m²,194 m² Grundstück,https://www.immowelt.de/expose/b04b2d8d-e72a-47e1-a28d-cae335663abc
"Neuburg, Neuburg an der Donau (86633)",999.999 € 4.743 €/m²,6 Zimmer,"210,8 m²",236 m² Grundstück,https://www.immowelt.de/expose/e49c96e7-48fc-4fa7-9a2b-90d4792a4aae
