Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Unterstolberg, Stolberg (Rheinland) (52222)",216.000 € 1.719 €/m²,6 Zimmer,"125,7 m²",230 m² Grundstück,https://www.immowelt.de/expose/9ebcb2a1-f3ed-4374-a0b5-18db59c9ffe3
"Münsterbusch, Stolberg (52223)",369.000 € 1.693 €/m²,218 m²,Unknown,Unknown,https://www.immowelt.de/expose/3d38fdee-9f29-4361-b260-0689e9005bf4
"Oberstolberg, Stolberg (52222)",479.000 € 798 €/m²,600 m²,550 m² Grundstück,Unknown,https://www.immowelt.de/expose/1b65fa01-b38a-4b20-bfb7-72aceca80a12
"Unterstolberg, Stolberg (Rheinland) (52222)",313.000 € 934 €/m²,335 m²,1.006 m² Grundstück,Unknown,https://www.immowelt.de/expose/950f26dd-4a02-430a-aaa4-5d370dcefb92
"Unterstolberg, Stolberg (52222)",399.900 € 1.690 €/m²,9 Zimmer,"236,6 m²",236 m² Grundstück,https://www.immowelt.de/expose/668f9861-fea1-495d-9322-84e0a65a65ff
"Zweifall, Stolberg (52224)",289.900 € 1.855 €/m²,7 Zimmer,155 m²,547 m² Grundstück,https://www.immowelt.de/expose/6228e34f-8067-4efb-b186-917a0d2e8970
"Büsbach, Stolberg (Rheinland) / Büsbach (52223)",600.000 € 3.488 €/m²,5 Zimmer,172 m²,791 m² Grundstück,https://www.immowelt.de/expose/38e3d74b-2d35-4686-ae77-ffff50c33bc2
"Mausbach, Stolberg (52224)",540.000 € 4.500 €/m²,6 Zimmer,120 m²,1.230 m² Grundstück,https://www.immowelt.de/expose/2e15ea9b-85dc-484c-b351-3eaae8dec797
"Breinig, Stolberg (52223)",1.499.000 € 5.552 €/m²,5 Zimmer,270 m²,1.500 m² Grundstück,https://www.immowelt.de/expose/98b3b849-c734-43c3-8471-48b54eef82cc
"Mausbach, Stolberg (52224)",495.000 € 2.500 €/m²,8 Zimmer,198 m²,2.671 m² Grundstück,https://www.immowelt.de/expose/bb6650dc-ae56-46a1-b224-13bcf745ff30
"Büsbach, Stolberg (52223)",285.000 € 1.601 €/m²,6 Zimmer,178 m²,238 m² Grundstück,https://www.immowelt.de/expose/9ec65dce-324c-40b9-b68a-4bdce5bd73b3
"Donnerberg, Stolberg (52222)",403.880 € 4.090 €/m²,3 Zimmer,"98,7 m²",542 m² Grundstück,https://www.immowelt.de/expose/7772b49a-84ab-4c1e-9289-e896817f874a
"Donnerberg, Stolberg (52222)",418.680 € 3.404 €/m²,4 Zimmer,123 m²,542 m² Grundstück,https://www.immowelt.de/expose/0dd76aac-5ad5-4733-b260-d3c13f86c53f
"Donnerberg, Stolberg (52222)",465.020 € 2.803 €/m²,5 Zimmer,"165,9 m²",542 m² Grundstück,https://www.immowelt.de/expose/2f24007f-6371-493b-a2c6-e2ef17844dd7
"Donnerberg, Stolberg (52222)",436.900 € 3.211 €/m²,4 Zimmer,"136,1 m²",542 m² Grundstück,https://www.immowelt.de/expose/ed2d524c-f2ce-4bab-bcee-f433ba6bf474
"Donnerberg, Stolberg (52222)",446.850 € 2.973 €/m²,4 Zimmer,"150,3 m²",542 m² Grundstück,https://www.immowelt.de/expose/d7be1b41-31ab-4086-9f33-fbad8d927c07
"Münsterbusch, Stolberg (52223)",345.000 € 812 €/m²,425 m²,736 m² Grundstück,Unknown,https://www.immowelt.de/expose/d118d8d7-f9bb-4a44-a506-fb78354ac32a
"Keltenweg 18, Breinig, Stolberg (52223)",215.000 € 2.792 €/m²,3 Zimmer,77 m²,frei ab sofort,https://www.immowelt.de/expose/bcf66a88-b120-4af3-a51a-da6f856d3256
"Breinig, Stolberg (52223)",495.000 € 3.640 €/m²,136 m²,633 m² Grundstück,frei ab sofort,https://www.immowelt.de/expose/c2e14542-e285-4c87-a2bd-9d4bddb92a93
"Atsch, Stolberg (52222)",469.000 € 1.421 €/m²,13 Zimmer,330 m²,889 m² Grundstück,https://www.immowelt.de/expose/a9d5de53-ed0c-4d61-acff-0aed65dd0e22
"Atzenach 27, Büsbach, Stolberg (52223)",449.000 € 2.268 €/m²,5 Zimmer,198 m²,5.568 m² Grundstück,https://www.immowelt.de/expose/00ffb048-895f-494a-80d4-9432674963ea
"Dorff, Stolberg (52223)",249.000 € 1.755 €/m²,5 Zimmer,"141,9 m²",522 m² Grundstück,https://www.immowelt.de/expose/3a8c25e7-897e-4a38-9bbb-77ef1e2c213e
"Büsbach, Stolberg (52223)",289.900 € 2.717 €/m²,3 Zimmer,"106,7 m²",2. Geschoss,https://www.immowelt.de/expose/4e54a236-32bb-445d-93aa-724dde4b4467
"Atsch, Stolberg (52222)",185.000 € 2.313 €/m²,3 Zimmer,80 m²,Unknown,https://www.immowelt.de/expose/61a2adb7-9114-4131-b99a-0965fcae25c5
"Mausbach, Stolberg (52224)",398.000 € 2.618 €/m²,6 Zimmer,152 m²,436 m² Grundstück,https://www.immowelt.de/expose/c14696af-a49b-4ca6-9a25-95350c58c63c
"Oberstolberg, Stolberg (52222)",475.000 € 1.557 €/m²,17 Zimmer,305 m²,797 m² Grundstück,https://www.immowelt.de/expose/3b22a74f-b104-4c72-b1bb-1c534bad94e9
"Münsterbusch, Stolberg (52223)",265.000 € 3.668 €/m²,3 Zimmer,"72,3 m²",EG,https://www.immowelt.de/expose/2ad0a610-748c-426a-b1c4-3b095b05d0b7
"Unterstolberg, Stolberg (52222)",279.000 € 1.641 €/m²,6 Zimmer,170 m²,448 m² Grundstück,https://www.immowelt.de/expose/0f743a56-7a20-44fa-b23d-0253196c8fb1
"Mausbach, Stolberg (52224)",227.000 € 1.176 €/m²,7 Zimmer,193 m²,364 m² Grundstück,https://www.immowelt.de/expose/ce249430-8e3d-4182-a0d2-cf697aded0af
"Atsch, Stolberg (52222)",135.000 € 1.627 €/m²,83 m²,Unknown,Unknown,https://www.immowelt.de/expose/2e5878c1-fad3-4a9a-a6ff-dfe74d39ab76
"Atsch, Stolberg (52222)",135.000 € 1.627 €/m²,3 Zimmer,83 m²,Unknown,https://www.immowelt.de/expose/ad2f88fc-a7f7-42aa-8e9b-ac7bbd16ed4c
