Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Volkspark, Reutlingen (72762)",239.000 € 3.099 €/m²,3 Zimmer,"77,1 m²",Unknown,https://www.immowelt.de/expose/32d92024-f55a-4c54-bb7a-6a8a2e59dd3e
"Altenburg, Reutlingen (72768)",650.160 € 5.009 €/m²,4 Zimmer,"129,8 m²",301 m² Grundstück,https://www.immowelt.de/expose/4570f933-c0fc-4127-a6ad-7d0843eb27bd
"Mägerkingen, Reutlingen-Oferdingen (72760)",630.000 € 4.037 €/m²,4 Zimmer,"156,1 m²",450 m² Grundstück,https://www.immowelt.de/expose/b4f2172f-6443-4779-969f-151a3e8d5445
"Gönningen, Reutlingen Oferdingen (72760)",670.000 € 4.786 €/m²,4 Zimmer,140 m²,Unknown,https://www.immowelt.de/expose/59931e38-1b22-41d0-a1a3-472d4c3e76f5
"Orschel - Hagen, Reutlingen (72760)",259.000 € 3.083 €/m²,"3,5 Zimmer",84 m²,3. Geschoss,https://www.immowelt.de/expose/07492968-b066-4c41-b944-0274f369c6d6
"Honauer Bahn, Reutlingen (72764)",449.000 € 4.157 €/m²,"4,5 Zimmer",108 m²,Unknown,https://www.immowelt.de/expose/2c942457-5cc1-49c5-84ee-218de1911c7a
"Gönningen, Reutlingen (72770)",339.000 € 2.553 €/m²,4 Zimmer,"132,8 m²",385 m² Grundstück,https://www.immowelt.de/expose/ea90e17a-7cf3-4eb9-8299-affb0c182651
"Franz - Schubertstr. 26, Achalm, Reutlingen (72766)",449.000 € 2.595 €/m²,10 Zimmer,173 m²,476 m² Grundstück,https://www.immowelt.de/expose/4138a45c-3521-4171-b69f-ce246e10bfad
"Wannweiler Str., Reutlingen / Betzingen (72770)",189.000 € 2.803 €/m²,"2,5 Zimmer","67,4 m²",EG,https://www.immowelt.de/expose/6f3a08fd-3837-4a43-b58b-e80f0f933f44
"Römersteinstr., Reutlingen (72766)",499.000 € 1.959 €/m²,8 Zimmer,"254,7 m²",417 m² Grundstück,https://www.immowelt.de/expose/2ba8f586-6d41-4f09-939c-cc8e4695e277
"Steigstr., Reutlingen / Ohmenhausen (72770)",189.000 € 3.526 €/m²,3 Zimmer,"53,6 m²",110 m² Grundstück,https://www.immowelt.de/expose/96156c1b-ae0a-4222-b32b-7ebf001f2bb8
