Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Wahlbezirk 04, Elmshorn (25335)",1.568.000 € 2.825 €/m²,555 m²,Unknown,Unknown,https://www.immowelt.de/expose/276bd0fd-4d54-4fe5-b273-9d126fe4c285
"Wahlbezirk 17, Elmshorn (25336)",169.000 € 3.449 €/m²,2 Zimmer,49 m²,Unknown,https://www.immowelt.de/expose/e7e324e2-047a-4e07-8696-e445887734e3
"Wahlbezirk 21, Elmshorn (25336)",369.000 € 2.236 €/m²,8 Zimmer,165 m²,596 m² Grundstück,https://www.immowelt.de/expose/db429d4a-ddeb-4048-83c7-3130532ce1e8
"Wahlbezirk 06, Elmshorn (25335)",445.000 € 3.156 €/m²,5 Zimmer,141 m²,942 m² Grundstück,https://www.immowelt.de/expose/757bfd67-50c2-4027-9838-0ea88fc0a764
"Wahlbezirk 06, Elmshorn (25335)",520.000 € 2.842 €/m²,"6,5 Zimmer",183 m²,1.000 m² Grundstück,https://www.immowelt.de/expose/169c8f94-487a-47e7-9d2b-8c900f0fc863
"Wahlbezirk 19, Elmshorn (25336)",770.000 € 3.917 €/m²,8 Zimmer,"196,6 m²",579 m² Grundstück,https://www.immowelt.de/expose/cec7fb90-8530-4098-b704-dfc2a5c116d3
"Wahlbezirk 05, Elmshorn (25335)",399.000 € 3.069 €/m²,6 Zimmer,130 m²,928 m² Grundstück,https://www.immowelt.de/expose/41d60696-9f79-4ed2-9fd7-4fc771ba38cd
"Wahlbezirk 12, Elmshorn (25337)",548.450 € 4.986 €/m²,3 Zimmer,110 m²,475 m² Grundstück,https://www.immowelt.de/expose/fd31a15a-f467-4b35-b73f-54bba5d63013
"Wahlbezirk 06, Elmshorn (25335)",298.000 € 4.319 €/m²,3 Zimmer,69 m²,800 m² Grundstück,https://www.immowelt.de/expose/9789a351-8ce4-4740-acbb-c58fe15d3c9d
"Margarethenstraße 12, Wahlbezirk 20, Elmshorn (25336)",325.000 € 5.777 €/m²,2 Zimmer,"56,3 m²",2. Geschoss,https://www.immowelt.de/expose/4e24b5d2-899c-461e-986e-df77ad9ae07a
"Margarethenstraße 12, Wahlbezirk 20, Elmshorn (25336)",449.000 € 5.212 €/m²,3 Zimmer,"86,2 m²",2. Geschoss,https://www.immowelt.de/expose/af16043b-11d9-4cfb-8dd9-1519e52e4731
"Wahlbezirk 08, Elmshorn (25335)",699.000 € 2.384 €/m²,10 Zimmer,"293,2 m²",701 m² Grundstück,https://www.immowelt.de/expose/40e11aa4-7b1a-44c9-893d-ce13f5d340ed
"Wahlbezirk 09, Elmshorn (25335)",225.000 € 2.419 €/m²,5 Zimmer,93 m²,3. Geschoss,https://www.immowelt.de/expose/8bd07bf8-9615-4eb7-a8b3-ab0776c7c015
"Wahlbezirk 02, Elmshorn (25335)",519.000 € 2.544 €/m²,7 Zimmer,204 m²,1.217 m² Grundstück,https://www.immowelt.de/expose/59c55da1-1a51-46dc-b45a-2eed09c44f19
"Wahlbezirk 19, Elmshorn (25336)",169.000 € 2.303 €/m²,3 Zimmer,"73,4 m²",Unknown,https://www.immowelt.de/expose/29b89bc8-013d-42dd-af42-08c9e2ff44c4
"Wahlbezirk 16, Elmshorn (25336)",200.000 € 5.000 €/m²,"1,5 Zimmer",40 m²,3. Geschoss,https://www.immowelt.de/expose/6d1b1f55-5dcb-4124-bdeb-b4129bc1cbeb
"Wahlbezirk 04, Elmshorn (25335)",145.500 € 3.163 €/m²,2 Zimmer,46 m²,Unknown,https://www.immowelt.de/expose/0fcf7543-07cb-4ef3-a3b1-707c7776bfaf
"Wahlbezirk 04, Elmshorn (25335)",190.500 € 3.342 €/m²,2 Zimmer,57 m²,2. Geschoss,https://www.immowelt.de/expose/5f130a22-059c-4984-b03c-e6fd69cad106
"Wahlbezirk 04, Elmshorn (25335)",199.850 € 2.983 €/m²,67 m²,1. Geschoss,Unknown,https://www.immowelt.de/expose/3b106751-fd52-405f-9d31-6fbc288fdfb2
"Wahlbezirk 11, Elmshorn (25337)",235.000 € 3.176 €/m²,3 Zimmer,74 m²,Unknown,https://www.immowelt.de/expose/bd9cb2d8-1875-43e3-b8ed-cb3d9dca0c29
"Roonstraße 1-3a, Wahlbezirk 08, Elmshorn (25335)",297.500 € 4.798 €/m²,"2,5 Zimmer",62 m²,1. Geschoss,https://www.immowelt.de/expose/3ac34c93-27a6-4470-845e-1e9e62fd8d6b
"Wahlbezirk 06, Elmshorn (25335)",395.000 € 3.762 €/m²,105 m²,Unknown,Unknown,https://www.immowelt.de/expose/7ae85449-9bc2-4da3-ae73-5d2641840aaf
"Wahlbezirk 04, Elmshorn (25335)",418.000 € 2.787 €/m²,150 m²,521 m² Grundstück,Unknown,https://www.immowelt.de/expose/5e6c9cd2-9354-4a22-889f-e866319b452b
"Wahlbezirk 04, Elmshorn (25335)",418.000 € 2.787 €/m²,6 Zimmer,150 m²,521 m² Grundstück,https://www.immowelt.de/expose/a090e31f-1c3f-4434-80ae-5031de221389
"Wahlbezirk 06, Elmshorn (25335)",395.000 € 3.762 €/m²,5 Zimmer,105 m²,898 m² Grundstück,https://www.immowelt.de/expose/8babea94-c086-4596-913a-60b58ed0f978
"Wahlbezirk 01, Elmshorn (25336)",369.000 € 3.075 €/m²,5 Zimmer,120 m²,696 m² Grundstück,https://www.immowelt.de/expose/a415e5ad-21a9-4860-a056-355ac1e21180
"Wahlbezirk 19, Elmshorn (25336)",205.000 € 3.013 €/m²,2 Zimmer,68 m²,frei ab sofort,https://www.immowelt.de/expose/4301fe49-9a67-4f19-ab3a-6b6b38337e97
"Wahlbezirk 17, Elmshorn (25336)",189.000 € 1.595 €/m²,"4,5 Zimmer","118,5 m²","225,3 m² Grundstück",https://www.immowelt.de/expose/fbdff640-e5dd-4068-bb1a-fa71a6f22639
"Wahlbezirk 06, Elmshorn (25335)",644.550 € 4.739 €/m²,5 Zimmer,136 m²,500 m² Grundstück,https://www.immowelt.de/expose/a0705ee7-1433-4e6b-b55c-2abf3eb0c27e
"Wahlbezirk 06, Elmshorn (25335)",365.000 € 3.650 €/m²,"4,5 Zimmer",100 m²,Unknown,https://www.immowelt.de/expose/7f42658a-811d-40f2-8327-0da70b1002b9
"Wahlbezirk 08, Elmshorn (25335)",545.000 € 4.542 €/m²,4 Zimmer,120 m²,380 m² Grundstück,https://www.immowelt.de/expose/9917c15a-f900-44a5-9da7-10afd069c91e
"Wahlbezirk 16, Elmshorn (25336)",249.000 € 3.467 €/m²,4 Zimmer,"71,8 m²",458 m² Grundstück,https://www.immowelt.de/expose/d2e22a54-8e25-40fb-a1e5-eed0d69f20e3
"Wahlbezirk 10, Elmshorn (25337)",315.000 € 3.150 €/m²,4 Zimmer,100 m²,251 m² Grundstück,https://www.immowelt.de/expose/f9309262-d936-44e7-988a-2d5c4b65307b
"Wahlbezirk 20, Elmshorn (25336)",369.000 € 3.971 €/m²,11 Zimmer,"92,9 m²",792 m² Grundstück,https://www.immowelt.de/expose/44372672-ad33-48a4-ab50-a8e64f68209d
