Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Wahlbezirk 71, Suhl (98527)",138.000 € 1.200 €/m²,5 Zimmer,115 m²,296 m² Grundstück,https://www.immowelt.de/expose/1e3379de-b27f-4cf3-bbd2-b7a734bb71fd
"Marienstieg 1, Wahlbezirk 14, Suhl (98527)",155.000 € 1.720 €/m²,4 Zimmer,"90,1 m²",3. Geschoss,https://www.immowelt.de/expose/162cf05a-0c8b-44e1-b298-11735a97ddc5
"Wahlbezirk 62, Suhl (98527)",412.186 € 2.694 €/m²,5 Zimmer,153 m²,850 m² Grundstück,https://www.immowelt.de/expose/507c5bc3-83bb-4b43-98e9-d319998cdeb7
"Wahlbezirk 101, Suhl (98529)",237.649 € 1.557 €/m²,4 Zimmer,"152,7 m²",570 m² Grundstück,https://www.immowelt.de/expose/e389fb8a-95c0-4ccd-9bf6-1614a8020845
"Wahlbezirk 62, Suhl (98527)",314.985 € 1.909 €/m²,6 Zimmer,165 m²,850 m² Grundstück,https://www.immowelt.de/expose/be6b0274-8074-4528-8267-574d414ae79e
"Wahlbezirk 21, Suhl (98527)",356.343 € 2.659 €/m²,4 Zimmer,134 m²,1.000 m² Grundstück,https://www.immowelt.de/expose/6225cfd7-c60b-4911-905f-9f43abf52224
"Wahlbezirk 101, Suhl (98529)",234.928 € 2.116 €/m²,4 Zimmer,111 m²,960 m² Grundstück,https://www.immowelt.de/expose/9b0867b9-120b-4b13-b7ca-8e601c3e980a
"Geiersberg, Wahlbezirk 82, Suhl (98528)",79.000 € 1.975 €/m²,3 Zimmer,40 m²,995 m² Grundstück,https://www.immowelt.de/expose/4aa1afe4-d5e6-41a7-9a30-2ca53a33dfb3
"Wahlbezirk 62, Suhl (98527)",870.000 € 3.031 €/m²,6 Zimmer,287 m²,1.024 m² Grundstück,https://www.immowelt.de/expose/ee614235-e904-44ca-acd0-aeb0710d9f37
"Rimbachstraße, Wahlbezirk 62, Suhl (98527)",435.000 € 2.359 €/m²,4 Zimmer,"184,4 m²",4. Geschoss,https://www.immowelt.de/expose/a1706f7b-424d-4d64-aedf-8ce4f805ab7d
"Wahlbezirk 51, Suhl (98527)",275.000 € 1.141 €/m²,241 m²,637 m² Grundstück,Unknown,https://www.immowelt.de/expose/1e43fc33-c7dd-46c0-a850-b53c39ddc429
"Wahlbezirk 82, Suhl (98528)",Preis auf Anfrage,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/e8f9d611-5f6c-406e-a4d5-3d2495c7e9cf
"Wahlbezirk 14, Suhl (98527)",92.000 € 1.692 €/m²,2 Zimmer,"54,4 m²",1. Geschoss,https://www.immowelt.de/expose/18c2cd0c-3c34-4539-9bc6-13236ba17806
"Meininger Straße 136, Wahlbezirk 101, Suhl (98529)",198.000 € 495 €/m²,14 Zimmer,400 m²,660 m² Grundstück,https://www.immowelt.de/expose/c43c912a-8cbb-4c04-99c6-12c180356391
"Wahlbezirk 21, Suhl / Lauter (98528)",400.000 € 593 €/m²,675 m²,855 m² Grundstück,Unknown,https://www.immowelt.de/expose/8d7419b7-c563-4fe3-9ce5-40a25d517510
"Schneid 15, Wahlbezirk 21, Suhl (98527)",154.000 € 1.141 €/m²,5 Zimmer,135 m²,1. Geschoss,https://www.immowelt.de/expose/e3dcc02a-2e75-4f3e-999d-68f9b08a0a98
"Wahlbezirk 131, Suhl (98529)",550.000 € 1.083 €/m²,20 Zimmer,508 m²,2.200 m² Grundstück,https://www.immowelt.de/expose/f822dec4-fad2-4a75-9bf2-6c6261d46911
"Wahlbezirk 14, Suhl (98528)",180.000 € 1.333 €/m²,135 m²,477 m² Grundstück,Unknown,https://www.immowelt.de/expose/a0c24af6-89de-4699-ac83-72df674a6e53
"Wahlbezirk 31, Suhl (98529)",232.999 € 1.356 €/m²,5 Zimmer,"171,8 m²",610 m² Grundstück,https://www.immowelt.de/expose/c79a4107-2d0f-4db9-aed9-6252f84927c7
"Wahlbezirk 21, Suhl (98528)",42.000 € 1.077 €/m²,1 Zimmer,39 m²,5. Geschoss,https://www.immowelt.de/expose/28b935dc-34b0-4f66-9cca-7183ad69a3a1
"Wahlbezirk 74, Suhl (98527)",385.000 € 3.208 €/m²,4 Zimmer,120 m²,Unknown,https://www.immowelt.de/expose/1e1bb323-dd4e-4829-bcd6-33ccb9fc0074
"Wahlbezirk 51, Suhl (98527)",149.000 € 1.568 €/m²,4 Zimmer,95 m²,750 m² Grundstück,https://www.immowelt.de/expose/5708fc65-d892-406c-a195-3930b051e205
"Wahlbezirk 62, Suhl (98527)",228.999 € 1.713 €/m²,4 Zimmer,"133,7 m²",544 m² Grundstück,https://www.immowelt.de/expose/bcd5402c-e36a-4f3c-a26e-9bc0281a2f46
"Wahlbezirk 101, Suhl/OT Heinrichs (98529)",221.439 € 2.507 €/m²,3 Zimmer,"88,3 m²",361 m² Grundstück,https://www.immowelt.de/expose/c6623fa7-18d2-4b5b-9a7b-35220091abf5
"Wahlbezirk 101, Suhl (99529)",249.999 € 2.532 €/m²,3 Zimmer,"98,7 m²",518 m² Grundstück,https://www.immowelt.de/expose/1f54838c-87ff-407b-8e19-36412c00bc07
"Wahlbezirk 51, Suhl (98527)",298.999 € 1.615 €/m²,5 Zimmer,"185,1 m²",620 m² Grundstück,https://www.immowelt.de/expose/0b71e0e0-5f52-4ce3-a19e-ca00054ac9de
"Wahlbezirk 62, Suhl (98527)",291.729 € 2.080 €/m²,4 Zimmer,"140,3 m²",739 m² Grundstück,https://www.immowelt.de/expose/c535b73e-240b-4508-8f80-5e8cbd018fe0
"Wahlbezirk 14, Suhl (98527)",348.449 € 2.188 €/m²,4 Zimmer,"159,3 m²",385 m² Grundstück,https://www.immowelt.de/expose/36ca515b-7a79-4fcb-b8a9-023e583aeacb
"Wahlbezirk 12, Suhl (98527)",193.900 € 2.770 €/m²,3 Zimmer,70 m²,Unknown,https://www.immowelt.de/expose/0deb41b1-9433-4f74-8ca9-9942b7caebe3
"Wahlbezirk 33, Suhl (98529)",162.000 € 1.317 €/m²,6 Zimmer,123 m²,898 m² Grundstück,https://www.immowelt.de/expose/1d8deef6-e1ed-488e-8566-a9c97abb20bf
"Wahlbezirk 14, Suhl (98527)",314.799 € 1.874 €/m²,4 Zimmer,168 m²,Unknown,https://www.immowelt.de/expose/83366385-ef46-4491-81b2-affb83428d99
"Wahlbezirk 62, Suhl (98527)",337.082 € 2.479 €/m²,5 Zimmer,136 m²,850 m² Grundstück,https://www.immowelt.de/expose/89b29ad9-1fd1-4bee-b056-b7100a4f5e3f
"Wahlbezirk 14, Suhl (98527)",435.000 € 2.359 €/m²,4 Zimmer,"184,4 m²",4. Geschoss,https://www.immowelt.de/expose/5de9fa28-5639-4f88-893b-d4637f810251
"Wahlbezirk 51, Suhl (98527)",174.000 € 1.184 €/m²,147 m²,865 m² Grundstück,Unknown,https://www.immowelt.de/expose/713ba0d8-6d2c-4b29-af95-a6b1531f7016
"Wahlbezirk 51, Suhl (98527)",174.000 € 1.184 €/m²,147 m²,Unknown,Unknown,https://www.immowelt.de/expose/57118f76-0741-466e-9476-3455c2f73a5a
"Wahlbezirk 51, Suhl (98527)",174.000 € 1.184 €/m²,6 Zimmer,147 m²,865 m² Grundstück,https://www.immowelt.de/expose/17aa6081-9a44-4133-8393-d5e56f9b89de
"Wahlbezirk 82, Suhl (98528)",409.900 € 2.697 €/m²,5 Zimmer,152 m²,2.272 m² Grundstück,https://www.immowelt.de/expose/a11ed543-9178-48d3-9ce1-718c3fa32cda
"Wahlbezirk 14, Suhl (98527)",350.000 € 722 €/m²,"484,9 m²",Unknown,Unknown,https://www.immowelt.de/expose/7ab73ffb-487a-4875-9cbb-ece6060145f6
"Wahlbezirk 14, Suhl (98527)",350.000 € 722 €/m²,"484,9 m²",Unknown,Unknown,https://www.immowelt.de/expose/e3ffec26-9b95-490d-8321-e8209870a8a6
