Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Wilhelmstraße 58, Hagen, Braunschweig (38100)",629.200 € 5.196 €/m²,4 Zimmer,"121,1 m²",2. Geschoss,https://www.immowelt.de/expose/69380a55-e547-48c4-9dd9-b86e230d266c
"Spinnerstraße 35, Petritor - Nord, Braunschweig (38114)",69.000 € 2.786 €/m²,1 Zimmer,"24,8 m²",Unknown,https://www.immowelt.de/expose/12a5960a-185b-48fc-9a06-48989f2a3f13
"Südstadt, Braunschweig (38126)",491.699 € 3.725 €/m²,4 Zimmer,132 m²,600 m² Grundstück,https://www.immowelt.de/expose/53597664-138d-452d-a30d-16b702fde449
"Bevenrode, Braunschweig (38110)",649.000 € 3.886 €/m²,6 Zimmer,167 m²,1.158 m² Grundstück,https://www.immowelt.de/expose/e8d2fbd1-9086-4429-a99d-60872d029a50
"Viewegs Garten, Braunschweig (38102)",800.000 € 1.600 €/m²,500 m²,Unknown,Unknown,https://www.immowelt.de/expose/cb380e1f-57ba-4159-bfa6-cdfd4fa58190
"Hauptfriedhof und Mastbruch, Braunschweig (38126)",750.000 € 1.453 €/m²,16 Zimmer,516 m²,1.753 m² Grundstück,https://www.immowelt.de/expose/aa42fe3d-f9df-4f36-94f3-76d16b18d143
"Am Hagenring, Braunschweig (38106)",1.100.000 € 1.797 €/m²,20 Zimmer,612 m²,448 m² Grundstück,https://www.immowelt.de/expose/e657fd70-bafd-4b3e-9609-2f2b2a57e320
"Petritor - Ost, Braunschweig (38118)",1.200.000 € 2.526 €/m²,19 Zimmer,475 m²,533 m² Grundstück,https://www.immowelt.de/expose/ee920199-7b5c-4f7b-b2ad-1b403ff47fd3
"Ölper, Braunschweig (38114)",280.000 € 3.590 €/m²,3 Zimmer,78 m²,1. Geschoss,https://www.immowelt.de/expose/d11c55d4-6022-4e46-800d-6caaa44c4654
"Mascherode, Braunschweig (38126)",285.000 € 3.150 €/m²,3 Zimmer,"90,5 m²",1. Geschoss,https://www.immowelt.de/expose/4c9c92cf-09de-4392-88f3-feb7c4c89967
"Spinnerstraße 35, Petritor - Nord, Braunschweig (38114)",70.000 € 3.790 €/m²,1 Zimmer,"18,5 m²",Unknown,https://www.immowelt.de/expose/d78bd296-4cfc-45df-91cd-1f41a97fef33
"Neues Hochschulviertel, Braunschweig (38106)",79.000 € 1.975 €/m²,1 Zimmer,40 m²,5. Geschoss,https://www.immowelt.de/expose/fa2a9c0d-8309-4d0c-87ff-0f56697299cc
"Neustadt, Braunschweig (38114)",270.000 € 3.326 €/m²,3 Zimmer,"81,2 m²",2. Geschoss,https://www.immowelt.de/expose/a867823b-91f1-4c16-921f-a41cfc8452d2
"Bienrode, Braunschweig (38110)",170.000 € 2.297 €/m²,3 Zimmer,74 m²,EG,https://www.immowelt.de/expose/fe3c40f5-628c-4bf2-98e6-c97ab5c17273
"Nordbahnhof, Braunschweig (38114)",167.500 € 4.991 €/m²,1 Zimmer,"33,6 m²",EG,https://www.immowelt.de/expose/28509669-cbcb-44df-b540-94e90ca54dc4
"Wenden, Braunschweig (38112)",450.322 € 4.131 €/m²,4 Zimmer,109 m²,476 m² Grundstück,https://www.immowelt.de/expose/8b5d6384-129a-4bfe-8b3b-6f7de1a61e26
"Siegfriedviertel, Braunschweig (38106)",665.229 € 140 €/m²,4 Zimmer,140 m²,523 m² Grundstück,https://www.immowelt.de/expose/f2ac31b3-2ec2-472b-b8e0-1c2961ea9e41
"Schwarzer Berg, Braunschweig (38112)",493.493 € 4.527 €/m²,4 Zimmer,109 m²,324 m² Grundstück,https://www.immowelt.de/expose/08d8fa81-d0f0-4cde-a8e7-b2490d529e13
"Stadtkern, Braunschweig (38100)",670.000 € 2.978 €/m²,7 Zimmer,225 m²,2. Geschoss,https://www.immowelt.de/expose/18d95eca-ca27-46b7-97ae-e06db31fdb0b
"Neustadt, Braunschweig (38100)",655.000 € 4.679 €/m²,4 Zimmer,140 m²,Unknown,https://www.immowelt.de/expose/50ccd11c-74c2-4648-a366-70e011498d1b
"Hondelage, Braunschweig (38108)",157.000 € 1.938 €/m²,3 Zimmer,81 m²,1. Geschoss,https://www.immowelt.de/expose/736186cf-de1a-4220-aa2f-a26899c317e1
"Jasperallee 34, Am Hagenring, Braunschweig (38102)",480.000 € 4.068 €/m²,5 Zimmer,118 m²,3. Geschoss,https://www.immowelt.de/expose/c041b63f-6e7a-4d0d-a9ec-804b7d27c0af
"Waller Weg 4, Veltenhof, Braunschweig (38112)",322.000 € 3.768 €/m²,3 Zimmer,"85,5 m²",EG,https://www.immowelt.de/expose/b306fac6-c4fa-4c4f-adcb-a0a560df818c
"Am Hagenring, Braunschweig (38102)",750.000 € 7.353 €/m²,"4,5 Zimmer",102 m²,3. Geschoss,https://www.immowelt.de/expose/a120ad91-4a4d-4896-bb54-1862987a42c0
"Stöckheim, Braunschweig (38124)",649.000 € 4.327 €/m²,5 Zimmer,150 m²,167 m² Grundstück,https://www.immowelt.de/expose/2ddd072b-9da6-483a-a996-3ac98ca6b75f
"Rothenburg, Braunschweig (38120)",185.000 € 2.434 €/m²,3 Zimmer,76 m²,2. Geschoss,https://www.immowelt.de/expose/e7298179-6940-41b6-b86c-5e29b00b73b2
"Volkmarode, Braunschweig (38104)",497.000 € 2.133 €/m²,6 Zimmer,233 m²,890 m² Grundstück,https://www.immowelt.de/expose/305d014a-2162-40bb-ab63-9c47a7ae05fc
"Tetzelsteinweg 11, Hauptfriedhof und Mastbruch, Braunschweig (38126)",450.000 € 3.333 €/m²,5 Zimmer,135 m²,634 m² Grundstück,https://www.immowelt.de/expose/5a71117e-51f7-469d-a508-f7d55a082528
"Mascherode, Braunschweig (38126)",675.000 € 5.192 €/m²,5 Zimmer,130 m²,1. Geschoss,https://www.immowelt.de/expose/629806b5-bb12-4dc0-982f-d394956c2c72
"Dibbesdorf, Braunschweig (38108)",385.000 € 2.655 €/m²,6 Zimmer,145 m²,537 m² Grundstück,https://www.immowelt.de/expose/41ecaf0c-8114-46c4-99a1-c9d82e2cda75
"Viewegs Garten, Braunschweig (38102)",815.000 € 5.452 €/m²,5 Zimmer,"149,5 m²",1. Geschoss,https://www.immowelt.de/expose/057942c8-8b11-492d-8209-15e0be2f5e7a
