Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Winzeln, Pirmasens (66954)",559.900 € 3.855 €/m²,6 Zimmer,"145,2 m²",1.320 m² Grundstück,https://www.immowelt.de/expose/a5750e5c-d657-4d60-b384-c4b9049ada59
"Winzeln, Pirmasens (66954)",683.900 € 4.230 €/m²,6 Zimmer,"161,7 m²",1.320 m² Grundstück,https://www.immowelt.de/expose/803dc8b6-8d98-46df-9bdc-f0275915acd2
"Winzeln, Pirmasens (66954)",603.900 € 3.212 €/m²,6 Zimmer,188 m²,1.320 m² Grundstück,https://www.immowelt.de/expose/8d79a72c-016c-44b9-8ca8-ef0a1a0e7259
"Winzeln, Pirmasens (66954)",642.900 € 3.464 €/m²,6 Zimmer,"185,6 m²",1.320 m² Grundstück,https://www.immowelt.de/expose/89ddb50e-ef80-4138-a1f9-de82a5fd9653
"Erlenbrunn, Erlenbrunn (66955)",483.000 € 3.354 €/m²,6 Zimmer,144 m²,441 m² Grundstück,https://www.immowelt.de/expose/fec23eb8-c988-4b87-9e8c-71a4b083013c
"Lehmweg 2, Hengsberg, Pirmasens (66954)",255.000 € 1.759 €/m²,6 Zimmer,145 m²,770 m² Grundstück,https://www.immowelt.de/expose/e8da63c6-b3b6-4101-9f4b-4b2ee174da01
"Turnstrasse 29, Nördl. Stadtgeb. - Hauptbhf-Bunker Hil, Pirmasens (66955)",190.000 € 1.496 €/m²,4 Zimmer,127 m²,2. Geschoss,https://www.immowelt.de/expose/fc875e92-a78d-419b-bb04-f3022be9d8fa
"Südl. Stadtgeb. - Innweg-Rehpfad-Simter, Pirmasens (66955)",149.000 € 1.560 €/m²,3 Zimmer,"95,5 m²",1. Geschoss,https://www.immowelt.de/expose/c4d82ba2-5b0b-4a39-a20a-182a7210d7cd
"Südl. Stadtgeb. - Innweg-Rehpfad-Simter, Pirmasens (66955)",329.000 € 1.722 €/m²,6 Zimmer,191 m²,861 m² Grundstück,https://www.immowelt.de/expose/67405ad6-4e66-4f48-94ab-59817848be5c
"Klosterstraße 30, Horeb, Pirmasens (66953)",299.000 € 955 €/m²,9 Zimmer,313 m²,Unknown,https://www.immowelt.de/expose/5d4d78b7-41df-4d0b-94f3-9a87e9f0ba58
"Erlenbrunn, Pirmasens (66955)",190.000 € 785 €/m²,4 Zimmer,242 m²,440 m² Grundstück,https://www.immowelt.de/expose/2d3fbc8d-9ffa-4770-b74a-dbd32fb0738f
"Erlenbrunn, Pirmasens (66955)",254.690 € 2.122 €/m²,5 Zimmer,120 m²,Unknown,https://www.immowelt.de/expose/afcd0006-f716-4199-b697-44b033b06df4
"Winzeln, Pirmasens (66964)",468.900 € 1.874 €/m²,8 Zimmer,"250,2 m²",1.320 m² Grundstück,https://www.immowelt.de/expose/2f7b63c9-e2c4-4bc5-b772-99a4d24094ef
"Winzeln, Pirmasens (666954)",866.300 € 2.878 €/m²,11 Zimmer,301 m²,1.320 m² Grundstück,https://www.immowelt.de/expose/6a90975c-ccd0-4772-a41b-a1ae78f2f5e6
"Windsberger Strasse 113, Gersbach, Pirmasens (66954)",70.000 € 959 €/m²,2 Zimmer,73 m²,Unknown,https://www.immowelt.de/expose/39ef695c-1676-4fc7-9742-207ade51603d
"Innenstadt - City, Pirmasens (66954)",393.900 € 3.647 €/m²,3 Zimmer,108 m²,721 m² Grundstück,https://www.immowelt.de/expose/bf162393-bf49-4c0f-8525-f7ec61f4f870
"Erlenbrunn, Erlenbrunn (66955)",326.710 € 2.635 €/m²,5 Zimmer,124 m²,441 m² Grundstück,https://www.immowelt.de/expose/6dc58417-ea83-448b-b01c-8f82a122302e
"Erlenbrunn, Pirmasens (66955)",460.000 € 1.533 €/m²,8 Zimmer,300 m²,900 m² Grundstück,https://www.immowelt.de/expose/de1edb06-07d6-4ee1-8c1b-2ff7f47ac764
"Nordöstl. Stadtgeb.-Schwann-Krumme St., Pirmasens (66953)",179.000 € 918 €/m²,11 Zimmer,195 m²,448 m² Grundstück,https://www.immowelt.de/expose/e0727c88-e60f-4296-aa05-74063efe169b
"In der Litzelbach 1, Niedersimten, Pirmasens (66955)",95.000 € 546 €/m²,6 Zimmer,174 m²,308 m² Grundstück,https://www.immowelt.de/expose/f33e182a-7620-4b66-ab12-cb9e12a74218
"In den Birken 13, Nordöstliches Stadtgebiet - Sommerwald, Pirmasens (66953)",125.000 € 919 €/m²,6 Zimmer,136 m²,503 m² Grundstück,https://www.immowelt.de/expose/44b523d1-011d-4b8e-95cb-332006ad2422
"Westl. Stadtgeb. -Schachen-Am Mühlberg, Pirmasens (66953)",Preis auf Anfrage,4 Zimmer,"184,9 m²",660 m² Grundstück,https://www.immowelt.de/expose/99828d42-6608-4c00-8f98-a12d65f041f7
"Westl. Stadtgeb. - Imserbühl-Gottelsberg, Pirmasens (66953)",135.000 € 985 €/m²,6 Zimmer,137 m²,200 m² Grundstück,https://www.immowelt.de/expose/0b85f29c-8dde-4c9b-b960-5efc6c7c5152
"Erlenstr. 12, Erlenbrunn, Pirmasens (66955)",215.000 € 346 €/m²,6 Zimmer,622 m²,1.394 m² Grundstück,https://www.immowelt.de/expose/70b27fc6-8f56-4fa3-953a-9a201b925ce9
"Hochwaldstr. 55, Windsberg, Pirmasens (66954)",115.000 € 1.000 €/m²,4 Zimmer,115 m²,341 m² Grundstück,https://www.immowelt.de/expose/0731ec53-7cd4-4c7b-a0ee-2e8a3c010fda
"Kettrichhofstr. 11, Erlenbrunn, Pirmasens (66955)",157.000 €,6 Zimmer,180 m²,596 m² Grundstück,https://www.immowelt.de/expose/8a4be273-ef02-4b12-93aa-14bbf9e1891c
"Westl. Stadtgeb. - Imserbühl-Gottelsberg, Pirmasens (66954)",63.000 € 630 €/m²,3 Zimmer,100 m²,Unknown,https://www.immowelt.de/expose/3858839b-e31d-4455-b21d-c3756b083e41
"Gersbach, Pirmasens (66954)",449.000 € 2.916 €/m²,6 Zimmer,154 m²,385 m² Grundstück,https://www.immowelt.de/expose/2d1d1ade-88c3-492b-b56a-bf8098e86a62
"Erlenbrunn, Pirmasens (66955)",322.000 € 2.683 €/m²,4 Zimmer,120 m²,340 m² Grundstück,https://www.immowelt.de/expose/3377df10-8222-46e8-80ab-5f06a7afca7f
"Johann Sebastian Bach Str.14, Südliches Stadtgebiet - Kirchberg - Süd, Pirmasens (66954)",135.000 € 1.350 €/m²,4 Zimmer,100 m²,140 m² Grundstück,https://www.immowelt.de/expose/3fc749cc-03eb-48f6-aa3a-8835f93b9c7b
"Windsberg, Windsberg (66954)",279.000 € 1.516 €/m²,5 Zimmer,184 m²,1.300 m² Grundstück,https://www.immowelt.de/expose/fb98dd8b-1f11-4155-ba3f-b13b29e5fe56
"Westl. Stadtgeb. - Weißhof-Erlenteich, Pirmasens (66955)",189.000 € 913 €/m²,11 Zimmer,207 m²,250 m² Grundstück,https://www.immowelt.de/expose/73588382-0c3f-43de-8be9-8a5ce8711066
"Westl. Stadtgeb. - Imserbühl-Gottelsberg, Pirmasens (66954)",63.000 € 630 €/m²,1 Zimmer,100 m²,Unknown,https://www.immowelt.de/expose/ffc0bffe-617a-44bb-80a0-0168a5fa8382
"Westl. Stadtgeb. -Schachen-Am Mühlberg, Pirmasens (66953)",159.000 € 482 €/m²,15 Zimmer,330 m²,585 m² Grundstück,https://www.immowelt.de/expose/d3a88391-7068-4f7c-bfe3-0fafaea63c7d
