Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Wohldorf - Ohlstedt, Hamburg (22397)",989.900 € 7.536 €/m²,4 Zimmer,"131,4 m²",Unknown,https://www.immowelt.de/projekte/expose/k27n532
"Nienstedten, Hamburg (22609)",1.820.000 € 12.133 €/m²,150 m²,512 m² Grundstück,Unknown,https://www.immowelt.de/expose/2b4f3aec-4f5d-45a7-8eb3-2c77f66129a6
"Harvestehude, Hamburg (20149)",2.670.000 € 14.278 €/m²,4 Zimmer,187 m²,5. Geschoss,https://www.immowelt.de/expose/8a7d1885-9245-4f2b-8e76-315e5fe1712b
"Blankenese, Hamburg (22587)",1.995.000 € 10.127 €/m²,5 Zimmer,197 m²,255 m² Grundstück,https://www.immowelt.de/expose/1e9b8d61-138a-46d9-a342-b123b69202b3
"Metzendorfer Weg 9, Eißendorf, Hamburg (21077)",597.500 € 4.653 €/m²,4 Zimmer,"128,4 m²",EG,https://www.immowelt.de/expose/20cca25e-6bf4-4a79-b18a-ae68d906140a
"Wohldorf - Ohlstedt, Hamburg (22397)",1.239.900 € 9.358 €/m²,3 Zimmer,"132,5 m²",Unknown,https://www.immowelt.de/projekte/expose/k27n532
"Wohldorf - Ohlstedt, Hamburg (22397)",1.199.900 € 9.283 €/m²,4 Zimmer,"129,3 m²",Unknown,https://www.immowelt.de/projekte/expose/k27n532
"Lohbrügge, Hamburg (21033)",869.000 € 4.827 €/m²,1.088 m² Grundstück,Unknown,Unknown,https://www.immowelt.de/expose/d8c748aa-90c1-4197-b02f-cfe636d38d15
"HafenCity, Hamburg (20457)",669.000 € 12.990 €/m²,2 Zimmer,"51,5 m²",5. Geschoss,https://www.immowelt.de/expose/0b82ac40-2155-4996-8727-3af99561332d
"HafenCity, Hamburg (20457)",615.000 € 11.919 €/m²,2 Zimmer,"51,6 m²",2. Geschoss,https://www.immowelt.de/projekte/expose/k229732
"HafenCity, Hamburg (20457)",955.000 € 11.689 €/m²,2 Zimmer,"81,7 m²",3. Geschoss,https://www.immowelt.de/projekte/expose/k229732
"HafenCity, Hamburg (20457)",889.000 € 10.373 €/m²,2 Zimmer,"85,7 m²",EG,https://www.immowelt.de/expose/088d02ab-08b2-429b-b90c-1bb71dae51d7
"HafenCity, Hamburg (20457)",615.000 € 11.919 €/m²,2 Zimmer,"51,6 m²",3. Geschoss,https://www.immowelt.de/expose/813b641d-6096-4804-b05b-4fd0b4a64a8e
"Groß Flottbek, Hamburg (22607)",1.169.000 € 9.535 €/m²,4 Zimmer,"122,6 m²",3. Geschoss,https://www.immowelt.de/expose/ad9e0ff4-5a30-4997-b6c7-e112049efe6f
"Brückwiesenstraße 5, Groß Borstel, Hamburg (22453)",1.220.000 € 9.688 €/m²,3 Zimmer,"125,9 m²",2. Geschoss,https://www.immowelt.de/projekte/expose/k298532
"Bramfeld, Hamburg (22177)",441.000 € 7.230 €/m²,2 Zimmer,61 m²,3. Geschoss,https://www.immowelt.de/projekte/expose/k28w732
"Bramfeld, Hamburg (22177)",480.000 € 7.164 €/m²,2 Zimmer,67 m²,2. Geschoss,https://www.immowelt.de/projekte/expose/k28w732
"Rissen, Hamburg (22559)",850.000 € 5.743 €/m²,7 Zimmer,148 m²,997 m² Grundstück,https://www.immowelt.de/expose/0b2bba12-7b4f-4db4-ab82-b9cb630ef1e1
"Buchenallee 5, Lokstedt, Hamburg (22529)",1.074.000 € 10.816 €/m²,4 Zimmer,"99,3 m²",1. Geschoss,https://www.immowelt.de/projekte/expose/k2c3932
"Poppenbüttel, Hamburg (22399)",945.000 € 13.310 €/m²,2 Zimmer,71 m²,3.173 m² Grundstück,https://www.immowelt.de/expose/c0a7d4cd-2e5c-4ce4-be15-2cf8265957b6
"Harvestehude, Hamburg (20149)",3.995.000 € 15.980 €/m²,6 Zimmer,250 m²,Unknown,https://www.immowelt.de/expose/3f93f0ca-dc69-41ef-8c77-ac905a898ca0
"Müllenhoffweg 64 - 1.OG - WE4, Groß Flottbek, Hamburg (22607)",1.985.000 € 11.995 €/m²,5 Zimmer,"165,5 m²",Unknown,https://www.immowelt.de/projekte/expose/k26z832
"Wandsbek, Wandsbek, Hamburg (22041)",569.900 € 5.180 €/m²,5 Zimmer,110 m²,75 m² Grundstück,https://www.immowelt.de/projekte/expose/k2tz832
"Eilbek, Hamburg (22089)",93.000 € 3.444 €/m²,1 Zimmer,27 m²,Unknown,https://www.immowelt.de/expose/c4a0f361-8b17-425b-8173-34dba8f9b44e
"Eppendorf, Hamburg (20251)",1.875.000 € 5.208 €/m²,14 Zimmer,360 m²,727 m² Grundstück,https://www.immowelt.de/expose/7e4615e4-6606-4489-b8d9-e0dfeadb24d2
"Uhlenhorst, Hamburg (22085)",1.695.000 € 12.649 €/m²,4 Zimmer,134 m²,Unknown,https://www.immowelt.de/expose/3a809b55-0814-4ada-b43b-8ee026fccb9a
"Uhlenhorst, Hamburg (22085)",435.000 € 7.632 €/m²,1 Zimmer,57 m²,5. Geschoss,https://www.immowelt.de/expose/75e79d1f-3ea9-4cd4-b9ee-fc6252fd20f7
"Blankenese, Hamburg (22587)",750.000 € 8.152 €/m²,3 Zimmer,92 m²,EG,https://www.immowelt.de/expose/9f509b52-e007-486e-bf6c-5f61759fa4c9
"Winterhude, Hamburg (22299)",995.000 € 12.438 €/m²,2 Zimmer,80 m²,2. Geschoss,https://www.immowelt.de/projekte/expose/k2fy732
"Eimsbüttel, Hamburg (20259)",849.000 € 5.815 €/m²,"4,5 Zimmer",146 m²,EG,https://www.immowelt.de/expose/e6c319e8-6f5d-48c1-853f-ae01402aceac
"Rehmstraße 13 b-f, Winterhude, Hamburg (22299)",1.350.000 € 11.744 €/m²,"3,5 Zimmer",115 m²,865 m² Grundstück,https://www.immowelt.de/projekte/expose/k2gh832
"Sasel, Hamburg (22393)",785.000 € 6.085 €/m²,4 Zimmer,129 m²,600 m² Grundstück,https://www.immowelt.de/expose/bc7a836f-3b8c-4056-a40f-00f008d5b9ba
"Rotherbaum, Hamburg (20148)",1.845.500 € 12.222 €/m²,"5,5 Zimmer",151 m²,1. Geschoss,https://www.immowelt.de/expose/202f58b8-31ed-40b3-8a25-40b2c1eb60e6
"Stellingen, Hamburg (22527)",420.000 € 7.241 €/m²,2 Zimmer,58 m²,2. Geschoss,https://www.immowelt.de/expose/90ad2077-1d5c-4864-b520-bd1bf51a153c
"Eidelstedt, Hamburg (22523)",225.000 € 4.728 €/m²,2 Zimmer,"47,6 m²",2. Geschoss,https://www.immowelt.de/expose/c79ca292-cf09-4a68-84ab-5161a4d98f06
"Nienstedten, Hamburg (22609)",930.000 € 5.962 €/m²,5 Zimmer,156 m²,1. Geschoss,https://www.immowelt.de/expose/f65cf144-289f-4066-824f-074f6078e9d9
