Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Innenstadt, Coburg (96450)",665.000 € 2.015 €/m²,18 Zimmer,330 m²,724 m² Grundstück,https://www.immowelt.de/expose/accb476f-a45b-448c-8f4a-3e5304dca462
"Wüstenahorn, Coburg (96450)",389.000 € 2.431 €/m²,6 Zimmer,160 m²,866 m² Grundstück,https://www.immowelt.de/expose/1c9c1762-ca10-4ed7-b5c8-633f638317bf
"Ketschendorf, Coburg (96450)",270.000 € 1.639 €/m²,5 Zimmer,"164,8 m²",500 m² Grundstück,https://www.immowelt.de/expose/4e7181b6-72f6-4c7b-aded-c5946243c50d
"Franz- Klingler- Str. 4, Innenstadt, Coburg (96450)",398.000 € 1.941 €/m²,6 Zimmer,205 m²,771 m² Grundstück,https://www.immowelt.de/expose/a14e744b-99ce-4e78-aba4-a2867208d831
"Cortendorf, Coburg (96450)",490.000 € 2.300 €/m²,6 Zimmer,213 m²,715 m² Grundstück,https://www.immowelt.de/expose/591f3c28-9b71-4dbd-8425-f3cba59f13af
"Innenstadt, Coburg (96450)",890.000 € 3.080 €/m²,9 Zimmer,289 m²,1.452 m² Grundstück,https://www.immowelt.de/expose/d75ff56f-ff51-40b7-908a-a4795eb2490d
"Beiersdorf, Coburg / Beiersdorf (96450)",625.500 € 2.909 €/m²,6 Zimmer,215 m²,1.085 m² Grundstück,https://www.immowelt.de/expose/d7d77e1e-54bf-42dd-b540-a93216d0005c
"Ketschendorf, Coburg (96450)",329.000 € 1.676 €/m²,6 Zimmer,"196,3 m²",510 m² Grundstück,https://www.immowelt.de/expose/f308196c-db2f-4073-8083-66530dc02390
"Innenstadt, Coburg (96450)",597.700 €,26 Zimmer,320 m²,Unknown,https://www.immowelt.de/expose/e6d81119-0231-4175-b94d-21c6802a01cf
"Innenstadt, Coburg (96450)",115.900 € 1.934 €/m²,3 Zimmer,"59,9 m²",1. Geschoss,https://www.immowelt.de/expose/b74d469c-54c0-409f-9baf-004176e8463c
"Innenstadt, Coburg (96450)",66.500 € 2.078 €/m²,1 Zimmer,32 m²,1. Geschoss,https://www.immowelt.de/expose/e667c01d-cb12-47e5-9672-194dbebf2cb8
"Bertelsdorf - Glend, Coburg (96450)",303.999 € 1.555 €/m²,6 Zimmer,"195,5 m²",830 m² Grundstück,https://www.immowelt.de/expose/e4138080-75a1-43d7-90ca-84abf49bba71
"Innenstadt, Creidlitz (96450)",483.191 € 2.946 €/m²,6 Zimmer,164 m²,519 m² Grundstück,https://www.immowelt.de/expose/017f49ba-211e-4699-9d62-eef6aa39d3a3
"Innenstadt, Coburg (96450)",336.500 € 2.826 €/m²,4 Zimmer,"119,1 m²",351 m² Grundstück,https://www.immowelt.de/expose/cd73fd2c-462b-4d1c-b95c-62a046914496
"Innenstadt, Coburg (96450)",625.000 € 6.649 €/m²,3 Zimmer,94 m²,3. Geschoss,https://www.immowelt.de/expose/2b87618c-cb33-4ace-a744-3dbbc95623b8
"Neuses, Coburg / Neuses (96450)",379.000 € 1.788 €/m²,9 Zimmer,212 m²,1.078 m² Grundstück,https://www.immowelt.de/expose/424512d3-b311-4eeb-8026-12c9a7c709f2
"Innenstadt, Coburg (96450)",445.000 € 3.225 €/m²,5 Zimmer,138 m²,345 m² Grundstück,https://www.immowelt.de/expose/16f32d89-74b8-4cba-abcd-1bad0ee77457
"Creidlitz, Coburg (96450)",550.000 € 2.000 €/m²,4 Zimmer,275 m²,2. Geschoss,https://www.immowelt.de/expose/5bd967a4-1098-436b-8f70-4fd04255874d
"Neuses, Coburg / Neuses (96450)",369.000 € 2.005 €/m²,7 Zimmer,184 m²,390 m² Grundstück,https://www.immowelt.de/expose/f9dedb66-1aa3-4641-92cf-3908910bd213
"Beiersdorf, Coburg / Beiersdorf (96450)",319.000 € 1.907 €/m²,7 Zimmer,"167,3 m²",909 m² Grundstück,https://www.immowelt.de/expose/6135a595-dac5-4bc1-8bf9-5c01b29b65eb
"Innenstadt, Coburg (96450)",355.990 € 4.783 €/m²,2 Zimmer,"74,4 m²",1. Geschoss,https://www.immowelt.de/expose/1c6440ce-fb17-412a-96d0-f66135ebd195
"Allee 7, Innenstadt, Coburg (96450)",Preis auf Anfrage,frei ab sofort,Unknown,Unknown,https://www.immowelt.de/expose/e27f8263-bc00-4b5c-baaf-cc8ca24d5bf5
"Innenstadt, Coburg (96450)",249.990 € 2.232 €/m²,3 Zimmer,112 m²,2. Geschoss,https://www.immowelt.de/expose/6fcba227-4048-47b9-8e7a-75fb6450042b
"Innenstadt, Coburg (96450)",313.000 € 4.885 €/m²,2 Zimmer,"64,1 m²",Unknown,https://www.immowelt.de/expose/923c0395-43a2-44b2-87ef-9bdf471de082
"Innenstadt, Coburg (96450)",520.000 € 2.488 €/m²,7 Zimmer,209 m²,347 m² Grundstück,https://www.immowelt.de/expose/ed74f640-7d1a-4be7-ad90-c8c596e51952
"Innenstadt, Coburg (96450)",696.000 € 2.784 €/m²,10 Zimmer,250 m²,625 m² Grundstück,https://www.immowelt.de/expose/670c920d-8454-4b32-b090-6863eb0982b6
"Innenstadt, Coburg (96450)",205.000 € 2.050 €/m²,4 Zimmer,100 m²,1. Geschoss,https://www.immowelt.de/expose/1d77cc80-f23f-49c5-b394-740633546618
