Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Nordend - West, Frankfurt am Main (60318)",520.000 € 7.400 €/m²,3 Zimmer,"70,3 m²",3. Geschoss,https://www.immowelt.de/expose/061a01f2-f4de-4b48-b3d0-c89958774e0d
"Nieder-Eschbach, Frankfurt am Main (60437)",585.000 € 4.958 €/m²,4 Zimmer,118 m²,229 m² Grundstück,https://www.immowelt.de/expose/86680db0-cda2-4b57-ad78-3859ea281de1
"Schwanheim, Frankfurt am Main (60529)",890.000 € 3.355 €/m²,12 Zimmer,"265,3 m²",720 m² Grundstück,https://www.immowelt.de/expose/b0223445-200a-405d-a611-4a99e11e4e99
"Sachsenhausen - Nord, Frankfurt am Main (60594)",529.000 € 7.053 €/m²,3 Zimmer,75 m²,3. Geschoss,https://www.immowelt.de/expose/20622bc9-c23d-4662-a843-fa3514ba8a94
"Ostend, Frankfurt am Main (60314)",1.350.000 € 9.434 €/m²,4 Zimmer,"143,1 m²",Unknown,https://www.immowelt.de/projekte/expose/k2bz632
"Höchst, Frankfurt am Main (65929)",1.300.000 € 2.797 €/m²,"464,8 m²",218 m² Grundstück,Unknown,https://www.immowelt.de/expose/2b4bb453-ba5a-40a8-916c-1f30117d1600
"Sachsenhausen - Süd, Frankfurt am Main (60599)",1.094.000 € 5.620 €/m²,5 Zimmer,"194,7 m²",2. Geschoss,https://www.immowelt.de/expose/b9f7d78a-f408-4393-9089-815a974a3e68
"Praunheim, Frankfurt (60488)",639.000 € 4.532 €/m²,4 Zimmer,141 m²,182 m² Grundstück,https://www.immowelt.de/expose/c7c57c2c-8264-47ff-9233-2d413d9f2a91
"Nordend - West, Frankfurt am Main (60322)",3.350.000 € 9.571 €/m²,9 Zimmer,350 m²,600 m² Grundstück,https://www.immowelt.de/expose/621ade94-7560-4632-9b3f-a477af82e59d
"Westend - Süd, Frankfurt am Main (60323)",569.000 € 7.859 €/m²,2 Zimmer,"72,4 m²",1. Geschoss,https://www.immowelt.de/expose/e7880bc3-0f21-48a3-87c4-b61905e63d13
"Griesheim, Frankfurt am Main (65933)",129.000 € 4.161 €/m²,1 Zimmer,31 m²,1. Geschoss,https://www.immowelt.de/expose/141b014d-7f17-46f8-90f4-a8fb8ca3f039
"Gallus, Frankfurt (60326)",454.900 € 7.399 €/m²,2 Zimmer,"61,5 m²",EG,https://www.immowelt.de/projekte/expose/k28f432
"Preungesheim, Frankfurt am Main (60435)",649.900 € 5.384 €/m²,4 Zimmer,"120,7 m²",Unknown,https://www.immowelt.de/expose/fc45e9d8-6a54-4eaa-8952-071c65e40225
"Bockenheim, Frankfurt am Main (60486)",1.150.000 € 6.686 €/m²,4 Zimmer,172 m²,5. Geschoss,https://www.immowelt.de/expose/1172e508-ae9e-40b5-aeed-b60a2bcbb512
"Nieder-Erlenbach, Frankfurt am Main (60437)",898.000 € 4.490 €/m²,5 Zimmer,200 m²,EG,https://www.immowelt.de/expose/ace8fc1e-7d85-4e16-aa09-2009457a0a23
"Sachsenhausen - Süd, Frankfurt (60598)",590.000 € 4.214 €/m²,5 Zimmer,140 m²,3. Geschoss,https://www.immowelt.de/expose/ad26f81e-6731-420a-8fc1-4da832c7d7ee
"Gallus, Frankfurt am Main (60327)",1.650.000 € 11.332 €/m²,4 Zimmer,"145,6 m²",12. Geschoss,https://www.immowelt.de/expose/69c25a96-b770-4622-afa1-895004e23514
