Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Dwoberg - Ströhen, Delmenhorst (27753)",759.000 € 2.746 €/m²,6 Zimmer,"276,4 m²",1.150 m² Grundstück,https://www.immowelt.de/expose/a6a37d1d-562d-4a55-aa33-463d34ffcf53
"Stickgras I - Heidkämpe, Delmenhorst (27749)",245.000 € 1.870 €/m²,4 Zimmer,131 m²,718 m² Grundstück,https://www.immowelt.de/expose/fa331925-0b96-4873-99e8-b913c849b1c5
"Stickgras I - Heidkämpe, Delmenhorst (Stickgras/Annenriede) (27751)",310.400 € 3.251 €/m²,3 Zimmer,"95,5 m²",Unknown,https://www.immowelt.de/expose/4de5aec7-ed07-415b-a0a2-c1db56a12140
"Düsternort - Bezirk 8, Delmenhorst (27749)",349.000 € 2.837 €/m²,5 Zimmer,123 m²,539 m² Grundstück,https://www.immowelt.de/expose/b3e8a957-b9b0-4bdb-bb75-4e7fdccbb0b7
"Bungerhof Bezirk 8, Delmenhorst (27753)",175.000 € 1.923 €/m²,4 Zimmer,91 m²,frei ab sofort,https://www.immowelt.de/expose/e15c1a9c-53d6-4002-834c-c36ea9b8bc7b
"Brendel - Adelheide - Bezirk 1, Delmenhorst (27755)",249.000 € 2.223 €/m²,5 Zimmer,112 m²,155 m² Grundstück,https://www.immowelt.de/expose/4990764d-8ff5-486b-b492-d2ee18137535
"Iprump - Stickgras II - Bezirk 2, Delmenhorst (27749)",274.000 € 2.491 €/m²,5 Zimmer,110 m²,470 m² Grundstück,https://www.immowelt.de/expose/c5240176-8d3b-4090-bda1-183568a8fd90
"Brendel - Adelheide - Bezirk 1, Delmenhorst (27755)",275.000 € 2.200 €/m²,700 Zimmer,125 m²,EG,https://www.immowelt.de/expose/8798e219-51a7-458a-ae19-83bce41b56da
"Rudolf-Königer-Straße 23, Mitte - Bezirk 6, Delmenhorst (27749)",80.000 € 1.290 €/m²,"2,5 Zimmer",62 m²,Unknown,https://www.immowelt.de/expose/118da3e1-a8f8-4a65-8b00-5112e9dcb31d
"Wildeshauser Str.84, Deichhorst - Bezirk 7, Delmenhorst (27753)",89.000 € 1.780 €/m²,2 Zimmer,50 m²,Unknown,https://www.immowelt.de/expose/a526d50a-a214-47fa-a21a-d09651a7d24c
