city_ID;City_name;population
1;Körner, Weinbergen;0
2;Menteroda, Obermehler;0
3;Schlotheim;0
4;Großengottern, Heroldishausen;0
5;Südeichsfeld;0
6;Vogtei, Kammerforst u.a.;0
7;Rodeberg, Dünwald u.a.;0
8;Mühlhausen, Unstruttal;0
9;Großvargula, Tonna;0
10;Bad Tennstedt;0
11;Bad Langensalza;0
12;Tambach-Dietharz/ Thür.;0
13;Leinatal;0
14;Tabarz/ Thür. Wald;0
15;Georgenthal/ Thür. Wald;0
16;Luisenthal, Ohrdruf, Wolfis;0
17;Waltershausen;0
18;Drei Gleichen;0
19;Gotha;46615
20;Wutha-Farnroda;0
21;Seebach;0
22;Ruhla;0
23;Berka/ Werra;0
24;Gerstungen;0
25;Creuzburg;0
26;Treffurt/Ifta;0
27;Mihla;0
28;Hörselberg-Hainich;0
29;Marksuhl, Krauthausen u.a.;0
30;Harztor;0
31;Heringen/ Helme;0
32;Sollstedt;0
33;Ellrich;0
34;Bleicherode;0
35;Werther Hohenstein Wolkramshausen;0
36;Nordhausen;43912
37;Greußen Clingen Großenehrich;0
38;Ebeleben;0
39;Kyffhäuserland;0
40;Sondershausen;0
41;Rastenberg;0
42;Straußfurt;0
43;Weißensee;0
44;Buttstädt, Großbrembach, Kleinbrembach;0
45;Kölleda;0
46;Sömmerda;0
47;Bad Sulza;0
48;Apolda;0
49;Kranichfeld u.a.;0
50;Blankenhain;0
51;Lehnstedt u.a.;0
52;Berlstedt;0
53;Bad Berka u.a.;0
54;Weimar;64727
55;Arnstadt;0
56;Elleben, Wachsenburg;0
57;Gräfenroda;0
58;Stadtilm, Ilmtal;0
59;Udestedt, Mönchenholzhausen u.a.;0
60;Großrudestedt, Schloßvippach u.a.;0
61;Nesse-Apfelstädt, Nottleben;0
62;Gebesee;0
63;Rockhausen, Klettbach;0
64;Großfahner, Dachwig u.a.;0
65;Erfurt;203254
66;Katzhütte;0
67;Oberweißbach u.a.;0
68;Gräfenthal;0
69;Neuhaus am Rennweg, Lauscha;0
70;Geschwenda;0
71;Suhl;43509
72;Großbreitenbach;0
73;Ilmenau;0
74;Eisfeld, Auengrund;0
75;Veilsdorf;0
76;Schleusegrund;0
77;Biberau, Masserberg;0
78;Bad Colberg-Heldburg;0
79;Themar;0
80;Hildburghausen;0
81;Walldorf;0
82;Wasungen;0
83;Grabfeld;0
84;Römhild;0
85;Meiningen;0
86;Breitungen/Werra;0
87;Brotterode-Trusetal;0
88;Floh-Seligenthal;0
89;Schwallungen;0
90;Steinbach-Hallenberg;0
91;Schmalkalden;0
92;Oberhof;0
93;Benshausen;0
94;Schleusingen u.a.;0
95;Viernau u.a.;0
96;Zella-Mehlis;0
97;Suhl, Marisfeld, Rohr u.a.;0
98;Igersheim;0
99;Niederstetten;0
100;Weikersheim;0
101;Bad Mergentheim;0
102;Assamstadt;0
103;Wittighausen;0
104;Werbach;0
105;Königheim;0
106;Großrinderfeld;0
107;Grünsfeld;0
108;Boxberg;0
109;Tauberbischofsheim;0
110;Lauda-Königshofen;0
111;Stadtprozelten;0
112;Hasloch;0
113;Faulbach;0
114;Dorfprozelten;0
115;Collenberg;0
116;Altenbuch;0
117;Külsheim;0
118;Freudenberg, Collenberg;0
119;Kreuzwertheim;0
120;Wertheim;0
121;Wiesthal;0
122;Urspringen;0
123;Triefenstein;0
124;Steinfeld;0
125;Schollbrunn;0
126;Rothenfels;0
127;Roden;0
128;Rechtenbach;0
129;Partenstein;0
130;Neustadt a. Main;0
131;Neuhütten;0
132;Karbach;0
133;Hafenlohr, Rothenbuch;0
134;Esselbach;0
135;Erlenbach b. Marktheidenfeld;0
136;Bischbrunn;0
137;Birkenfeld;0
138;Frammersbach;0
139;Marktheidenfeld;0
140;Zeitlofs;0
141;Wartmannsroth;0
142;Schondra;0
143;Rieneck;0
144;Riedenberg;0
145;Obersinn;0
146;Oberleichtersbach;0
147;Neuendorf;0
148;Motten;0
149;Mittelsinn;0
150;Karsbach;0
151;Gräfendorf;0
152;Gössenheim;0
153;Geroda;0
154;Fellen;0
155;Eußenheim;0
156;Burgsinn;0
157;Aura i. Sinngrund;0
158;Wildflecken;0
159;Bad Brückenau;0
160;Karlstadt;0
161;Gemünden a. Main;0
162;Ramsthal;0
163;Fuchsstadt;0
164;Elfershausen;0
165;Burglauer;0
166;Oberthulba;0
167;Nüdlingen;0
168;Euerdorf;0
169;Oerlenbach;0
170;Maßbach;0
171;Bad Bocklet;0
172;Burkardroth;0
173;Münnerstadt;0
174;Bad Kissingen;0
175;Schönau a.d. Brend;0
176;Sandberg;0
177;Oberelsbach;0
178;Bastheim;0
179;Bischofsheim a.d. Rhön;0
180;Fladungen;0
181;Nordheim v.d. Rhön;0
182;Ostheim v.d. Rhön;0
183;Oberstreu;0
184;Mellrichstadt;0
185;Bad Königshofen i. Grabfeld;0
186;Hohenroth;0
187;Bad Neustadt an der Saale;0
188;Wonfurt;0
189;Wipfeld;0
190;Wasserlosen;0
191;Waigolshausen;0
192;Üchtelhausen;0
193;Theres;0
194;Sulzheim;0
195;Sulzdorf a.d. Lederhecke;0
196;Sennfeld;0
197;Schwebheim;0
198;Schwanfeld;0
199;Sand a. Main;0
200;Röthlein;0
201;Riedbach;0
202;Rannungen;0
203;Oberschwarzach;0
204;Oberaurach;0
205;Michelau i. Steigerwald, Hundelshausen;0
206;Lülsfeld;0
207;Kolitzheim;0
208;Grettstadt;0
209;Grafenrheinfeld;0
210;Geldersheim;0
211;Gädheim;0
212;Euerbach;0
213;Ebelsbach;0
